Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,row,Study
1,4,1,0.71,0.145985401,darkgreen,1.661628081,-0.189655172,4,Andresen_2010
2,9,0.65,-0.35,0.117647059,darkgreen,1.634371944,-0.25,9,Bergner_2004
3,12,1.5,0.13,0.005,darkgreen,1.235508438,-0.103448276,12,Bjork_2007
4,13,1.5,-0.38,0.004,darkgreen,1.207327076,-0.103448276,13,Bjork_2007
5,28,3.5,0.32,0.001099687,darkgreen,1.044249441,0.24137931,28,Briones_2009
6,29,5,-0.39,0.085616438,darkgreen,1.594234689,0.5,29,Bronson_2008
7,30,5,-0.48,0.131406045,darkgreen,1.648340274,0.5,30,Bronson_2008
8,37,1.35,0.16,0.0025,darkgreen,1.147969133,-0.129310345,37,Christensen_1997
9,39,6,-0.36,0.003333333,darkgreen,1.184301227,0.672413793,39,Cole_2002
10,45,2.25,-0.01,0.023457659,darkgreen,1.430726256,0.025862069,45,Dijkstra_2010
11,47,4,0.06,0.032247662,darkgreen,1.470918661,0.327586207,47,Dukes_2005
12,49,4,-0.19,0.090334237,darkgreen,1.601008922,0.327586207,49,Edwards_1999
13,50,4,0.04,0.042247571,darkgreen,1.505030436,0.327586207,50,Edwards_1999
14,51,2.7,-0.36,0.136612022,darkgreen,1.653247098,0.103448276,51,Edwards_2004
15,64,1.3,0.1,0.006666667,darkgreen,1.271840532,-0.137931034,64,Gorissen_2004
16,65,0.2,0.16,0.01,darkgreen,1.323047742,-0.327586207,65,Gorissen_2004
17,66,0.8,-0.06,0.006666667,darkgreen,1.271840532,-0.224137931,66,Gorissen_2004
18,67,3,-0.26,0.116414435,darkgreen,1.633041759,0.155172414,67,Grogan_2000
19,68,3,-0.45,0.098425197,darkgreen,1.611842333,0.155172414,68,Grogan_2000
20,77,4.5,0.32,0.034153005,darkgreen,1.478168488,0.413793103,77,Hobbie_1998
21,78,0.83,-0.32,0.186567164,darkgreen,1.692605702,-0.218965517,78,Hovenden_2008
22,84,2.8,0.52,0.038850039,darkgreen,1.494442352,0.120689655,84,Jonasson_1999
23,85,2.8,-0.19,0.053561864,darkgreen,1.534998447,0.120689655,85,Jonasson_1999
24,86,2.8,0.53,0.031595577,darkgreen,1.468338705,0.120689655,86,Jonasson_1999
25,87,2.8,0.56,0.03485535,darkgreen,1.480739306,0.120689655,87,Jonasson_1999
26,90,2.1,0.03,0.006666667,darkgreen,1.271840532,0,90,Kim_2011
27,98,1.55,0.26,0.003663943,darkgreen,1.196244347,-0.094827586,98,Lin_2011
28,100,2.35,0.15,0.055340343,darkgreen,1.539123774,0.043103448,100,Liu_2011
29,101,1.35,0.32,0.00842673,darkgreen,1.30142945,-0.129310345,101,Luo_2009
30,102,2.1,0.18,0.036764706,darkgreen,1.487474696,0,102,Luo_2009
31,112,5,-0.96,0.027412281,darkgreen,1.450401881,0.5,112,Melillo_2011
32,135,1.5,0.36,0.035790981,darkgreen,1.484084704,-0.103448276,135,Rillig_2002
33,136,2,-0.08,0.021777003,darkgreen,1.421337351,-0.017241379,136,Rinnan_2007
34,137,2,-0.1,0.106044539,darkgreen,1.621259,-0.017241379,137,Rinnan_2007
35,138,2,0.1,0.023255814,darkgreen,1.42963485,-0.017241379,138,Rinnan_2007
36,139,2,0.16,0.008250144,darkgreen,1.298754821,-0.017241379,139,Rinnan_2008
37,140,2,0.08,0.009250694,darkgreen,1.313211255,-0.017241379,140,Rinnan_2008
38,146,0.9,-0.22,0.244498778,darkgreen,1.726757599,-0.206896552,146,Saleska_2002
39,165,0.9,-0.01,0.024727992,darkgreen,1.437386776,-0.206896552,165,Shaw_2002
40,175,1.4,-0.04,0.046685341,darkgreen,1.517644957,-0.120689655,175,Sjogersten_2008
41,176,1.4,-0.19,0.080515298,darkgreen,1.586476527,-0.120689655,176,Sjogersten_2008
