Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,Study
1,81,5.117993812,-0.301105093,1,darkgreen,1,0.125251702,Fisk and Fahey 2001
2,82,5.703782475,-0.127833372,1,darkgreen,1,0.268324337,Priess and Folster 2001
3,83,5.703782475,-0.051293294,1,darkgreen,1,0.268324337,Priess and Folster 2001
4,84,5.703782475,0.058268908,1,darkgreen,1,0.268324337,Priess and Folster 2001
5,85,4.382026635,-0.174353387,1,darkgreen,1,-0.054500433,Shaver et al. 2006
6,86,4.382026635,-0.301105093,1,darkgreen,1,-0.054500433,Shaver et al. 2006
7,87,4.382026635,0.300104592,1,darkgreen,1,-0.054500433,Shaver et al. 2006
8,88,4.382026635,0.231111721,1,darkgreen,1,-0.054500433,Shaver et al. 2006
9,89,6.214608098,0.518793793,1,darkgreen,1,0.393088048,Kelliher et al. 2007
10,90,5.236441963,-0.105360516,1,darkgreen,1,0.1541814,Thirukkumaran and Parkinson 2002
11,91,5.236441963,-0.010050336,1,darkgreen,1,0.1541814,Thirukkumaran and Parkinson 2002
12,92,3.610917913,0,1,darkgreen,1,-0.242835516,Bowden et al. 2004
13,93,4.787491743,-0.562118918,1,darkgreen,1,0.044530096,Bowden et al. 2004
14,94,3.610917913,-0.84397007,1,darkgreen,1,-0.242835516,Bowden et al. 2004
15,95,4.787491743,-0.597837001,1,darkgreen,1,0.044530096,Bowden et al. 2004
16,96,5.117993812,-0.616186139,1,darkgreen,1,0.125251702,Phillips and Fahey 2007
17,97,5.117993812,-0.693147181,1,darkgreen,1,0.125251702,Phillips and Fahey 2007
18,98,5.117993812,-0.544727175,1,darkgreen,1,0.125251702,Phillips and Fahey 2007
19,99,3.401197382,-0.020202707,1,darkgreen,1,-0.294057519,Burton et al. 2004
20,100,3.401197382,-0.083381609,1,darkgreen,1,-0.294057519,Burton et al. 2004
21,101,3.401197382,-0.030459207,1,darkgreen,1,-0.294057519,Burton et al. 2004
22,102,3.401197382,0.019802627,1,darkgreen,1,-0.294057519,Burton et al. 2004
23,103,5.525452939,-0.342490309,1,darkgreen,1,0.224769249,Lagomarsino et al. 2009
24,104,4.563305982,-0.061875404,1,darkgreen,1,-0.010224885,Stark et al. 2002
25,105,3.688879454,0.076961041,1,darkgreen,1,-0.223794241,west et al. 2006
