Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study
72,-4.553876892,-3.694607876,1,darkcyan,1,-0.567067637,1
89,-4.534103738,0.197845752,1,darkcyan,1,-0.56134502,2
31,-4.234106505,-1.318126657,1,darkcyan,1,-0.47452179,3
25,-3.90941962,0.271752423,1,darkcyan,1,-0.380553043,4
167,-3.891820298,-1.429896924,1,darkcyan,1,-0.375459563,5
117,-3.871201011,-0.028954455,1,darkcyan,1,-0.369492064,6
24,-3.787139823,-0.076109965,1,darkcyan,1,-0.345163627,7
60,-3.784189634,-0.796053445,1,darkcyan,1,-0.344309803,8
101,-3.737669618,-0.988016363,1,darkcyan,1,-0.330846285,9
28,-3.688879454,-1.490748779,1,darkcyan,1,-0.316725756,10
109,-3.688879454,-2.113566291,1,darkcyan,1,-0.316725756,10
177,-3.688879454,0.728581288,1,darkcyan,1,-0.316725756,10
103,-3.680595235,-0.772412119,1,darkcyan,1,-0.314328192,11
91,-3.675794215,-0.482755801,1,darkcyan,1,-0.312938712,12
79,-3.666633845,-1.902316708,1,darkcyan,1,-0.310287578,13
198,-3.663561646,-0.301912186,1,darkcyan,1,-0.309398442,14
130,-3.613886475,-1.599420022,1,darkcyan,1,-0.295021781,15
81,-3.610917913,-2.120042693,1,darkcyan,1,-0.294162639,16
99,-3.608211551,-0.022002393,1,darkcyan,1,-0.293379381,17
32,-3.555348061,-2.977017642,1,darkcyan,1,-0.278079977,18
17,-3.526360525,0.278678849,1,darkcyan,1,-0.269690594,19
182,-3.526360525,0.213425808,1,darkcyan,1,-0.269690594,19
92,-3.496507561,-0.977852492,1,darkcyan,1,-0.261050746,20
106,-3.496507561,1.176689792,1,darkcyan,1,-0.261050746,21
201,-3.496507561,-0.828120151,1,darkcyan,1,-0.261050746,21
59,-3.481240089,-0.862379742,1,darkcyan,1,-0.256632134,22
108,-3.433987204,-0.957823471,1,darkcyan,1,-0.242956515,23
13,-3.401197382,-0.421897138,1,darkcyan,1,-0.233466699,24
95,-3.346389145,0.719485113,1,darkcyan,1,-0.217604459,25
38,-3.33220451,-0.918422319,1,darkcyan,1,-0.213499235,26
107,-3.33220451,2.853716221,1,darkcyan,1,-0.213499235,26
112,-3.33220451,-1.131542828,1,darkcyan,1,-0.213499235,26
123,-3.325395668,-0.277143897,1,darkcyan,1,-0.211528665,27
179,-3.314186005,0.20857138,1,darkcyan,1,-0.208284438,28
174,-3.296577333,-0.214796342,1,darkcyan,1,-0.203188251,29
30,-3.295836866,-0.22428505,1,darkcyan,1,-0.20297395,30
80,-3.295836866,-0.713688756,1,darkcyan,1,-0.20297395,30
169,-3.295836866,-2.020152745,1,darkcyan,1,-0.20297395,30
166,-3.285038027,-1.85106968,1,darkcyan,1,-0.199848621,31
129,-3.281662813,-0.420660745,1,darkcyan,1,-0.198871789,32
156,-3.258096538,-0.810204686,1,darkcyan,1,-0.192051392,33
212,-3.258096538,-2.074191454,1,darkcyan,1,-0.192051392,33
200,-3.243373296,-0.730758903,1,darkcyan,1,-0.187790289,34
168,-3.218875825,-0.640839511,1,darkcyan,1,-0.180700391,35
105,-3.202746443,0.471646559,1,darkcyan,1,-0.176032331,36
190,-3.190064743,-0.284233743,1,darkcyan,1,-0.172362077,37
61,-3.135494216,-0.071860409,1,darkcyan,1,-0.156568633,38
87,-3.132446097,-2.209975778,1,darkcyan,1,-0.155686467,39
191,-3.099641737,0.214118332,1,darkcyan,1,-0.146192444,40
7,-3.068052935,-1.784215711,1,darkcyan,1,-0.13705022,41
104,-3.065258336,0.34187461,1,darkcyan,1,-0.136241426,42
14,-3.044522438,-0.127529691,1,darkcyan,1,-0.130240178,43
15,-3.044522438,-0.68616176,1,darkcyan,1,-0.130240178,43
124,-3.033028058,1.584371324,1,darkcyan,1,-0.12691355,44
78,-2.995732274,1.970162321,1,darkcyan,1,-0.116119649,45
118,-2.995732274,-0.283250819,1,darkcyan,1,-0.116119649,45
127,-2.995732274,-0.947853637,1,darkcyan,1,-0.116119649,45
39,-2.961658293,-0.607323657,1,darkcyan,1,-0.106258182,46
171,-2.944438979,-0.351139664,1,darkcyan,1,-0.101274681,47
178,-2.922623802,0.385418941,1,darkcyan,1,-0.094961075,48
36,-2.901421594,-0.479431117,1,darkcyan,1,-0.088824872,49
116,-2.896464272,0.157586296,1,darkcyan,1,-0.087390156,50
67,-2.890371758,-0.359775556,1,darkcyan,1,-0.0856269,51
217,-2.890371758,0.682653986,1,darkcyan,1,-0.0856269,51
216,-2.881443127,0.096736808,1,darkcyan,1,-0.083042835,52
120,-2.87525812,-0.322314649,1,darkcyan,1,-0.081252811,53
37,-2.868466923,-0.379619265,1,darkcyan,1,-0.079287347,54
6,-2.833213344,-0.907173967,1,darkcyan,1,-0.069084488,55
77,-2.833213344,1.327949291,1,darkcyan,1,-0.069084488,55
84,-2.833213344,-0.987669574,1,darkcyan,1,-0.069084488,55
98,-2.833213344,0.550078616,1,darkcyan,1,-0.069084488,55
