Unit_ID,X.1,X,LRR,var.LRR,scale,col,Study,pr.st
1,4,-0.03,0.140581951,0.087260879,1.616843486,darkgreen,Anderson_and_Levine,-0.241050732
2,5,0.5,1.367246166,0.102428659,1.603119761,darkgreen,Anderson_and_Levine,0.340129959
3,6,1.03,2.0654553,0.001092843,1.991921127,darkgreen,Arai_et_al.,0.92131065
4,7,0.44,-0.693147181,0.004722285,1.866598082,darkgreen,Brummer_et_al.,0.274335918
5,8,0.5,-2.00533357,0.002350502,1.926340313,darkgreen,Brummer_et_al.,0.340129959
6,9,0.48,-0.860201265,0.00156732,1.9610436,darkgreen,Brummer_et_al.,0.318198612
7,10,0.4,-0.955511445,0.001552153,1.961876324,darkgreen,Brummer_et_al.,0.230473224
8,11,0.44,-1.56563529,0.044517163,1.674476055,darkgreen,Brummer_et_al.,0.274335918
9,12,0.5,-0.272866987,0.050913463,1.662979761,darkgreen,Brummer_et_al.,0.340129959
10,13,0.48,-1.639743262,0.053022059,1.659504766,darkgreen,Brummer_et_al.,0.318198612
11,14,0.41,-4.204692619,0.202191419,1.544885981,darkgreen,Brummer_et_al.,0.241438898
12,20,0.8,0.226773319,0.004379009,1.873060738,darkgreen,Castaldi_et_al.,0.669100161
13,21,0.04,0.503526321,0.003112416,1.90229743,darkgreen,Castaldi_et_al.,-0.164291019
14,22,0.03,-0.075507553,0.005791873,1.849115236,darkgreen,Castaldi_et_al.,-0.175256692
15,23,-0.74,0.013793322,3.319278849,1.305263475,darkgreen,Davidson_et_al.,-1.019613545
16,25,1.32,0.399985642,0.051626194,1.661789325,darkgreen,Davidson_et_al.,1.239315179
17,26,0.31,1.287288837,0.013240134,1.778315105,darkgreen,Davidson_et_al.,0.131782164
18,27,-0.95,-0.227057451,117.2823463,1,darkgreen,Erickson_et_al.,-1.249892687
19,28,0.15,-0.207639365,97.76925262,1.015582775,darkgreen,Erickson_et_al.,-0.043668611
20,29,1.44,2.568548641,78.72739835,1.034132247,darkgreen,Erickson_et_al.,1.37090326
21,30,-0.28,-0.877881284,82.24845467,1.030385566,darkgreen,Erickson_et_al.,-0.515192568
22,31,-0.28,-2.339399066,87.86477083,1.024729213,darkgreen,Erickson_et_al.,-0.515192568
23,32,-0.66,-3.032546247,110.8335208,1.004842906,darkgreen,Erickson_et_al.,-0.931888158
24,33,0.5,0.287682072,7.052951389,1.240722886,darkgreen,Erickson_et_al.,0.340129959
25,34,0.64,3.245193133,2.279432193,1.337445728,darkgreen,Erickson_et_al.,0.493649387
26,44,1.34,0.904456274,0.083567577,1.620546774,darkgreen,Galbally_et_al.,1.261246526
27,45,0.04,-0.09531018,0.099035303,1.606004712,darkgreen,Garcia-Mendez_et_al.,-0.164291019
28,46,0.04,-0.360002734,0.103239021,1.602444952,darkgreen,Garcia-Mendez_et_al.,-0.164291019
29,49,0.02,-0.32090772,0.125687632,1.585596649,darkgreen,Inubushi_et_al.,-0.186222365
30,50,0.29,0.768654733,0.028294549,1.713284879,darkgreen,Inubushi_et_al.,0.109850817
31,51,-0.17,-0.773189888,0.065819271,1.640990768,darkgreen,Ishizuka_et_al.,-0.39457016
32,52,1.43,0.613104473,0.086073901,1.6180163,darkgreen,Ishizuka_et_al.,1.359937587
33,53,0.1,1.460402333,0.081948176,1.622222465,darkgreen,Ishizuka_et_al.,-0.098496978
34,54,0.85,2.383810533,0.080422829,1.6238314,darkgreen,Ishizuka_et_al.,0.723928528
35,55,-0.88,-0.455475529,0.064175886,1.64315598,darkgreen,Ishizuka_et_al.,-1.173132973
36,56,-0.77,0.491120553,0.045284829,1.673011984,darkgreen,Ishizuka_et_al.,-1.052510565
37,57,-0.54,0.198450939,0.039706249,1.684269442,darkgreen,Ishizuka_et_al.,-0.800300077
38,58,-0.75,-1.921812597,0.036831329,1.690705511,darkgreen,Ishizuka_et_al.,-1.030579219
39,64,-1.37,-1.918972493,0.001522239,1.963542776,darkgreen,Keller_and_Reiners,-1.71045097
40,65,-1.88,-1.329894673,0.00257234,1.918617414,darkgreen,Keller_and_Reiners,-2.269700315
41,66,-0.23,-0.449063992,0.000994454,2,darkgreen,Keller_and_Reiners,-0.460364201
42,70,2.89,2.678449731,1.23678776,1.389801786,darkgreen,Livesley_et_al.,2.960925906
43,71,-0.35,-0.287682072,4.983169485,1.270469673,darkgreen,Livesley_et_al.,-0.591952282
44,72,-0.35,-0.064538521,1.08396565,1.401095878,darkgreen,Livesley_et_al.,-0.591952282
45,75,-0.04,0.936093359,0.462696216,1.473995174,darkgreen,Meixner_et_al.,-0.252016406
46,76,0.22,1.481604541,0.633678014,1.447066513,darkgreen,Meixner_et_al.,0.033091103
47,77,-0.76,2.663749942,0.539969218,1.460770073,darkgreen,Meixner_et_al.,-1.041544892
48,78,-0.42,-2.628800829,68.91960277,1.045525612,darkgreen,Melillo_et_al.,-0.668711996
49,79,1.56,0.972417686,0.167109734,1.561204341,darkgreen,Melillo_et_al.,1.502491341
50,80,-0.4,-0.549359288,0.208820509,1.542123481,darkgreen,Melillo_et_al.,-0.646780649
51,81,-0.4,-0.385056236,0.225418466,1.535574064,darkgreen,Melillo_et_al.,-0.646780649
52,82,-0.38,-0.377509031,0.220942582,1.537291467,darkgreen,Melillo_et_al.,-0.624849302
53,83,-0.3,-0.291124417,0.209455136,1.541863632,darkgreen,Melillo_et_al.,-0.537123915
54,84,0.75,-0.015584731,0.179810268,1.554931677,darkgreen,Melillo_et_al.,0.614271794
55,85,1.58,0.465483118,0.279807592,1.517065287,darkgreen,Melillo_et_al.,1.524422688
56,86,1.6,0.918350465,0.309750445,1.508359547,darkgreen,Melillo_et_al.,1.546354035
57,87,0.8,1.550597412,0.064632097,1.642549398,darkgreen,Melling_et_al.,0.669100161
58,88,0.62,0.538996501,0.089392007,1.614777273,darkgreen,Melling_et_al.,0.47171804
59,104,0.56,-0.356674944,0.029503437,1.709702251,darkgreen,Palm_et_al.,0.405923999
60,105,0.18,0,0.026892361,1.71763728,darkgreen,Palm_et_al.,-0.010771591
61,106,0.11,0.106609735,0.032975469,1.700175097,darkgreen,Palm_et_al.,-0.087531305
62,107,0.46,0.462160452,0.262632935,1.522489619,darkgreen,Palm_et_al.,0.296267265
63,108,-0.81,1.069011819,1.057972437,1.403174328,darkgreen,Palm_et_al.,-1.096373259
64,109,-0.21,1.848205379,0.048237805,1.667602538,darkgreen,Perez_et_al.,-0.438432854
65,110,-0.34,1.898928304,0.042449114,1.678549453,darkgreen,Perez_et_al.,-0.580986608
66,111,0.35,1.41706602,0.070200977,1.635471835,darkgreen,Perez_et_al.,0.175644857
67,112,0.67,3.085344432,0.310461083,1.508163313,darkgreen,Perez_et_al.,0.526546407
68,113,2.02,2.897292201,0.092408411,1.611935433,darkgreen,Perez_et_al.,2.006912318
69,114,0.34,0.127833372,0.017127339,1.756271476,darkgreen,Perez_et_al.,0.164679184
70,115,1.36,2.583997552,0.022428704,1.733179517,darkgreen,Perez_et_al.,1.283177873
71,116,0.76,2.199746647,0.018930142,1.747701486,darkgreen,Perez_et_al.,0.625237468
72,117,0,0.039220713,0.325900679,1.504007249,darkgreen,Rees_et_al.,-0.208153712
73,118,0,-0.15082289,0.381760728,1.490460176,darkgreen,Rees_et_al.,-0.208153712
74,119,0,-0.579818495,0.342937113,1.499643929,darkgreen,Rees_et_al.,-0.208153712
75,120,-1.7,-0.863198645,0.10212166,1.603376802,darkgreen,Steudler_et_al.,-2.072318193
76,121,-0.52,-0.438254931,0.065997514,1.640759184,darkgreen,Takakai_et_al.,-0.77836873
77,122,-0.52,-0.09531018,0.030790996,1.706044441,darkgreen,Takakai_et_al.,-0.77836873
78,123,0.62,0.447576593,0.061361734,1.646995807,darkgreen,Takakai_et_al.,0.47171804
79,124,0.62,-1.076139433,0.023869699,1.727847371,darkgreen,Takakai_et_al.,0.47171804
80,125,3.13,2.438130585,0.006671488,1.837007995,darkgreen,Takakai_et_al.,3.224102068
81,126,3.13,1.653889675,0.019686943,1.744344703,darkgreen,Takakai_et_al.,3.224102068
82,127,-0.71,0.557481315,0.022582086,1.732595905,darkgreen,Tang_et_al.,-0.986716525
83,128,-0.34,0.152016207,0.027102734,1.71697001,darkgreen,Tang_et_al.,-0.580986608
84,134,-1.72,-3.701301974,0.205531237,1.543483062,darkgreen,Verchot_et_al.,-2.09424954
85,135,-1.87,-2.274185618,0.200305343,1.545688519,darkgreen,Verchot_et_al.,-2.258734641
86,136,-1.69,-0.949766661,0.01496911,1.767804987,darkgreen,Verchot_et_al.,-2.06135252
87,137,0.65,1.025724573,0.055777896,1.655165833,darkgreen,Verchot_et_al.,0.50461506
88,138,0.57,1.613511238,0.07501504,1.629792184,darkgreen,Verchot_et_al.,0.416889673
89,139,1.11,1.47881773,0.033869977,1.697883156,darkgreen,Verchot_et_al.,1.009036037
90,140,0.82,0.550830958,0.025274556,1.722950229,darkgreen,Verchot_et_al.,0.691031508
91,141,1.12,0.506735639,0.058866314,1.650551018,darkgreen,Verchot_et_al.,1.020001711
92,142,0.87,0.097163748,0.037182583,1.689892724,darkgreen,Verchot_et_al.,0.745859875
93,143,1.05,0.990981624,0.112148528,1.595356586,darkgreen,Verchot_et_al.,0.943241997
94,144,0.9,2.227010845,0.235288323,1.531904471,darkgreen,Verchot_et_al.,0.778756895
95,145,0,-0.228258652,0.044150842,1.675183612,darkgreen,Verchot_et_al.,-0.208153712
96,146,-0.16,0.823200309,0.040269029,1.683064254,darkgreen,Verchot_et_al.,-0.383604487
97,147,-0.25,1.410986974,0.059506173,1.649625249,darkgreen,Verchot_et_al.,-0.482295548
98,148,0.29,1.276293466,0.018361109,1.750315024,darkgreen,Verchot_et_al.,0.109850817
99,149,0.01,0.348306694,0.009765688,1.804379512,darkgreen,Verchot_et_al.,-0.197188039
100,150,0.31,0.304211374,0.043357447,1.67673642,darkgreen,Verchot_et_al.,0.131782164
101,151,0.07,-0.105360516,0.021673716,1.736111661,darkgreen,Verchot_et_al.,-0.131393998
102,152,0.25,0.78845736,0.09663966,1.608101592,darkgreen,Verchot_et_al.,0.065988123
103,153,0.1,2.024486581,0.219779456,1.537743457,darkgreen,Verchot_et_al.,-0.098496978
104,154,-0.8,-0.430782916,0.028641975,1.712239817,darkgreen,Verchot_et_al.,-1.085407586
105,155,0.01,-0.131769278,0.550537542,1.45911027,darkgreen,Verchot_et_al.,-0.197188039
106,156,0.1,0.08288766,0.55394678,1.458581625,darkgreen,Verchot_et_al.,-0.098496978
107,157,1.33,1.268731372,0.090955092,1.613292878,darkgreen,Weitz_et_al.,1.250280852
108,158,0.42,0.368325561,0.051543114,1.661927239,darkgreen,Weitz_et_al.,0.252404571
109,161,0.4,-1.792751041,0.405960059,1.485197181,darkgreen,Wick_et_al.,0.230473224
110,162,-0.69,-0.942905408,0.571223524,1.455951702,darkgreen,Wick_et_al.,-0.964785178
111,163,-1.64,-3.305797108,0.922336716,1.414922946,darkgreen,Wick_et_al.,-2.006524153
112,165,-0.39,-0.197217951,0.006861412,1.834604282,darkgreen,Zhang_et_al.,-0.635814976
113,166,-0.49,-0.110996776,0.00584294,1.848363523,darkgreen,Zhang_et_al.,-0.74547171
