,Unit_ID,ID.X,row,ID,Study,Invader.name,GROWTHFORM,ECOSYSTEMS,IMPACT,Mean,SD,N,Mean.1,SD.1,N.1,cause.hedges,cause.LRR,LRR,var.LRR,X,var.LRR,scale,col,row,Citation,pr.st
34,34,194,194,NA,m11_1_Niu et al. 2007,Lythrum salicaria (dead),herb,wetlands,nutrients,1.88,0.32,15,0.59,0.01,15,-5.698266745,-1.158904519,-0.382960969,0.007415467,-0.382960969,0.007415467,1.45129477,darkgreen,194,Fickbohm & Zhu 2006,-0.487527592
44,44,219,219,28,m11_1_Niu et al. 2007,Solidago gigantea,herb,grasslands,biota,19.6,2.33,9,11.13,2.6,9,-3.430963921,-0.565885401,-0.09237332,0.000529051,-0.09237332,0.000529051,1.581390593,darkgreen,219,Scharfy et al 2010,-0.384822959
46,46,221,221,NA,m11_1_Ehrenfeld et al. 2001,Solidago gigantea,herb,grasslands,biota,14.8,0.6,9,10.2,1.9,9,-3.264957829,-0.37223946,-0.068026221,0.002209831,-0.068026221,0.002209831,1.510948761,darkgreen,221,Scharfy et al. 2010,-0.351285533
45,45,220,220,NA,m11_1_Ehrenfeld et al. 2001,Solidago gigantea,herb,grasslands,biota,12.1,1.3,9,10,2.3,9,-1.124104228,-0.19062036,-0.143874558,0.001051704,-0.143874558,0.001051704,1.547535121,darkgreen,220,Scharfy et al. 2010,-0.319831028
125,125,385,385,49,m11_1_Ehrenfeld et al. 2001,Microstegium vimineum,grass,lab,biota,3,0.7,42,2.6,0.7,42,-0.571428571,-0.143100844,0.283362411,0.000438522,0.283362411,0.000438522,1.590638135,darkgreen,385,Shannon et al. 2012,-0.311601151
105,105,322,322,NA,m11_1_Ehrenfeld et al. 2001,Bromus spp. (C3/C4)(August),grass,grasslands,litter,0,0,200,0,0,200,NA,0,-0.630626824,0.06100326,-0.049132689,0.001915277,1.517997632,darkgreen,289,Ogle et al. 2003,-0.2868176
89,89,306,306,NA,m11_1_Ehrenfeld et al. 2001,Bromus spp. (C3/C4)(August),grass,grasslands,litter,0,0,200,0,0,200,NA,0,-0.558669266,0.125253431,0.00806456,0.000811159,1.560331792,darkgreen,290,Ogle et al. 2003,-0.2868176
81,81,298,298,NA,m11_1_Ehrenfeld et al. 2001,Bromus spp. (C3/C4)(August),grass,grasslands,litter,0,0,200,0,0,200,NA,0,-0.161366192,0.057472218,0.09164459,0.007856603,1.448447389,darkgreen,297,Ogle et al. 2003,-0.2868176
72,72,289,289,NA,m11_1_Ehrenfeld et al. 2001,Bromus spp. (C3/C4)(July),grass,grasslands,litter,0,0,200,0,0,200,NA,0,-0.049132689,0.001915277,-0.161366192,0.057472218,1.350394184,darkgreen,298,Ogle et al. 2003,-0.2868176
73,73,290,290,NA,m11_1_Ehrenfeld et al. 2001,Bromus spp. (C3/C4)(August),grass,grasslands,litter,0,0,200,0,0,200,NA,0,0.00806456,0.000811159,0.280809193,0.032390402,1.378649998,darkgreen,305,Ogle et al. 2003,-0.2868176
80,80,297,297,NA,m11_1_Angeloni et al. 2006,Bromus spp. (C3/C4)(July),grass,grasslands,litter,0,0,200,0,0,200,NA,0,0.09164459,0.007856603,-0.558669266,0.125253431,1.312007681,darkgreen,306,Ogle et al. 2003,-0.2868176
96,96,313,313,NA,m11_1_Angeloni et al. 2006,Bromus spp. (C3/C4)(July),grass,grasslands,litter,0,0,200,0,0,200,NA,0,0.184843626,0.065219869,0.184843626,0.065219869,1.344162837,darkgreen,313,Ogle et al. 2003,-0.2868176
88,88,305,305,NA,m11_1_Angeloni et al. 2006,Bromus spp. (C3/C4)(July),grass,grasslands,litter,0,0,200,0,0,200,NA,0,0.280809193,0.032390402,0.663368305,0.020177753,1.401970599,darkgreen,314,Ogle et al. 2003,-0.2868176
97,97,314,314,NA,m11_1_Angeloni et al. 2006,Bromus spp. (C3/C4)(August),grass,grasslands,litter,0,0,200,0,0,200,NA,0,0.663368305,0.020177753,0.85763387,0.138197162,1.307161938,darkgreen,321,Ogle et al. 2003,-0.2868176
104,104,321,321,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3/C4)(July),grass,grasslands,litter,0,0,200,0,0,200,NA,0,0.85763387,0.138197162,-0.630626824,0.06100326,1.347456174,darkgreen,322,Ogle et al. 2003,-0.2868176
68,68,285,285,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(July),grass,grasslands,litter,0,0,200,0.004,0,200,NA,0.003992021,-0.033522692,0.00153058,-0.033522692,0.00153058,1.529045688,darkgreen,285,Ogle et al. 2003,-0.286126224
76,76,293,293,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(July),grass,grasslands,litter,0,0,200,0.004,0,200,NA,0.003992021,0.06094601,0.028071604,0.06094601,0.028071604,1.385701325,darkgreen,293,Ogle et al. 2003,-0.286126224
92,92,309,309,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(July),grass,grasslands,litter,0,0,200,0.004,0,200,NA,0.003992021,0.090775025,0.075053516,0.171014486,0.032515479,1.37846009,darkgreen,301,Ogle et al. 2003,-0.286126224
84,84,301,301,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(July),grass,grasslands,litter,0,0,200,0.004,0,200,NA,0.003992021,0.171014486,0.032515479,0.090775025,0.075053516,1.337242894,darkgreen,309,Ogle et al. 2003,-0.286126224
100,100,317,317,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(July),grass,grasslands,litter,0,0,200,0.004,0,200,NA,0.003992021,0.614602152,0.036578517,0.614602152,0.036578517,1.372658299,darkgreen,317,Ogle et al. 2003,-0.286126224
101,101,318,318,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(August),grass,grasslands,litter,0,0,200,0.07,0,200,NA,0.067658648,-0.298044859,0.027175274,0.032789823,0.001818181,1.520561161,darkgreen,286,Ogle et al. 2003,-0.275099838
93,93,310,310,NA,m11_1_Belnap&Philips 2001,Bromus spp. (C3)(August),grass,grasslands,litter,0,0,200,0.07,0,200,NA,0.067658648,0.016807118,0.024858553,0.193371393,0.033714739,1.376675433,darkgreen,294,Ogle et al. 2003,-0.275099838
