,Unit_ID,Entry,Study,Expt,Ygen,Yspec,Smax,Y.treatment,T.mean,T.sd,T.N,C.mean,C.sd,C.N,X,col,scale,Sys1,pr.st
1,1,54,m1_2_10,23,RD,g N accumulated in plant mass m-2,6,Y1,7.93,4.101,40,12.7,5.62,15,0.833333333,darkgreen,1.031286442,T,0.560259908
2,2,54,m1_2_10,23,RD,g N accumulated in plant mass m-2,6,Y3,11.49,5.772,15,12.7,5.62,15,0.5,darkgreen,1.020670407,T,-1.015673868
3,3,111,m1_2_25,43,RD,mg P L-1,3,Y1,0.018,0.039,20,0.03,0.033,20,0.666666667,darkgreen,1.002089932,T,-0.227706978
4,4,111,m1_2_25,43,RD,mg P L-1,3,Y2,0.028,0.033,30,0.03,0.033,20,0.333333333,darkgreen,1.005781092,T,-1.803640759
6,6,145,m1_2_28,53,RD,g algae L-1,7,Y1,0.008,0.066,42,0.046,0.406,6,0.857142857,blue,1.000040002,A,0.672826607
8,8,154,m1_2_28,54,RD,g algae L-1,7,Y1,0.011,0.061,14,0.018,0.026,2,0.857142857,blue,1.000188359,A,0.672826607
9,9,155,m1_2_28,54,RD,g algae L-1,7,Y1,-0.035,0.15,14,-0.026,0.602,2,0.857142857,blue,1,A,0.672826607
5,5,144,m1_2_28,53,RD,g algae L-1,7,Y1,0.011,0.053,42,0.002,0.034,6,0.857142857,blue,1.000010385,A,0.672826607
7,7,146,m1_2_28,53,RD,g algae L-1,7,Y1,0.022,0.478,42,-0.097,0.498,6,,,,,
10,10,156,m1_2_28,54,RD,g algae L-1,7,Y1,0.08,0.667,14,-0.241,0.636,2,,,,,
12,12,197,m1_2_34,71,RD,g plant material,5,Y1,0.024,0.02,50,0.04,0,9,0.8,darkgreen,1.044470049,T,0.402666532
11,11,196,m1_2_34,70,RD,g plant material,5,Y1,0.126,0.076,54,0.191,0.128,13,0.8,darkgreen,1.014959097,T,0.402666532
13,13,198,m1_2_34,72,RD,g plant material,5,Y1,0.67,0.112,58,0.842,0.034,12,0.8,darkgreen,2,T,0.402666532
14,14,254,m1_2_51,102,RD,% leaf mass removed,12,Y1,0.952,1.68,24,1.401,1.878,4,0.916666667,darkgreen,1.001064546,T,0.954243356
15,15,254,m1_2_51,102,RD,% leaf mass removed,12,Y2,1.202,1.552,12,1.401,1.878,4,0.833333333,darkgreen,1.00104791,T,0.560259908
16,16,254,m1_2_51,102,RD,% leaf mass removed,12,Y4,2.079,2.169,12,1.401,1.878,4,0.666666667,darkgreen,1.001141712,T,-0.227706978
17,17,254,m1_2_51,102,RD,% leaf mass removed,12,Y8,2.687,2.305,6,1.401,1.878,4,0.333333333,darkgreen,1.001077812,T,-1.803640759
20,20,273,m1_2_58,112,RD,g plant biomass m-2,32,Y4,3.551,3.246,14,8.019,5.772,4,0.875,darkgreen,1.003262184,T,0.757251632
18,18,273,m1_2_58,112,RD,g plant biomass m-2,32,Y1,3.745,2.648,15,8.019,5.772,4,0.96875,darkgreen,1.003790475,T,1.200483007
21,21,273,m1_2_58,112,RD,g plant biomass m-2,32,Y8,4.368,4.095,9,8.019,5.772,4,0.75,darkgreen,1.00271656,T,0.166276465
19,19,273,m1_2_58,112,RD,g plant biomass m-2,32,Y2,5.176,2.641,12,8.019,5.772,4,0.9375,darkgreen,1.004082296,T,1.052739215
37,37,295,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.158,2.909,32,0.763,2.901,12,0.9375,darkgreen,1.000050062,T,1.052739215
35,35,294,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y4,0.099,1.036,15,0.361,0.787,12,0.75,darkgreen,1.000077959,T,0.166276465
85,85,343,m1_2_59,115,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.151,1.895,32,0.512,2.127,12,0.9375,darkgreen,1.000094827,T,1.052739215
101,101,364,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y4,0.115,0.963,15,0.35,0.337,12,0.75,darkgreen,1.000127686,T,0.166276465
97,97,363,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.275,1.342,32,0.743,0.796,12,0.9375,darkgreen,1.000733165,T,1.052739215
61,61,319,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.828,6.647,32,2.237,5.336,12,0.9375,darkgreen,1.000245961,T,1.052739215
46,46,314,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.439,2.17,32,1.178,0.93,12,0.9375,darkgreen,1.000755127,T,1.052739215
42,42,296,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y9,0.14,1.553,15,0.373,0.668,12,0.4375,darkgreen,1.000070625,T,-1.311161451
109,109,367,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.228,3.743,32,3.241,1.952,12,0.9375,darkgreen,1.001924561,T,1.052739215
108,108,366,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y9,-0.19,1.002,15,-0.493,1.165,12,0.4375,darkgreen,1.000264006,T,-1.311161451
22,22,290,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.229,0.671,32,0.544,0.291,12,0.9375,darkgreen,1.002111951,T,1.052739215
28,28,292,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.255,0.581,32,0.506,0.205,12,0.9375,darkgreen,1.003509106,T,1.052739215
103,103,365,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.638,1.349,32,1.195,0.662,12,0.9375,darkgreen,1.003734701,T,1.052739215
67,67,321,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.106,2.02,32,2.007,1.414,12,0.9375,darkgreen,1.004239782,T,1.052739215
112,112,368,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.383,1.312,32,0.666,0.68,12,0.9375,darkgreen,1.001359472,T,1.052739215
39,39,295,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y9,0.441,2.696,15,0.763,2.901,12,0.4375,darkgreen,1.000164816,T,-1.311161451
89,89,344,m1_2_59,115,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y4,0.411,1.373,15,0.699,0.69,12,0.75,darkgreen,1.000746227,T,0.166276465
52,52,316,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.485,0.964,32,0.823,0.5,12,0.9375,darkgreen,1.004002931,T,1.052739215
84,84,342,m1_2_59,115,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y9,-0.163,0.884,15,-0.264,1.026,12,0.4375,darkgreen,1.000189562,T,-1.311161451
49,49,315,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.415,2.592,32,2.286,1.664,12,0.9375,darkgreen,1.004142773,T,1.052739215
58,58,318,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.581,2.14,32,0.902,2.067,12,0.9375,darkgreen,1.000714621,T,1.052739215
73,73,339,m1_2_59,115,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.235,2.374,32,1.843,1.458,12,0.9375,darkgreen,1.003682532,T,1.052739215
59,59,318,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y4,0.615,2.17,15,0.902,2.067,12,0.75,darkgreen,1.00048498,T,0.166276465
115,115,369,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.734,2.355,32,2.501,1.552,12,0.9375,darkgreen,1.006881246,T,1.052739215
62,62,319,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y4,1.552,5.263,15,2.237,5.336,12,0.75,darkgreen,1.00049551,T,0.166276465
107,107,366,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y4,-0.343,1.571,15,-0.493,1.165,12,0.75,darkgreen,1.000329097,T,0.166276465
110,110,367,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y4,2.281,2.039,15,3.241,1.952,12,0.75,darkgreen,1.007394972,T,0.166276465
106,106,366,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,-0.35,1.142,32,-0.493,1.165,12,0.9375,darkgreen,1.000771691,T,1.052739215
40,40,296,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.265,0.942,32,0.373,0.668,12,0.9375,darkgreen,1.000930537,T,1.052739215
25,25,291,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.863,2.494,32,2.606,1.401,12,0.9375,darkgreen,1.007710045,T,1.052739215
60,60,318,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y9,0.65,2.215,15,0.902,2.067,12,0.4375,darkgreen,1.000507435,T,-1.311161451
64,64,320,m1_2_59,114,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.635,1.462,32,2.264,0.662,12,0.9375,darkgreen,1.019232814,T,1.052739215
76,76,340,m1_2_59,115,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.535,0.859,32,0.739,0.418,12,0.9375,darkgreen,1.005758326,T,1.052739215
31,31,293,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.366,1.364,32,1.765,1.097,12,0.9375,darkgreen,1.009747823,T,1.052739215
88,88,344,m1_2_59,115,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,0.55,0.951,32,0.699,0.69,12,0.9375,darkgreen,1.003534714,T,1.052739215
105,105,365,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y9,0.952,1.536,15,1.195,0.662,12,0.4375,darkgreen,1.003099696,T,-1.311161451
111,111,367,m1_2_59,116,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y9,2.592,2.202,15,3.241,1.952,12,0.4375,darkgreen,1.007881904,T,-1.311161451
79,79,341,m1_2_59,115,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.13,0.522,32,1.407,0.286,12,0.9375,darkgreen,1.061081957,T,1.052739215
82,82,342,m1_2_59,115,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,-0.216,0.966,32,-0.264,1.026,12,0.9375,darkgreen,1.000325614,T,1.052739215
43,43,297,m1_2_59,113,RD,mg(NO2 + NO3 + NH4) kg-1 soil,16,Y1,1.438,1.205,32,1.75,0.844,12,0.9375,darkgreen,1.014943727,T,1.052739215
