,Unit_ID,ID.X,ID.resp,Study,ID.case,author,pubyear,citation,system,habitat,latitud,longitud,fcl,duration,fert_area,vol,study_typ,temp,Conversion,taxon,tax_resp_cat,tax_resp_typ,tax_resp_unit,con.mn,con.sd,con.n,fert.mn,fert.sd,fert.n,unit.conc.con,n_avail,mode,p_avail,fert.ratio.n,fert..ratio.p,log.fert.rat,n.add.m2,p.add.m2,mode2,LRR,var.LRR,log.n.av,log.p.av,log.n.add,log.p.add,st.n,st.p,st.tot,st.p.add,st.n.add,st.add.tot,X,scale,col,ID.study,ID.case,system,pr.st
2,2,2,2,m2_2_BBH007,2,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,freshwater,lake,39.17,-120.13,2,4,0.075,20,field,NA,succ,phytoplankton,biomass,chlorophyll,microg/L,0.575,0.076530612,4,0.62,0.06377551,4,µmol L-1,0.892857143,both,0.129032258,8.4,3.875,1.814417493,2000,133.3333333,both,0.075349437,0.007073921,-0.113328685,-2.047692844,7.60090246,4.892852258,NA,-0.220838824,NA,-0.980399946,-0.849447889,-0.914923918,-0.914923918,1.505991334,darkblue,BBH007,2,freshwater,-0.940250481
1,1,1,1,m2_2_BBH007,1,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,freshwater,lake,39.17,-120.13,1,4,0.075,20,field,NA,succ,phytoplankton,biomass,chlorophyll,microg/L,0.56,0.133928571,4,0.68,0.133928571,4,µmol L-1,0.892857143,both,0.129032258,8.4,3.875,1.814417493,2000,133.3333333,both,0.194156014,0.023996855,-0.113328685,-2.047692844,7.60090246,4.892852258,NA,-0.220838824,NA,-0.980399946,-0.849447889,-0.914923918,-0.914923918,1.435412939,darkblue,BBH007,1,freshwater,-0.940250481
4,4,4,6,m2_2_BBH008,4,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,freshwater,lake,41.22,-122.37,2,4,0.046,10,field,NA,succ,phytoplankton,biomass,chlorophyll,microg/L,2.2,0.248015873,4,3.5,0.085034014,4,µmol L-1,0.464285714,both,0.258064516,129.2307692,15.5,4.281728072,13043.47826,869.5652174,both,0.464305608,0.003324833,-0.767255153,-1.354545663,9.476043538,6.767993337,NA,0.26320803,NA,-0.425222491,-0.272744405,-0.348983448,-0.348983448,1.549614759,darkblue,BBH008,4,freshwater,-0.360826682
3,3,3,5,m2_2_BBH008,3,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,freshwater,lake,41.22,-122.37,1,4,0.046,10,field,NA,succ,phytoplankton,biomass,chlorophyll,microg/L,2.4,0.148809524,4,4.8,0.262188209,4,µmol L-1,0.464285714,both,0.258064516,129.2307692,15.5,4.281728072,13043.47826,869.5652174,both,0.693147181,0.001707029,-0.767255153,-1.354545663,9.476043538,6.767993337,NA,0.26320803,NA,-0.425222491,-0.272744405,-0.348983448,-0.348983448,1.5881345,darkblue,BBH008,3,freshwater,-0.360826682
6,6,6,10,m2_2_BBH009,6,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,freshwater,lake,39.83,-122.75,2,4,0.046,10,field,NA,succ,phytoplankton,biomass,chlorophyll,microg/L,190,19.0269478,4,355,82.45010711,4,µmol L-1,0.642857143,both,5.322580645,93.33333333,0.093939394,3.844036121,13043.47826,108.6956522,both,0.625093717,0.015992556,-0.441832752,1.671958269,9.476043538,4.688551795,NA,2.376712563,NA,-1.040887667,-0.272744405,-0.656816036,-0.656816036,1.458859918,darkblue,BBH009,6,freshwater,-0.675993272
5,5,5,9,m2_2_BBH009,5,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,freshwater,lake,39.83,-122.75,1,4,0.046,10,field,NA,succ,phytoplankton,biomass,chlorophyll,microg/L,180,24.66456196,4,370,29.59747435,4,µmol L-1,0.642857143,both,5.322580645,93.33333333,0.093939394,3.844036121,13043.47826,108.6956522,both,0.720546155,0.006293713,-0.441832752,1.671958269,9.476043538,4.688551795,NA,2.376712563,NA,-1.040887667,-0.272744405,-0.656816036,-0.656816036,1.512743682,darkblue,BBH009,5,freshwater,-0.675993272
7,7,7,20,m2_2_BBH041,7,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,13,2.2,3,36,2.8,3,µmol L-1,25,both,0.75,1.392,1.773333333,0.459111188,7565.217391,289.1304348,both,1.018569581,0.011562812,3.218875825,-0.287682072,8.931316362,5.666877918,NA,1.008233011,NA,-0.751232338,-0.440276365,-0.595754352,-0.595754352,1.477599576,darkblue,BBH041,7,freshwater,-0.613476814
8,8,8,25,m2_2_BBH042,8,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,4.3,0.66,3,5.4,0.36,3,µmol L-1,24,both,0.38,1.408333333,2.526315789,0.676674529,7347.826087,208.6956522,both,0.227783931,0.009334375,3.17805383,-0.967584026,8.902159778,5.340876981,NA,0.533435722,NA,-0.847752206,-0.449243533,-0.648497869,-0.648497869,1.489969653,darkblue,BBH042,8,freshwater,-0.667476927
9,9,9,29,m2_2_BBH043,9,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,4.6,0.22,3,5.6,0.074,3,µmol L-1,4.7,both,0.27,3.085106383,3.148148148,1.136751412,3152.173913,184.7826087,both,0.196710294,0.000820651,1.547562509,-1.30933332,8.055847625,5.219180046,NA,0.294781256,NA,-0.883783306,-0.709528571,-0.796655938,-0.796655938,1.630453064,darkblue,BBH043,9,freshwater,-0.819164809
10,10,10,33,m2_2_BBH044,10,Saunders&&,2000,Freshwater Biology 43:391-407,freshwater,lake,44,-74,1,2,0.046,10,field,22.5,succ,phytoplankton,biomass,chlorophyll,microg/L,3.5,0.091,3,3.6,0.14,3,µmol L-1,4.7,both,0.27,3.085106383,3.148148148,1.136751412,3152.173913,184.7826087,both,0.028170877,0.000729449,1.547562509,-1.30933332,8.055847625,5.219180046,NA,0.294781256,NA,-0.883783306,-0.709528571,-0.796655938,-0.796655938,1.637260016,darkblue,BBH044,10,freshwater,-0.819164809
