,Unit_ID,ID.X,Land.use,NT,NC,meanT,meanC,sdT,sdC,emission,treatment,soil,N.application,Study,LRR,var.LRR,X,scale,col,Land.use,soil,ref,pr.st
58,58,94,upland,2,2,0.026,0.247,0.012,0.048,NO,PCF,Andosol,150,m5_1_Akiyama et al. 2000,2.251291799,0.125391336,5.010635294,1.316144097,darkgreen,upland,Andosol,Akiyama & Tsuruta 2002,-0.141261934
57,57,93,upland,2,2,0.337,0.484,0.084,0.102,NO,PCF,Andosol,150,m5_1_Akiyama et al. 2000,0.362001976,0.05327129,5.010635294,1.417462204,darkgreen,upland,Andosol,Akiyama & Tsuruta 2002,-0.141261934
55,55,91,upland,2,2,0.072,0.097,0.009,0.021,N2O,PCF,Andosol,150,m5_1_Bronson et al. 1992,0.298044859,0.031247509,5.010635294,1.480600395,darkgreen,upland,Andosol,Akiyama & Tsuruta 2002,-0.141261934
54,54,90,upland,2,2,0.163,0.184,0.019,0.008,N2O,PCF,Andosol,150,m5_1_Bronson et al. 1992,0.121185557,0.007738811,5.010635294,1.645789523,darkgreen,upland,Andosol,Akiyama & Tsuruta 2002,-0.141261934
2,2,2,upland,2,2,1.52,2.38,0.295,0.04,NO,NI,Andosol,200,m5_1_Bronson et al. 1992,0.448390153,0.018974552,5.298317367,1.539641447,darkgreen,upland,Andosol,Akiyama et al. 2000,0.361652754
1,1,1,upland,2,2,0.127,0.164,0.008,0.02,N2O,NI,Andosol,200,m5_1_Bronson et al. 1992,0.255679341,0.009420054,5.298317367,1.622521498,darkgreen,upland,Andosol,Akiyama et al. 2000,0.361652754
59,59,95,upland,2,2,2.31,2.38,0.376,0.04,NO,PCF,Andosol,200,m5_1_Bronson et al. 1992,0.029852963,0.013388361,5.298317367,1.580913882,darkgreen,upland,Andosol,Akiyama et al. 2000,0.361652754
56,56,92,upland,2,2,0.19,0.164,0.012,0.02,N2O,PCF,Andosol,200,m5_1_Bronson et al. 1992,-0.147157644,0.00943051,5.298317367,1.622390199,darkgreen,upland,Andosol,Akiyama et al. 2000,0.361652754
62,62,98,grassland,3,3,1.067,15.7,0.305,1.6,N2O,PCF,Gleysol,600,m5_1_Bronson et al. 1992,2.68880974,0.030698332,6.396929655,1.482699013,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
63,63,99,grassland,3,3,1.067,5.867,0.229,1.6,N2O,PCF,Gleysol,600,m5_1_Bronson et al. 1992,1.704492458,0.040144548,6.396929655,1.450946539,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
60,60,96,grassland,3,3,0.305,1.6,0,0.61,N2O,PCF,Gleysol,600,m5_1_Bronson et al. 1992,1.657447132,0.048450521,6.396929655,1.428688842,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
61,61,97,grassland,3,3,0.533,2.21,0.076,0.305,N2O,PCF,Gleysol,600,m5_1_Dittert et al. 2001,1.42222637,0.013126051,6.396929655,1.583255786,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
64,64,100,grassland,3,3,0.61,0.99,0.152,0.076,N2O,PCF,Gleysol,600,m5_1_Dobbie & Smith 2003,0.484245986,0.022661371,6.396929655,1.518625713,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
11,11,13,upland,4,4,0.434,1.651,0.192,0.618,N2O,NI,mesic Aridic Argiustoll,218,m5_1_Dobbie & Smith 2003,1.33609191,0.083957227,5.384495063,1.363620672,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
10,10,12,upland,4,4,0.483,1.651,0.128,0.618,N2O,NI,mesic Aridic Argiustoll,218,m5_1_Ghosh et al. 2003,1.22911979,0.052586224,5.384495063,1.418994134,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
8,8,10,upland,4,4,1.005,3.226,0.171,0.965,N2O,NI,mesic Aridic Argiustoll,218,m5_1_Ghosh et al. 2003,1.166255438,0.029607688,5.384495063,1.486980471,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
7,7,9,upland,4,4,1.017,3.226,0.451,0.965,N2O,NI,mesic Aridic Argiustoll,218,m5_1_Ghosh et al. 2003,1.154385863,0.071534446,5.384495063,1.3825729,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
