,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,scale,col,row.ID,study.ID,dist.inv,pr.st
1,1,1,26,m6_4_2,AS,b,abu,Total biomass (kg/km2),sel,nat,15,10.8,p,3.023333333,0.09504385,3,1.604,0.389910246,5,3.820412692,-0.633859466,0.012147603,-2.379546134,-2.708050201,-2.379546134,1.725520496,darkgreen,26,2,-2.708050201,-0.906465103
2,2,2,27,m6_4_2,AS,b,abu,Total density (individuals/km2),sel,nat,15,10.8,p,25.33666667,4.124128191,3,18.288,4.102666206,5,1.491368598,-0.326007515,0.01889707,-2.379546134,-2.708050201,-2.379546134,1.690976516,darkgreen,27,2,-2.708050201,-0.906465103
3,3,12,228,m6_4_9,AS,b,abu,Abundance (average number of individuals per point count),agf,nat,NA,5,p,15.75,2.1,4,3.25,1.5,4,5.956485047,-1.578185369,0.057698882,-1.609437912,NA,-1.609437912,1.603714161,darkgreen,228,9,NA,-0.289278585
4,4,13,237,m6_4_9,AS,b,abu,Abundance (average number of individuals per point count),sec,nat,NA,5,p,15.75,2.1,4,9.5,2.1,4,2.587991718,-0.505548567,0.016660511,-1.609437912,NA,-1.609437912,1.700823989,darkgreen,237,9,NA,-0.289278585
11,11,24,256,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,4.6961,2.365696447,8,0.3437,0.757169941,8,2.342868943,-2.614718472,0.638370743,0.182321557,-0.916290732,0.182321557,1.415804206,darkgreen,256,10,-0.916290732,1.146688148
12,12,25,257,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,24.7997,14.85942474,8,3.2494,4.06982379,8,1.87025035,-2.032361192,0.240966466,0.182321557,-0.916290732,0.182321557,1.49196797,darkgreen,257,10,-0.916290732,1.146688148
13,13,26,258,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,9.9372,5.394659055,8,2.2056,1.515471253,8,1.844875761,-1.50528571,0.095852753,0.182321557,-0.916290732,0.182321557,1.564033999,darkgreen,258,10,-0.916290732,1.146688148
6,6,19,251,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,34.5,11.99253101,8,10,4.864894655,8,2.531219969,-1.238374231,0.044688054,0.182321557,-0.916290732,0.182321557,1.623690573,darkgreen,251,10,-0.916290732,1.146688148
5,5,16,248,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,104,17.76252234,8,39.63,15.4432121,8,3.656657455,-0.964804492,0.022628091,0.182321557,-0.916290732,0.182321557,1.676890377,darkgreen,248,10,-0.916290732,1.146688148
14,14,27,259,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,6.8862,3.123149231,8,2.7019,2.364847919,8,1.428146794,-0.93556418,0.121470647,0.182321557,-0.916290732,0.182321557,1.545517298,darkgreen,259,10,-0.916290732,1.146688148
7,7,20,252,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,99.25,17.73423807,8,42.5,13.91586145,8,3.366074104,-0.848137844,0.017392397,0.182321557,-0.916290732,0.182321557,1.697463065,darkgreen,252,10,-0.916290732,1.146688148
8,8,21,253,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,28.88,13.83100864,8,12.63,5.402295808,8,1.463264517,-0.827074378,0.05153939,0.182321557,-0.916290732,0.182321557,1.612539551,darkgreen,253,10,-0.916290732,1.146688148
15,15,28,260,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,30.1019,8.233834203,8,13.2358,6.151546154,8,2.194124018,-0.821663013,0.036353369,0.182321557,-0.916290732,0.182321557,1.639827589,darkgreen,260,10,-0.916290732,1.146688148
16,16,29,261,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,12.027,7.09793787,8,8.4449,5.489128521,8,0.533783398,-0.353591413,0.096348541,0.182321557,-0.916290732,0.182321557,1.563630684,darkgreen,261,10,-0.916290732,1.146688148
17,17,30,262,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,21.7915,9.085756453,8,17.1722,11.4514529,8,0.422515874,-0.238228188,0.077317689,0.182321557,-0.916290732,0.182321557,1.580833251,darkgreen,262,10,-0.916290732,1.146688148
18,18,31,263,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,16.7664,7.097655027,8,13.6526,6.719211478,8,0.425979753,-0.205446904,0.052677839,0.182321557,-0.916290732,0.182321557,1.610831526,darkgreen,263,10,-0.916290732,1.146688148
9,9,22,254,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,7.88,3.365828278,8,12.25,4.157787873,8,-1.092276589,0.441198033,0.037205599,0.182321557,-0.916290732,0.182321557,1.638016068,darkgreen,254,10,-0.916290732,1.146688148
19,19,32,264,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,5.5843,2.933927456,8,9.2966,3.50159278,8,-1.086543308,0.509689653,0.052237586,0.182321557,-0.916290732,0.182321557,1.611487624,darkgreen,264,10,-0.916290732,1.146688148
20,20,33,265,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,0.9272,1.135330648,8,2.9665,2.365696447,8,-1.039128308,1.162968794,0.266911443,0.182321557,-0.916290732,0.182321557,1.483973769,darkgreen,265,10,-0.916290732,1.146688148
10,10,23,255,m6_4_10,SA,b,abu,Mean number of captures per netline,bur,nat,2.5,0.833333333,p,0.38,0.509116882,8,8,9.475230868,8,-1.073729313,3.047025568,0.399728293,0.182321557,-0.916290732,0.182321557,1.452401015,darkgreen,255,10,-0.916290732,1.146688148
28,28,41,275,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,7.7179,2.06411435,5,0.641,0.917458691,5,4.0019482,-2.488268128,0.424025195,-1.386294361,-0.182321557,-1.386294361,1.447788025,darkgreen,275,11,-0.182321557,-0.11044503
23,23,36,270,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,1.595,0.803642831,5,0.1573,0.502220868,5,1.937872027,-2.316474205,2.089514238,-1.386294361,-0.182321557,-1.386294361,1.323105752,darkgreen,270,11,-0.182321557,-0.11044503
34,34,47,300,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,3.1226,2.210129589,5,2.1341,1.607509269,5,0.462023207,-0.380620976,0.213668827,-2.63905733,-0.182321557,-2.63905733,1.501367097,darkgreen,300,11,-0.182321557,-1.114444718
27,27,40,274,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,10.6923,5.962922476,5,8.7436,7.338775102,5,0.263240921,-0.201201852,0.203097571,-1.386294361,-0.182321557,-1.386294361,1.505333802,darkgreen,274,11,-0.182321557,-0.11044503
42,42,56,309,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,10.6923,5.962922476,5,8.7436,7.338775102,5,0.263240921,-0.201201852,0.203097571,-2.63905733,-0.182321557,-2.63905733,1.505333802,darkgreen,309,11,-0.182321557,-1.114444718
35,35,49,302,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,4.2908,1.808308173,5,3.6617,4.420259178,5,0.168260061,-0.158545675,0.326969315,-2.63905733,-0.182321557,-2.63905733,1.468108017,darkgreen,302,11,-0.182321557,-1.114444718
22,22,35,269,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,3.1226,2.210129589,5,2.6733,2.812973516,5,0.160429898,-0.155352324,0.321636938,-1.386294361,-0.182321557,-1.386294361,1.469393459,darkgreen,269,11,-0.182321557,-0.11044503
32,32,45,279,m6_4_11,SA,b,abu,Number of observations per transect,pla,nat,1.2,4,p,16.4,2.906888371,5,15.2,3.577708764,5,0.332516434,-0.075985907,0.017363795,-1.386294361,-0.182321557,-1.386294361,1.697591731,darkgreen,279,11,-0.182321557,-0.11044503
26,26,39,273,m6_4_11,SA,b,abu,Captures per 144 net hours,pla,nat,1.2,4,p,1.8646,1.406486758,5,1.7747,1.808308173,5,0.050126401,-0.049415158,0.321443447,-1.386294361,-0.182321557,-1.386294361,1.469440502,darkgreen,273,11,-0.182321557,-0.11044503
47,47,61,314,m6_4_11,SA,b,abu,Number of observations per transect,sec,nat,1.2,14,p,16.4,2.906888371,5,16.1,2.906888371,5,0.093215737,-0.018462063,0.012803272,-2.63905733,-0.182321557,-2.63905733,1.72141087,darkgreen,314,11,-0.182321557,-1.114444718
43,43,57,310,m6_4_11,SA,b,abu,Captures per 144 net hours,sec,nat,1.2,14,p,7.7179,2.06411435,5,10.1795,5.045463784,5,-0.576798793,0.276833588,0.063439053,-2.63905733,-0.182321557,-2.63905733,1.596299814,darkgreen,310,11,-0.182321557,-1.114444718
31,31,44,278,m6_4_11,SA,b,abu,Number of captures per transect,pla,nat,1.2,4,p,16.2,5.142956348,5,29.4,24.14953416,5,-0.682880918,0.595983432,0.155100762,-1.386294361,-0.182321557,-1.386294361,1.526410926,darkgreen,278,11,-0.182321557,-0.11044503
46,46,60,313,m6_4_11,SA,b,abu,Number of captures per transect,sec,nat,1.2,14,p,16.2,5.142956348,5,34.7,10.73312629,5,-1.985522324,0.761728445,0.039291771,-2.63905733,-0.182321557,-2.63905733,1.633751117,darkgreen,313,11,-0.182321557,-1.114444718
