,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,study.ID,dist.inv,scale,col,row.ID,pr.st
13,13,130,444,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.79,0.056568542,2,0.205,0.176776695,2,2.547054297,-1.349022966,0.374366189,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.417234726,darkgreen,444,1.126755289
11,11,128,442,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.54,0.056568542,2,0.205,0.176776695,2,1.458569555,-0.96855916,0.377289466,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.416175055,darkgreen,442,1.126755289
6,6,123,437,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,1.79,1.71119841,2,0.835,0.940452019,2,0.395245425,-0.762539174,1.091210193,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.27148972,darkgreen,437,1.126755289
7,7,124,438,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,30.915,21.80010206,2,16.875,9.609581156,2,0.476241528,-0.605408266,0.410767597,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.404593076,darkgreen,438,1.126755289
12,12,129,443,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.795,0.530330086,2,0.5,0.240416306,2,0.409418149,-0.463734016,0.33809911,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.43111641,darkgreen,443,1.126755289
15,15,132,446,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.415,0.120208153,2,0.335,0.120208153,2,0.380292722,-0.214147988,0.106330531,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.588710895,darkgreen,446,1.126755289
10,10,127,441,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.79,0.296984848,2,0.67,0,2,0.326530612,-0.164755233,0.070661753,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.644382937,darkgreen,441,1.126755289
2,2,119,433,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.415,0.120208153,2,0.42,0,2,-0.033613445,0.011976191,0.041950936,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.715416216,darkgreen,433,1.126755289
5,5,122,436,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,2.25,0,2,2.625,0.417193001,2,-0.726392252,0.15415068,0.012629478,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.878961501,darkgreen,436,1.126755289
9,9,126,440,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,2,1.173797257,2,2.875,1.590990258,2,-0.35764272,0.362905494,0.325344093,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.436355412,darkgreen,440,1.126755289
4,4,121,435,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,7.665,3.655742059,2,11.54,2.531442277,2,-0.704232748,0.409154749,0.137795627,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.553396248,darkgreen,435,1.126755289
14,14,131,445,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.585,0.120208153,2,0.915,0.586898628,2,-0.445147727,0.447312218,0.226821179,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.485498189,darkgreen,445,1.126755289
3,3,120,434,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,1.21,0.296984848,2,2.165,0.586898628,2,-1.173307825,0.581800002,0.066864382,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.651908273,darkgreen,434,1.126755289
1,1,118,432,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.29,0.056568542,2,0.75,0.593969696,2,-0.62303118,0.950192284,0.33262497,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.433340229,darkgreen,432,1.126755289
8,8,125,439,m6_5_14,SA,m,abu,Mean number of individuals per site,sel,nat,1.5,1.666666667,p,0.42,0,2,1.125,0.28991378,2,-1.965156796,0.985283603,0.033204938,-0.510825624,-0.405465108,-0.510825624,14,-0.405465108,1.747268183,darkgreen,439,1.126755289
16,16,136,459,m6_5_16,SA,m,abu,Number of visits to scent stations per line per month,abn,nat,10,2,p,1.29,5.18567257,7,1.6,4.82267549,7,-0.057956032,0.215361411,3.606405676,-0.693147181,-2.302585093,-0.693147181,16,-2.302585093,1.108631446,darkgreen,459,0.973173804
17,17,213,611,m6_5_23,SA,m,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,7.8,3.959797975,8,10,3.39411255,8,-0.56401919,0.248461359,0.046615648,0,NA,0,23,NA,1.70105224,darkgreen,611,1.55705744
22,22,223,621,m6_5_23,SA,m,abu,Mean number of individuals captured per plot (new captures),bur,nat,NA,1,p,10.8,3.111269837,8,15.5,5.091168825,8,-1.053242829,0.36129389,0.023859752,0,NA,0,23,NA,1.792294515,darkgreen,621,1.55705744
