Unit_ID,X,LRR,var.LRR,scale,col,Study,s,pr.st
1,4.14,-0.059188871,0.476505358,1.355418052,darkcyan,"m10_1_(Benzoni et al., 2003; Hassan et al., 2002; Pilcher and Alsuhaibany, 2000; Sheppard et al., 2000; Wilson et al., 2000)",Aden-G,0.292524269
2,2.18,-0.320645684,0.476505358,1.355418052,darkcyan,"m10_1_(Ahmada et al., 2002; Sheppard and Obura, 2005; Stobart et al., 2002; Stobart et al., 2005; Teleki et al., 2000; Teleki and Spencer, 2000)",Aldabra,-1.269122802
3,4.55,-1.112648938,0.29429983,1.775756176,darkcyan,"m10_1_(Sheppard, 1999)",Chagos,0.61919534
4,3.21,-0.360614542,0.590616109,1.224243824,darkcyan,"m10_1_(Ahmada et al., 2002; Bigot et al., 2000; Quod and Bigot, 2000; Quod et al., 2002)",Comoros,-0.448461331
5,4.62,-0.576887374,0.590616109,1.224243824,darkcyan,"m10_1_(Pilcher et al., 2000; Rezai et al., 2004; Wilson et al., 2000; Wilson et al., 2002)",Gulf-SE,0.67496845
6,6.52,-1.132263088,0.590616109,1.224243824,darkcyan,"m10_1_(Pilcher et al., 2000; Rezai et al., 2004; Wilson et al., 2000; Wilson et al., 2002)",Gulf-SW,2.188809999
7,5.92,-0.844317232,0.383224293,1.520678036,darkcyan,"m10_1_(Pilcher et al., 2000; Rezai et al., 2004; Riegl, 2002; Wilson et al., 2000; Wilson et al., 2002)",Gulf-W,1.710754773
9,4,-1.133677425,0.383224293,1.520678036,darkcyan,"m10_1_(Pet-Soede et al., 2000; Rajasuriya et al., 2002; Rajasuriya et al., 2000; Rajasuriya et al., 2004; Wilhelmsson, 2002)",India (Lakshadweep),0.18097805
10,4.78,-1.524020161,1,1,darkcyan,"m10_1_(Obura, 2002; Obura et al., 2000b)",Kenya-N,0.802449843
11,4.54,-0.916803859,0.339453666,1.629532004,darkcyan,"m10_1_(McClanahan et al., 2001)",Kenya-S,0.611227753
12,3.41,-0.252389119,0.590616109,1.224243824,darkcyan,"m10_1_(Ahmada et al., 2002; Bigot et al., 2000)",Madagascar-E,-0.289109589
13,2.81,0.137653272,0.419059784,1.448487648,darkcyan,"m10_1_(Ahmada et al., 2002; Ahmada et al., 2004; Bigot et al., 2000; Quod and Bigot, 2000; Quod et al., 2002; Souter et al., 2000; Webster and McMahon, 2002) ",Madagascar-NW,-0.767164815
14,3.47,-0.168034602,0.476505358,1.355418052,darkcyan,"m10_1_(Ahmada et al., 2002; Ahmada et al., 2004; Bigot et al., 2000; Quod and Bigot, 2000; Quod et al., 2002; Souter et al., 2000; Webster and McMahon, 2002) ",Madagascar-SW,-0.241304066
15,5.43,-2.998002422,0.312771273,1.710836105,darkcyan,"m10_1_(Edwards et al., 2001; McClanahan, 2000; Rajasuriya et al., 2002; Rajasuriya et al., 2000; Rajasuriya et al., 2004; Zahir, 2000; Zahir, 2002)",Maldives (Central Atolls),1.320343005
