Unit_ID,X.1,X,LRR,var.LRR,scale,col,row,Study,pr.st
1,25,3.353406718,0.374838451,0.005196534,1.468815523,darkgreen,25,Niu et al. 2007,0.293956938
2,26,4.222444565,0.065957968,0.003101512,1.494246079,darkgreen,26,Niu et al. 2007,0.444465091
3,84,1.60743591,-1.884380959,0.011895295,1.428008982,darkgreen,84,Ehrenfeld et al. 2001,-0.00842672
4,85,1.793424749,-1.33105019,0.001978696,1.516392484,darkgreen,85,Ehrenfeld et al. 2001,0.023784578
5,86,0.09531018,-1.595117859,0.011929234,1.427868596,darkgreen,86,Ehrenfeld et al. 2001,-0.270310886
6,87,1.60743591,2.772588722,0.003420252,1.489425848,darkgreen,87,Ehrenfeld et al. 2001,-0.00842672
7,88,1.793424749,2.47730205,0.017442625,1.409148073,darkgreen,88,Ehrenfeld et al. 2001,0.023784578
8,89,1.539015448,1.630807938,0.011841817,1.428231005,darkgreen,89,Ehrenfeld et al. 2001,-0.020276419
9,90,1.60743591,2.995732274,0.093766234,1.326274273,darkgreen,90,Ehrenfeld et al. 2001,-0.00842672
10,91,0.530628251,1.611835037,0.011710557,1.428780233,darkgreen,91,Ehrenfeld et al. 2001,-0.194918405
11,117,0.790962058,1.406295028,0.029818065,1.382727332,darkgreen,117,Angeloni et al. 2006,-0.149831346
12,118,0.790962058,1.103612299,0.001797282,1.521130822,darkgreen,118,Angeloni et al. 2006,-0.149831346
13,119,0.790962058,-0.080451789,1.17E-05,1.769348593,darkgreen,119,Angeloni et al. 2006,-0.149831346
14,120,0.790962058,0.236388778,0.000499623,1.58421061,darkgreen,120,Angeloni et al. 2006,-0.149831346
15,121,1.704748092,0.250144153,0.041869314,1.366001734,darkgreen,121,Belnap&Philips 2001,0.00842672
16,122,1.704748092,0.023810649,0.028184617,1.38550335,darkgreen,122,Belnap&Philips 2001,0.00842672
17,123,2.355031568,-0.105360516,0.029538639,1.38319126,darkgreen,123,Belnap&Philips 2001,0.121048933
18,124,2.355031568,-0.063178902,0.005331808,1.467549247,darkgreen,124,Belnap&Philips 2001,0.121048933
19,125,1.704748092,0.111225635,0.00618059,1.460270287,darkgreen,125,Belnap&Philips 2001,0.00842672
20,126,1.704748092,0.041549003,0.002394137,1.507001557,darkgreen,126,Belnap&Philips 2001,0.00842672
21,127,1.704748092,0,5.77E-05,1.690565262,darkgreen,127,Belnap&Philips 2001,0.00842672
22,129,1.704748092,0.07126302,0.003577842,1.48720626,darkgreen,129,Belnap&Philips 2001,0.00842672
23,130,2.355031568,0.251000506,0.013802259,1.420682424,darkgreen,130,Belnap&Philips 2001,0.121048933
24,131,1.704748092,0.233614851,0.004272148,1.478467127,darkgreen,131,Belnap&Philips 2001,0.00842672
25,132,1.704748092,0,0.005144033,1.469315877,darkgreen,132,Belnap&Philips 2001,0.00842672
26,133,1.704748092,-0.043485112,0.006913804,1.454746333,darkgreen,133,Belnap&Philips 2001,0.00842672
27,134,1.704748092,0.123613956,0.004737781,1.473369598,darkgreen,134,Belnap&Philips 2001,0.00842672
28,135,2.355031568,0.174353387,0.01262706,1.425067348,darkgreen,135,Belnap&Philips 2001,0.121048933
29,136,1.704748092,0.251314428,0.001028807,1.548619738,darkgreen,136,Belnap&Philips 2001,0.00842672
30,137,1.704748092,0.554996842,0.001844691,1.519847904,darkgreen,137,Belnap&Philips 2001,0.00842672
31,138,1.704748092,0.171850257,0.000556361,1.578910495,darkgreen,138,Belnap&Philips 2001,0.00842672
32,193,0.272257602,1.850599969,0.013804717,1.420673649,darkgreen,193,Fickbohm & Zhu 2006,-0.239665466
