Unit_ID,X,LRR,var.LRR,scale,col,time.since.fire,Fire.treatment,Ecosystem.type,pr.st,Study
1,0.653926467,0.179,2,1,darkgreen,0.42,Wildfire,Savanna,0.129091439,m13_1_14
2,0.385662481,0.081,2,1,darkgreen,0.58,Wildfire,Savanna,0.058619211,m13_1_12
3,0.162518929,0.451,2,1,darkgreen,0.75,Wildfire,Savanna,0,m13_1_11
4,-0.019802627,0.278,2,1,darkgreen,0.92,Wildfire,Savanna,-0.047895383,m13_1_9
5,-0.165514438,0.153,2,1,darkgreen,1.08,Wildfire,Savanna,-0.086173484,m13_1_7
6,-0.300104592,0,2,1,darkgreen,1.25,Wildfire,Savanna,-0.121529955,m13_1_6
7,0.653926467,0.874,2,1,darkgreen,0.42,Wildfire,Savanna,0.129091439,m13_1_14
8,0.385662481,0.465,2,1,darkgreen,0.58,Wildfire,Savanna,0.058619211,m13_1_12
9,0.162518929,0.423,2,1,darkgreen,0.75,Wildfire,Savanna,0,m13_1_11
10,-0.019802627,0.601,2,1,darkgreen,0.92,Wildfire,Savanna,-0.047895383,m13_1_9
11,-0.165514438,0.148,2,1,darkgreen,1.08,Wildfire,Savanna,-0.086173484,m13_1_7
12,-0.300104592,0.306,2,1,darkgreen,1.25,Wildfire,Savanna,-0.121529955,m13_1_6
13,0.510825624,0.14,0.666666667,1.40469715,darkgreen,0.5,Prescribed burn,Savanna,0.091499232,m13_1_13
14,0.510825624,0.143,0.666666667,1.40469715,darkgreen,0.5,Prescribed burn,Savanna,0.091499232,m13_1_13
15,0.510825624,0.176,0.666666667,1.40469715,darkgreen,0.5,Prescribed burn,Savanna,0.091499232,m13_1_13
16,0.510825624,0.122,0.666666667,1.40469715,darkgreen,0.5,Prescribed burn,Savanna,0.091499232,m13_1_13
17,0.653926467,0.181,2,1,darkgreen,0.42,Prescribed burn,Temperate forest,0.129091439,m13_1_14
18,0.653926467,0.097,2,1,darkgreen,0.42,Prescribed burn,Temperate forest,0.129091439,m13_1_14
19,0.385662481,0.031,0.285714286,1.870366015,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211,m13_1_12
20,0.385662481,0.119,0.23255814,2,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211,m13_1_12
21,0.385662481,0.151,0.285714286,1.870366015,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211,m13_1_12
22,0.072570693,0.232,0.285714286,1.870366015,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916,m13_1_10
23,0.072570693,0.096,0.23255814,2,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916,m13_1_10
24,0.072570693,0.026,0.285714286,1.870366015,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916,m13_1_10
25,0.385662481,0.475,0.285714286,1.870366015,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211,m13_1_12
26,0.385662481,0.215,0.23255814,2,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211,m13_1_12
27,0.385662481,0.214,0.285714286,1.870366015,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211,m13_1_12
28,0.072570693,0.594,0.285714286,1.870366015,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916,m13_1_10
29,0.072570693,0.223,0.23255814,2,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916,m13_1_10
30,0.072570693,-0.135,0.285714286,1.870366015,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916,m13_1_10
