Unit_ID,X,Study,LRR,var.LRR,scale,col,time.since.fire,Fire.treatment,Ecosystem.type,pr.st
1,0.653926467,14,1.033,2,1,darkgreen,0.42,Wildfire,Savanna,0.129091439
2,0.385662481,12,0.342,2,1,darkgreen,0.58,Wildfire,Savanna,0.058619211
3,0.162518929,11,0.475,2,1,darkgreen,0.75,Wildfire,Savanna,0
4,-0.019802627,9,0.285,2,1,darkgreen,0.92,Wildfire,Savanna,-0.047895383
5,-0.165514438,7,-0.107,2,1,darkgreen,1.08,Wildfire,Savanna,-0.086173484
6,-0.300104592,6,-0.102,2,1,darkgreen,1.25,Wildfire,Savanna,-0.121529955
7,0.653926467,14,0.278,2,1,darkgreen,0.42,Wildfire,Savanna,0.129091439
8,0.385662481,12,0.169,2,1,darkgreen,0.58,Wildfire,Savanna,0.058619211
9,0.162518929,11,0.237,2,1,darkgreen,0.75,Wildfire,Savanna,0
10,-0.019802627,9,0.368,2,1,darkgreen,0.92,Wildfire,Savanna,-0.047895383
11,-0.165514438,7,-0.08,2,1,darkgreen,1.08,Wildfire,Savanna,-0.086173484
12,-0.300104592,6,0.539,2,1,darkgreen,1.25,Wildfire,Savanna,-0.121529955
13,0.510825624,13,-0.081,0.666666667,1.40469715,darkgreen,0.5,Prescribed burn,Savanna,0.091499232
14,0.510825624,13,0.089,0.666666667,1.40469715,darkgreen,0.5,Prescribed burn,Savanna,0.091499232
15,0.510825624,13,0.21,0.666666667,1.40469715,darkgreen,0.5,Prescribed burn,Savanna,0.091499232
16,0.510825624,13,0.071,0.666666667,1.40469715,darkgreen,0.5,Prescribed burn,Savanna,0.091499232
17,0.653926467,14,0.284,2,1,darkgreen,0.42,Prescribed burn,Temperate forest,0.129091439
18,0.653926467,14,0.343,2,1,darkgreen,0.42,Prescribed burn,Temperate forest,0.129091439
19,0.385662481,12,0.218,0.285714286,1.870366015,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211
20,0.385662481,12,-0.054,0.23255814,2,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211
21,0.385662481,12,0.279,0.285714286,1.870366015,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211
22,0.072570693,10,0.367,0.285714286,1.870366015,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916
23,0.072570693,10,-0.046,0.23255814,2,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916
24,0.072570693,10,0.077,0.285714286,1.870366015,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916
25,0.385662481,12,0.144,0.285714286,1.870366015,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211
26,0.385662481,12,-0.056,0.23255814,2,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211
27,0.385662481,12,0.171,0.285714286,1.870366015,darkgreen,0.58,Prescribed burn,Temperate forest,0.058619211
28,0.072570693,10,0.196,0.285714286,1.870366015,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916
29,0.072570693,10,0.121,0.23255814,2,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916
30,0.072570693,10,0.161,0.285714286,1.870366015,darkgreen,0.83,Prescribed burn,Temperate forest,-0.02362916
31,0.162518929,11,0.028,0.416666667,1.648299225,darkgreen,0.75,Wildfire,Temperate grassland,0
32,0.162518929,11,-0.246,0.416666667,1.648299225,darkgreen,0.75,Wildfire,Temperate grassland,0
33,0.385662481,12,0.077,0.333333333,1.777053431,darkgreen,0.58,Prescribed burn,Savanna,0.058619211
34,-0.09531018,8,-0.168,0.333333333,1.777053431,darkgreen,1,Prescribed burn,Savanna,-0.067731014
35,0.385662481,12,-0.098,0.333333333,1.777053431,darkgreen,0.58,Prescribed burn,Savanna,0.058619211
36,-0.09531018,8,0.903,0.333333333,1.777053431,darkgreen,1,Prescribed burn,Savanna,-0.067731014
37,0.385662481,12,-0.356,0.333333333,1.777053431,darkgreen,0.58,Prescribed burn,Savanna,0.058619211
38,-0.09531018,8,0.001,0.333333333,1.777053431,darkgreen,1,Prescribed burn,Savanna,-0.067731014
39,0.385662481,12,-0.229,0.333333333,1.777053431,darkgreen,0.58,Prescribed burn,Savanna,0.058619211
40,-0.09531018,8,0.208,0.333333333,1.777053431,darkgreen,1,Prescribed burn,Savanna,-0.067731014
41,0.385662481,12,-0.459,0.333333333,1.777053431,darkgreen,0.58,Prescribed burn,Savanna,0.058619211
42,-0.09531018,8,0.162,0.333333333,1.777053431,darkgreen,1,Prescribed burn,Savanna,-0.067731014
43,0.385662481,12,0.137,0.333333333,1.777053431,darkgreen,0.58,Prescribed burn,Savanna,0.058619211
44,-0.09531018,8,0.255,0.333333333,1.777053431,darkgreen,1,Prescribed burn,Savanna,-0.067731014
45,0.385662481,12,-0.164,0.333333333,1.777053431,darkgreen,0.58,Prescribed burn,Savanna,0.058619211
46,-0.09531018,8,-0.375,0.333333333,1.777053431,darkgreen,1,Prescribed burn,Savanna,-0.067731014
47,0.385662481,12,-0.336,0.333333333,1.777053431,darkgreen,0.58,Prescribed burn,Savanna,0.058619211
48,-0.09531018,8,0.54,0.333333333,1.777053431,darkgreen,1,Prescribed burn,Savanna,-0.067731014
49,-1.62924054,2,0.125,0.666666667,1.40469715,darkgreen,5,Slash and burn,Boreal forest,-0.470690395
50,-0.741937345,3,-0.076,2,1,darkgreen,2,Prescribed burn,Temperate grassland,-0.237598231
51,-2.091864062,1,0.005,1,1.227913616,darkgreen,8,Prescribed burn,Mediterranean forest,-0.59222035
52,-2.091864062,1,-0.001,1,1.227913616,darkgreen,8,Prescribed burn,Mediterranean forest,-0.59222035
53,-2.091864062,1,0.521,1,1.227913616,darkgreen,8,Prescribed burn,Mediterranean forest,-0.59222035
54,-2.091864062,1,0.452,1,1.227913616,darkgreen,8,Prescribed burn,Mediterranean forest,-0.59222035
55,1.714798428,18,0.564,0.666666667,1.40469715,darkgreen,0.08,Prescribed burn,Temperate grassland,0.40777965
56,1.049822124,16,0.223,0.666666667,1.40469715,darkgreen,0.25,Prescribed burn,Temperate grassland,0.233092163
57,0.84397007,15,0.154,0.666666667,1.40469715,darkgreen,0.33,Prescribed burn,Temperate grassland,0.179015382
58,1.30933332,17,0.626,2,1,darkgreen,0.17,Wildfire,Temperate forest,0.301265057
59,0.84397007,15,0.198,2,1,darkgreen,0.33,Wildfire,Temperate forest,0.179015382
60,0.510825624,13,0.16,2,1,darkgreen,0.5,Wildfire,Temperate forest,0.091499232
61,-0.300104592,6,0.128,2,1,darkgreen,1.25,Wildfire,Temperate forest,-0.121529955
62,-0.357674444,5,0.047,2,1,darkgreen,1.33,Wildfire,Temperate forest,-0.1366534
63,-0.418710335,4,0.205,2,1,darkgreen,1.42,Wildfire,Temperate forest,-0.152687365
64,-0.09531018,8,0.318,0.666666667,1.40469715,darkgreen,1,Prescribed burn,Savanna,-0.067731014
65,-1.62924054,2,0.524,2,1,darkgreen,5,Slash and burn,Tropical forest,-0.470690395
66,1.714798428,18,0.202,0.4,1.671264348,darkgreen,0.08,Prescribed burn,Savanna,0.40777965
