Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,row,Study
1,2,0.5,-0.25,0.018474044,darkgreen,1.58876233,-0.524017467,2,m14_1_Allison_2008
2,3,1.2,0.15,0.007290224,darkgreen,1.413606736,-0.371179039,3,m14_1_Allison_2010
3,9,0.65,0.17,0.008727527,darkgreen,1.447504087,-0.491266376,9,m14_1_Bergner_2004
4,16,0.8,-0.29,0.107181136,darkgreen,1.919951482,-0.458515284,16,m14_1_Bokhors_2007
5,17,0.8,0.34,0.081499593,darkgreen,1.86835185,-0.458515284,17,m14_1_Bokhorst_2007
6,18,0.8,0.17,0.036927622,darkgreen,1.719228367,-0.458515284,18,m14_1_Bokhorst_2007
7,28,3.5,0.48,0.031655587,darkgreen,1.690210373,0.131004367,28,m14_1_Briones_2009
8,29,5,0.09,0.015503876,darkgreen,1.55574489,0.458515284,29,m14_1_Bronson_2008
9,30,5,-0.22,0.006849315,darkgreen,1.401854958,0.458515284,30,m14_1_Bronson_2008
10,37,1.35,0.29,0.033211558,darkgreen,1.69924914,-0.338427948,37,m14_1_Christensen_1997
11,40,3.15,0.06,0.100401606,darkgreen,1.907642784,0.054585153,40,m14_1_Comstedt_2006
12,43,3,0.07,0.003333333,darkgreen,1.26619307,0.021834061,43,m14_1_De Boeck_2007
13,49,4,-0.1,0.055218112,darkgreen,1.795016811,0.240174672,49,m14_1_Edwards_1999
14,50,4,0.06,0.050150451,darkgreen,1.776883341,0.240174672,50,m14_1_Edwards_1999
15,52,1.1,0.06,0.006666667,darkgreen,1.396763478,-0.3930131,52,m14_1_Emmett_2004
16,53,0.6,0.03,0.006666667,darkgreen,1.396763478,-0.502183406,53,m14_1_Emmett_2004
17,54,0.5,0.17,0.006666667,darkgreen,1.396763478,-0.524017467,54,m14_1_Emmett_2004
18,55,0.9,0,0.006666667,darkgreen,1.396763478,-0.436681223,55,m14_1_Emmett_2004
19,62,3,-0.27,0.031152648,darkgreen,1.687193497,0.021834061,62,m14_1_Garten Jr_2009
20,63,3,0.09,0.009543806,darkgreen,1.464346609,0.021834061,63,m14_1_Garten Jr_2009
21,67,3,0.04,0.002222222,darkgreen,1.189814277,0.021834061,67,m14_1_Grogan_2000
22,68,3,0.06,0.002222222,darkgreen,1.189814277,0.021834061,68,m14_1_Grogan_2000
