Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study,Exp..code
1,0.666666667,-0.428993626,0.027378829,darkgreen,1.855859913,0,m15_1_Aquilino et al. 2005,1
2,0.8,-0.856649966,0.143704862,blue,1.779821783,0.228571428,m15_1_Bruno and O'Connor 2005,16
3,0.666666667,0.014403541,0.054747325,blue,1.824079736,0,m15_1_Byrnes et al. 2006,22
4,0.75,-1.457105231,0.068366771,darkgreen,1.813891199,0.142857142,m15_1_Snyder et al. 2006,124
5,0.666666667,-0.62834302,0.094623655,darkgreen,1.798985238,0,m15_1_Straub and Snyder 2006,136
6,0.75,-0.499701168,0.119289195,darkgreen,1.78836171,0.142857142,m15_1_Straub and Snyder 2006,137
7,0.666666667,-1.359132197,0.098862467,blue,1.796975484,0,m15_1_Douglass et al. 2008,190
8,0.666666667,-2.259572726,0.165060469,blue,1.773467648,0,m15_1_Douglass et al. 2008,191
9,0.666666667,-2.283424595,0.127430211,blue,1.785334015,0,m15_1_Douglass et al. 2008,192
10,0.666666667,-1.727322414,0.045778694,blue,1.832284821,0,m15_1_Douglass et al. 2008,193
11,0.8,-0.200067668,0.041466075,blue,1.836822511,0.228571428,m15_1_O'Connor and Bruno 2009,211
12,0.8,-0.325897284,0.150364876,blue,1.777744106,0.228571428,m15_1_O'Connor and Bruno 2009,212
13,0.666666667,-0.186194765,0.055804565,blue,1.823202534,0,m15_1_O'Connor et al. 2008,213
14,0.666666667,-0.222177255,0.186128163,blue,1.767958589,0,m15_1_Nilsson et al. 2008,304
15,0.666666667,-0.864646885,0.645357819,blue,1.71093569,0,m15_1_Nilsson et al. 2008,305
16,0.666666667,-0.944672703,0.032306587,darkgreen,1.84826977,0,m15_1_Finke and Snyder 2008,340
17,0.75,-0.113481954,0.065299018,blue,1.8159967,0.142857142,m15_1_Jonsson et al. 2007,352
18,0.75,0.47362776,0.05611816,blue,1.822945535,0.142857142,m15_1_Jonsson et al. 2007,353
19,0.75,-0.157489581,0.015806657,blue,1.881053467,0.142857142,m15_1_Jonsson et al. 2007,354
20,0.75,0.48896683,0.030632255,blue,1.850710414,0.142857142,m15_1_Jonsson et al. 2007,355
21,0.75,-1.017688738,0.184378967,darkgreen,1.768391625,0.142857142,m15_1_Straub and Snyder 2008,361
22,0.75,-2.223937072,0.089692485,darkgreen,1.801439774,0.142857142,m15_1_Straub and Snyder 2008,362
23,0.75,-2.680472381,0.133057147,darkgreen,1.783352342,0.142857142,m15_1_Straub and Snyder 2008,363
24,0.75,-1.705073114,0.096323185,darkgreen,1.798168831,0.142857142,m15_1_Straub and Snyder 2008,364
25,0.666666667,0.010386424,0.001181557,darkgreen,2,0,m15_1_Griffiths et al. 2008,200
26,0.666666667,-0.191933622,0.004524729,darkgreen,1.938420514,0,m15_1_Griffiths et al. 2008,201
27,0.666666667,-0.324553913,0.008680914,darkgreen,1.908538518,0,m15_1_Griffiths et al.2008,202
28,0.75,-0.588950132,0.166454568,darkgreen,1.773081928,0.142857142,m15_1_Snyder et al. 2008,441
29,0.75,-0.817923978,0.126554221,darkgreen,1.785650369,0.142857142,m15_1_Snyder et al. 2008,442
30,0.75,-0.690892388,0.300847252,darkgreen,1.745937359,0.142857142,m15_1_Snyder et al. 2008,443
31,0.75,-0.187696802,0.111635869,darkgreen,1.791402716,0.142857142,m15_1_Snyder et al. 2008,444
32,0.666666667,-1.465492997,0.114073839,blue,1.790411943,0,m15_1_Cochran-Stafira and von Ende 1998,571
33,0.666666667,-1.820040157,2.408089521,blue,1.650545879,0,m15_1_Cochran-Stafira and von Ende 1998,570
34,0.75,-1.36019925,0.095487643,blue,1.798568386,0.142857142,m15_1_Byrnes and Stachowicz 2009,575
