Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,Study,System
1,11,4.947660495,0.522645719,0.348414378,darkblue,1.007633997,0.133805757,m16_1_Baden&&2010,M
2,12,4.947660495,0.969779417,0.236375457,darkblue,1.005417818,0.133805757,m16_1_Baden&&2010,M
3,13,4.947660495,-3.028867043,1.537884805,darkblue,1.023790669,0.133805757,m16_1_Baden&&2010,M
4,14,4.947660495,1.179255754,0.428941146,darkblue,1.009115899,0.133805757,m16_1_Baden&&2010,M
5,15,4.947660495,0.458938117,0.75696352,darkblue,1.014395503,0.133805757,m16_1_Baden&&2010,M
6,16,4.947660495,-3.157291839,1.396619441,darkblue,1.022327482,0.133805757,m16_1_Baden&&2010,M
7,17,4.947660495,1.1352355,0.117679146,darkblue,1.002839253,0.133805757,m16_1_Baden&&2010,M
8,18,4.947660495,0.772887591,0.661728889,darkblue,1.012971745,0.133805757,m16_1_Baden&&2010,M
9,19,4.947660495,-0.649287227,0.097127987,darkblue,1.002365118,0.133805757,m16_1_Baden&&2010,M
10,20,4.947660495,0.277024959,0.282212735,darkblue,1.006347851,0.133805757,m16_1_Baden&&2010,M
11,21,4.947660495,0.633521679,0.140020817,darkblue,1.003344906,0.133805757,m16_1_Baden&&2010,M
12,22,4.947660495,0.387886351,0.516053452,darkblue,1.010627756,0.133805757,m16_1_Baden&&2010,M
13,23,4.947660495,-1.848029763,0.6432226,darkblue,1.012685625,0.133805757,m16_1_Baden&&2010,M
14,24,4.947660495,-0.231544499,0.091664506,darkblue,1.002237576,0.133805757,m16_1_Baden&&2010,M
15,25,4.947660495,-0.331551912,0.110728822,darkblue,1.002679885,0.133805757,m16_1_Baden&&2010,M
16,26,4.947660495,-1.742962447,0.647139781,darkblue,1.012746456,0.133805757,m16_1_Baden&&2010,M
17,27,4.947660495,-0.536704594,0.163929599,darkblue,1.003875166,0.133805757,m16_1_Baden&&2010,M
18,28,4.947660495,-0.330437051,0.103718239,darkblue,1.002518122,0.133805757,m16_1_Baden&&2010,M
19,40,1.609437912,2.48490665,0.125,darkblue,1.003006049,-0.089017505,m16_1_Moksnes&&,M
20,41,1.609437912,0.916290732,0.0725,darkblue,1.001785087,-0.089017505,m16_1_Moksnes&&,M
21,49,2.079441542,-1.290984181,0.26911157,darkblue,1.006085468,-0.057645198,m16_1_Douglass&&2007,M
22,50,2.079441542,-0.715620036,0.346903377,darkblue,1.007605352,-0.057645198,m16_1_Douglass&&2007,M
23,51,2.079441542,-1.427116356,0.067777778,darkblue,1.00167235,-0.057645198,m16_1_Douglass&&2007,M
24,52,2.079441542,0.262364264,0.418698225,darkblue,1.008932106,-0.057645198,m16_1_Douglass&&2007,M
25,53,2.079441542,-0.693147181,1.8125,darkblue,1.026415554,-0.057645198,m16_1_Douglass&&2007,M
