Unit_ID,X.1,X,LRR,var.LRR,col,scale,Study,Sys1,pr.st
1,120,0.041666667,-0.154840573,0.008678841,darkgreen,1.031902963,m1_15,T,-3.059660935
2,121,0.208333333,-0.217984469,0.011947733,darkgreen,1.023057599,m1_15,T,-2.282456354
3,122,0.166666667,-0.550690222,0.009915927,darkgreen,1.027869601,m1_15,T,-2.476757497
4,123,0.083333333,-0.57490448,0.015848049,darkgreen,1.017277958,m1_15,T,-2.865359792
5,132,0.083333333,-0.517088692,0.034355997,darkgreen,1.007740288,m1_15,T,-2.865359792
6,133,0.208333333,-0.479413003,0.01355973,darkgreen,1.020265762,m1_15,T,-2.282456354
7,134,0.041666667,-0.206119668,0.014008084,darkgreen,1.019603464,m1_15,T,-3.059660935
8,135,0.166666667,-0.5562396,0.019657259,darkgreen,1.013847133,m1_15,T,-2.476757497
9,158,0.857142857,-0.129875081,0.003538084,blue,1.078877184,m1_18,A,0.743090064
10,159,0.333333333,0.000958926,0.007703618,blue,1.035995662,m1_18,A,-1.699552916
11,160,0.888888889,-0.214625409,0.004479705,blue,1.062207746,m1_18,A,0.891129034
12,161,0.666666667,-0.153511294,0.005140285,blue,1.054158574,m1_18,A,-0.145143744
13,162,0.5,0.001517067,0.012652927,blue,1.021748735,m1_18,A,-0.92234833
14,163,0.833333333,-0.100536363,0.004260715,blue,1.065426996,m1_18,A,0.632060837
15,164,0.833333333,-0.02341754,0.008532889,blue,1.03245595,m1_18,A,0.632060837
16,165,0.5,-0.073427712,0.016711511,blue,1.016363183,m1_18,A,-0.92234833
17,166,0.75,-0.295541518,0.007514595,blue,1.036911834,m1_18,A,0.243458546
18,169,0.833333333,-0.513779052,0.022762805,darkgreen,1.011899749,m1_110,T,0.632060837
19,170,0.5,-0.11822444,0.049554137,darkgreen,1.005235504,m1_110,T,-0.92234833
20,230,0.5,-0.588707343,0.063161016,darkgreen,1.004015695,m1_118,T,-0.92234833
21,231,0.875,-0.504574397,0.02504261,darkgreen,1.010777589,m1_118,T,0.826361984
22,232,0.9375,-0.531640037,0.021365406,darkgreen,1.012705955,m1_118,T,1.117813703
23,233,0.75,-0.469627552,0.024971259,darkgreen,1.010809604,m1_118,T,0.243458546
24,234,0.833333333,-0.169089313,0.002692953,darkgreen,1.103765155,m1_119,T,0.632060837
25,235,0.5,-0.068922397,0.004411454,darkgreen,1.063176782,m1_119,T,-0.92234833
26,236,0.5,-0.176135479,0.00155029,darkgreen,1.180561195,m1_119,T,-0.92234833
27,237,0.833333333,-0.313305906,0.000910301,darkgreen,1.307805081,m1_119,T,0.632060837
28,238,0.5,-0.039701547,0.000280464,darkgreen,2,m1_119,T,-0.92234833
29,239,0.833333333,-0.402106748,0.000285155,darkgreen,1.983542279,m1_119,T,0.632060837
30,275,0.9375,-0.312350757,0.006275142,darkgreen,1.044286856,m1_124,T,1.117813703
31,276,0.75,-0.115156876,0.006752433,darkgreen,1.041126312,m1_124,T,0.243458546
32,277,0.5,-0.021745191,0.004924014,darkgreen,1.05655605,m1_124,T,-0.92234833
33,278,0.75,-0.131041685,0.005431965,darkgreen,1.051227513,m1_124,T,0.243458546
34,279,0.9375,-0.147519471,0.010239872,darkgreen,1.02697443,m1_124,T,1.117813703
35,280,0.5,0.001346744,0.011270175,darkgreen,1.024469462,m1_124,T,-0.92234833
36,281,0.666666667,0.083841336,0.019019503,darkgreen,1.014325758,m1_125,T,-0.145143744
37,282,0.333333333,0.020441412,0.015255506,darkgreen,1.017965628,m1_125,T,-1.699552916
38,313,0.857142857,0.045120435,0.050453922,blue,1.005134526,m1_128,A,0.743090064
39,314,0.857142857,-1.809886854,0.108925714,blue,1.002149257,m1_128,A,0.743090064
40,315,0.857142857,0.298855373,0.017957532,blue,1.015198185,m1_128,A,0.743090064
41,316,0.857142857,-0.100083459,0.018254119,blue,1.014944318,m1_128,A,0.743090064
42,317,0.857142857,-1.813982606,0.026856148,blue,1.010020991,m1_128,A,0.743090064
43,318,0.857142857,0.577793099,0.042132154,blue,1.006232948,m1_128,A,0.743090064
44,319,0.857142857,-0.113328685,0.130076531,blue,1.001730405,m1_128,A,0.743090064
45,326,0.857142857,0.171850257,0.040820252,blue,1.006446978,m1_128,A,0.743090064
46,327,0.857142857,-1.505026614,0.348177519,blue,1.000379203,m1_128,A,0.743090064
47,328,0.857142857,-0.39877612,0.657627444,blue,1,m1_128,A,0.743090064
48,329,0.857142857,0,0.096388889,blue,1.002484294,m1_128,A,0.743090064
49,350,0.777777778,-0.244526019,0.195625615,darkgreen,1.001007628,m1_129,T,0.372992645
50,351,0.888888889,-0.277628441,0.081049871,darkgreen,1.003035204,m1_129,T,0.891129034
51,352,0.888888889,-0.741044629,0.054875976,darkgreen,1.00468639,m1_129,T,0.891129034
52,353,0.777777778,-0.632986566,0.03841286,darkgreen,1.006877759,m1_129,T,0.372992645
53,354,0.777777778,-0.282273744,0.025893552,darkgreen,1.010409383,m1_129,T,0.372992645
54,355,0.888888889,-0.70103345,0.030251265,darkgreen,1.008848445,m1_129,T,0.891129034
55,356,0.666666667,-0.12852681,0.010909572,darkgreen,1.025292374,m1_130,T,-0.145143744
56,357,0.833333333,-0.595589396,0.054782933,darkgreen,1.004695074,m1_130,T,0.632060837
57,358,0.666666667,-0.126673094,0.02001334,darkgreen,1.013593171,m1_130,T,-0.145143744
58,359,0.833333333,-1.113137797,0.083599821,darkgreen,1.002929611,m1_130,T,0.632060837
59,360,0.833333333,-1.05822346,0.128307278,darkgreen,1.00176015,m1_130,T,0.632060837
