Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study
1,365,-1.937941979,0.029366667,darkcyan,1.312524778,-0.052406417,m20_1_Jokiel
2,365,-1.852384091,0.046766869,darkcyan,1.26093661,-0.052406417,m20_1_Kuffner
3,623,-1.586652421,0.163695024,darkcyan,1.12203879,0.341787624,m20_1_Hall-Spencer
4,238,-0.866810675,0.014357289,darkcyan,1.391861656,-0.24644767,m20_1_Martin
5,392.6,-0.8300488,0.492143397,darkcyan,1,-0.010236822,m20_1_Newbold
6,380,-0.804372816,0.032545281,darkcyan,1.301130715,-0.029488159,m20_1_Hare
7,824.5,-0.714653386,0.269755066,darkcyan,1.066659569,0.649656226,m20_1_Kroeker
8,600,-0.699301046,0.101534037,darkcyan,1.174990207,0.306646295,m20_1_Calbet
9,170,-0.693147181,0.004357993,darkcyan,1.524042702,-0.350343774,m20_1_Russell
10,312,-0.559615788,0.145208333,darkcyan,1.135324633,-0.133384263,m20_1_Fabricius
11,370,-0.540961003,0.330729992,darkcyan,1.044066163,-0.044766998,m20_1_Hopkins
12,390,-0.510825624,0.056805556,darkcyan,1.239377464,-0.01420932,m20_1_Avgoustidi
13,170,-0.500775288,0.00953168,darkcyan,1.437276957,-0.350343774,m20_1_Russell
14,406,-0.470003629,0.014455556,darkcyan,1.391105422,0.010236822,m20_1_Doropoulos
15,824.5,-0.446287103,0.034166667,darkcyan,1.295740556,0.649656226,m20_1_Kroeker
16,550,-0.442283304,0.022249015,darkcyan,1.34329737,0.230252101,m20_1_Riebesell
17,350,-0.393042588,0.007544605,darkcyan,1.463196417,-0.075324675,m20_1_Tribollet
18,415,-0.373862605,5.95E-05,darkcyan,2,0.023987777,m20_1_Gao
19,447.37,-0.345633429,0.166519417,darkcyan,1.120142202,0.073445378,m20_1_Christen
20,192.1,-0.343771539,0.002413158,darkcyan,1.589573601,-0.31657754,m20_1_Saba
21,824,-0.291133715,0.209003863,darkcyan,1.094948639,0.648892284,m20_1_Kroeker
22,314.5,-0.287682072,0.028211806,darkcyan,1.31697274,-0.129564553,m20_1_Yoshimura
23,570.15,-0.28616706,0.002757285,darkcyan,1.574793862,0.261038961,m20_1_Troedsson
24,415,-0.262223564,0.000749382,darkcyan,1.719226491,0.023987777,m20_1_Gao
25,550,-0.250300463,0.039763397,darkcyan,1.278922405,0.230252101,m20_1_Riebesell
26,570.15,-0.184781877,0.011460864,darkcyan,1.416842226,0.261038961,m20_1_Troedsson
27,501,-0.171850257,0.024750043,darkcyan,1.331486739,0.155385791,m20_1_Goodwin
28,550,-0.159180028,0.008032766,darkcyan,1.456245463,0.230252101,m20_1_Riebesell
29,570.15,-0.129937505,0.001432624,darkcyan,1.647382947,0.261038961,m20_1_Troedsson
30,415,-0.126719351,0.001850749,darkcyan,1.618991764,0.023987777,m20_1_Gao
31,365,-0.115512887,0.066579054,darkcyan,1.221776636,-0.052406417,m20_1_Jokiel
32,296,-0.104285099,0.006719576,darkcyan,1.476035696,-0.157830405,m20_1_Alsterberg
33,296,-0.09994469,0.042212755,darkcyan,1.272295248,-0.157830405,m20_1_Alsterberg
34,432.5,-0.098845835,0.013064913,darkcyan,1.402319489,0.050725745,m20_1_Lomas
35,415,-0.092844306,0.000839021,darkcyan,1.706699948,0.023987777,m20_1_Gao
36,296,-0.086678941,0.032923733,darkcyan,1.299848936,-0.157830405,m20_1_Alsterberg
37,615,-0.084486516,0.000143323,darkcyan,1.902617331,0.329564553,m20_1_Gao
38,432.5,-0.075035186,0.387310712,darkcyan,1.02655746,0.050725745,m20_1_Lomas
39,501,-0.068992871,0.098469388,darkcyan,1.178388107,0.155385791,m20_1_Goodwin
40,335.5,-0.055569851,0.013791685,darkcyan,1.39631762,-0.097478992,m20_1_Eklof
41,615,-0.046756826,0.000273426,darkcyan,1.831004828,0.329564553,m20_1_Gao
42,296,-0.031265401,0.006379873,darkcyan,1.481787141,-0.157830405,m20_1_Alsterberg
43,570.15,0,0.014896906,darkcyan,1.387771123,0.261038961,m20_1_Troedsson
44,320,0.026317308,0.011226494,darkcyan,1.419132919,-0.121161192,m20_1_Wu
45,375,0.055282967,0.002986781,darkcyan,1.565930057,-0.037127578,m20_1_Egge
46,370,0.070526563,0.003579165,darkcyan,1.545870478,-0.044766998,m20_1_Endo
47,822,0.070617567,0.107736278,darkcyan,1.168416635,0.645836516,m20_1_Cigliano
48,432.5,0.074107972,0.003673067,darkcyan,1.542999297,0.050725745,m20_1_Lomas
49,570.15,0.111582997,0.002614224,darkcyan,1.58070078,0.261038961,m20_1_Troedsson
50,600,0.135801541,0.00262139,darkcyan,1.580397291,0.306646295,m20_1_Calbet
51,192.1,0.16034265,0.06346922,darkcyan,1.227079966,-0.31657754,m20_1_Saba
52,822,0.167054085,0.019733646,darkcyan,1.356598406,0.645836516,m20_1_Cigliano
53,335.5,0.167054085,0.013809966,darkcyan,1.396170762,-0.097478992,m20_1_Eklof
54,298,0.224354939,0.027998269,darkcyan,1.317815093,-0.154774637,m20_1_Feng
55,370,0.244133827,0.01028197,darkcyan,1.428876448,-0.044766998,m20_1_Endo
