Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
1,-0.914923918,0.194156014,0.023996855,1.435412939,darkblue,m2_2_BBH007,1,freshwater,-0.940250481
2,-0.914923918,0.075349437,0.007073921,1.505991334,darkblue,m2_2_BBH007,2,freshwater,-0.940250481
3,-0.348983448,0.693147181,0.001707029,1.5881345,darkblue,m2_2_BBH008,3,freshwater,-0.360826682
4,-0.348983448,0.464305608,0.003324833,1.549614759,darkblue,m2_2_BBH008,4,freshwater,-0.360826682
5,-0.656816036,0.720546155,0.006293713,1.512743682,darkblue,m2_2_BBH009,5,freshwater,-0.675993272
6,-0.656816036,0.625093717,0.015992556,1.458859918,darkblue,m2_2_BBH009,6,freshwater,-0.675993272
7,-0.595754352,1.018569581,0.011562812,1.477599576,darkblue,m2_2_BBH041,7,freshwater,-0.613476814
8,-0.648497869,0.227783931,0.009334375,1.489969653,darkblue,m2_2_BBH042,8,freshwater,-0.667476927
9,-0.796655938,0.196710294,0.000820651,1.630453064,darkblue,m2_2_BBH043,9,freshwater,-0.819164809
10,-0.796655938,0.028170877,0.000729449,1.637260016,darkblue,m2_2_BBH044,10,freshwater,-0.819164809
11,-0.773057251,0.185403223,0.002959028,1.556349489,darkblue,m2_2_BBH045,11,freshwater,-0.795003892
13,-0.69922623,0.287682072,0.002664468,1.56240806,darkblue,m2_2_BBH047,13,freshwater,-0.719413874
14,-0.822567909,0.127833372,0.001778987,1.585748783,darkblue,m2_2_BBH048,14,freshwater,-0.845694123
15,-0.802957563,0.417299566,0.008568225,1.494918095,darkblue,m2_2_BBH049,15,freshwater,-0.825616568
16,-0.800180776,0.510825624,0.010739883,1.481865449,darkblue,m2_2_BBH050,16,freshwater,-0.822773625
17,-0.835151404,0.547965171,0.002711835,1.56138992,darkblue,m2_2_BBH051,17,freshwater,-0.858577415
18,-0.763682957,0.773189888,0.003679041,1.543765572,darkblue,m2_2_BBH052,18,freshwater,-0.785406258
19,-0.860938076,0.994252273,0.001373776,1.600683719,darkblue,m2_2_BBH053,19,freshwater,-0.884978447
20,-0.77659408,0.421213465,0.000933796,1.622990183,darkblue,m2_2_BBH054,20,freshwater,-0.798624985
21,-0.831896599,0.302280872,0.003184285,1.552110367,darkblue,m2_2_BBH055,21,freshwater,-0.855245066
22,-0.831896599,0.526093096,0.002329438,1.570172355,darkblue,m2_2_BBH056,22,freshwater,-0.855245066
23,-0.854993008,0.415515444,0.001001819,1.618927453,darkblue,m2_2_BBH057,23,freshwater,-0.878891739
24,-0.668027753,0.245122458,0.005073472,1.525196707,darkblue,m2_2_BBH058,24,freshwater,-0.687472104
25,-0.691799125,-0.024692613,0.00011418,1.744413329,darkblue,m2_2_BBH059,25,freshwater,-0.71180982
26,-0.691799125,0.148420005,0.001030773,1.617281208,darkblue,m2_2_BBH060,26,freshwater,-0.71180982
27,-0.691799125,0.080042708,0.007846242,1.500004211,darkblue,m2_2_BBH062,27,freshwater,-0.71180982
28,-0.828694418,0.217064505,6.96E-05,1.773016137,darkblue,m2_2_BBH063,28,freshwater,-0.851966594
29,-0.705317995,0.42073258,0.000765621,1.634463584,darkblue,m2_2_BBH064,29,freshwater,-0.725650773
30,-0.664503092,0.15415068,0.004745108,1.529062818,darkblue,m2_2_BBH065,30,freshwater,-0.683863469
31,-0.664503092,0.129211731,0.003546183,1.545890723,darkblue,m2_2_BBH066,31,freshwater,-0.683863469
32,-0.664503092,0.211309094,0.003014147,1.555283106,darkblue,m2_2_BBH067,32,freshwater,-0.683863469
33,-0.664503092,-0.171850257,0.010991241,1.480528742,darkblue,m2_2_BBH068,33,freshwater,-0.683863469
34,-0.664503092,0.496436886,0.000246674,1.69990611,darkblue,m2_2_BBH069,34,freshwater,-0.683863469
35,-0.796439328,0,0.002627083,1.563224501,darkblue,m2_2_BBH070,35,freshwater,-0.818943038
36,-0.720007722,0.051293294,0.000894408,1.62548027,darkblue,m2_2_BBH071,36,freshwater,-0.740690477
37,-0.652490087,0.923670839,0.000762242,1.634719105,darkblue,m2_2_BBH072,37,freshwater,-0.671564259
38,-0.437664813,0.639079959,0.007353402,1.503752471,darkblue,m2_2_BBH073,38,freshwater,-0.451620848
39,-0.437664813,0.859132318,0.009305395,1.490149316,darkblue,m2_2_BBH073,39,freshwater,-0.451620848
40,-0.443462405,0.405465108,0.00787037,1.499826799,darkblue,m2_2_BBH074,40,freshwater,-0.457556566
41,-0.443462405,0.387765531,0.015730409,1.45981488,darkblue,m2_2_BBH074,41,freshwater,-0.457556566
42,-0.431520998,0.693147181,0.058966667,1.383466101,darkblue,m2_2_BBH075,42,freshwater,-0.445330659
43,-0.431520998,0.813510863,0.029239598,1.4239956,darkblue,m2_2_BBH075,43,freshwater,-0.445330659
44,-0.449377596,0.470003629,0.025408333,1.432110571,darkblue,m2_2_BBH076,44,freshwater,-0.463612685
45,-0.449377596,0.470003629,0.02042517,1.44472442,darkblue,m2_2_BBH076,45,freshwater,-0.463612685
46,-0.448625634,1.086189769,0.005162323,1.524193578,darkblue,m2_2_BBH077,46,freshwater,-0.462842807
47,-0.448625634,1.056052674,0.029552246,1.423381064,darkblue,m2_2_BBH077,47,freshwater,-0.462842807
48,-0.294266098,-0.084557388,0.018024969,1.451947464,darkblue,m2_2_BBH078,48,freshwater,-0.304805711
