Unit_ID,X.1,X,LRR,var.LRR,scale,col,Study,pr.st
1,2,100,-0.14,0.08,1.2805626,darkgreen,m4_1_Allison et al. 2008,-0.156275622
2,5,100,-0.14,0.04,1.520375067,darkgreen,m4_1_Brenner et al. 2005,-0.156275622
3,6,100,-0.08,0.05,1.443172696,darkgreen,m4_1_Brenner et al. 2005,-0.156275622
4,7,300,-0.25,0.05,1.443172696,darkgreen,m4_1_Chen et al. 2002,1.617867912
5,8,600,-0.24,0.05,1.443172696,darkgreen,m4_1_Chen et al. 2002,4.279083214
6,9,90,-0.38,0.02,1.760187533,darkgreen,m4_1_Collins et al. 1992,-0.244982799
7,10,90,-0.07,0.03,1.619906233,darkgreen,m4_1_Collins et al. 1992,-0.244982799
8,11,30,-0.2,0.01,2,darkgreen,m4_1_DeForest et al. 2004,-0.777225859
9,12,100,-0.48,0.01,2,darkgreen,m4_1_Demoling et al. 2008,-0.156275622
10,14,56,-0.24,0.01,2,darkgreen,m4_1_Deng et al. 2006,-0.546587199
11,15,168,-0.57,0.05,1.443172696,darkgreen,m4_1_Deng et al. 2006,0.44693318
12,16,504,-1.83,0.02,1.760187533,darkgreen,m4_1_Deng et al. 2006,3.427494317
13,18,34,-0.34,0.01,2,darkgreen,m4_1_Hogberg et al. 2007,-0.741742988
14,19,68,-0.54,0.01,2,darkgreen,m4_1_Hogberg et al. 2007,-0.440138587
15,20,100,0.12,0.05,1.443172696,darkgreen,m4_1_Klein & Paschke 2000,-0.156275622
16,21,264,0.32,0.08,1.2805626,darkgreen,m4_1_Lagomarsino et al. 2006,1.298522076
17,25,305,-0.49,0.05,1.443172696,darkgreen,m4_1_McAndrew & Malhi 1992,1.662221501
18,26,150,0.1,0.01,2,darkgreen,m4_1_Nohrstedt et al. 1989,0.287260262
19,28,100,-0.32,0.02,1.760187533,darkgreen,m4_1_Schmidt et al. 2004,-0.156275622
20,29,80,0.31,0.01,2,darkgreen,m4_1_Schnurer et al. 1985,-0.333689975
21,30,80,0.25,0.01,2,darkgreen,m4_1_Waldrop et al. 2004,-0.333689975
22,31,80,0.1,0.01,2,darkgreen,m4_1_Waldrop et al. 2004,-0.333689975
23,32,80,-0.36,0.01,2,darkgreen,m4_1_Waldrop et al. 2004,-0.333689975
24,33,150,-0.76,0.02,1.760187533,darkgreen,m4_1_Wallenstein et al. 2006,0.287260262
25,34,25,-0.12,0.04,1.520375067,darkgreen,m4_1_Wallenstein et al. 2006,-0.821579447
26,35,31,-1.19,0.03,1.619906233,darkgreen,m4_1_Wallenstein et al. 2006,-0.768355141
27,37,100,0.09,0.1,1.20336023,darkgreen,m4_1_Allison et al. 2008,-0.156275622
28,40,30,-0.03,0.02,1.760187533,darkgreen,m4_1_DeForest et al. 2004,-0.777225859
29,41,100,-0.79,0.01,2,darkgreen,m4_1_Demoling et al. 2008,-0.156275622
30,42,150,0.16,0.05,1.443172696,darkgreen,m4_1_Frey et al. 2004,0.287260262
31,44,68,-1.06,0.01,2,darkgreen,m4_1_Hogberg 2006,-0.440138587
32,45,100,0.07,0.03,1.619906233,darkgreen,m4_1_Lowell & Klein 2001,-0.156275622
33,46,80,0.31,0.02,1.760187533,darkgreen,m4_1_Schnurer et al. 1985,-0.333689975
34,47,60,0.11,0.01,2,darkgreen,m4_1_Siguenza et al. 2006,-0.511104329
35,51,100,0.09,0.18,1,darkgreen,m4_1_Treseder et al. 2005,-0.156275622
36,52,100,0.03,0.11,1.170385171,darkgreen,m4_1_Treseder et al. 2007,-0.156275622
37,53,100,0.61,0.15,1.06307893,darkgreen,m4_1_Treseder et al. 2007,-0.156275622
38,54,100,-0.18,0.08,1.2805626,darkgreen,m4_1_Treseder et al. 2007,-0.156275622
39,55,100,0.05,0.16,1.040750134,darkgreen,m4_1_Allison et al. 2008,-0.156275622
40,57,35,-0.03,0.02,1.760187533,darkgreen,m4_1_Boxman et al. 1998,-0.732872271
41,58,30,0.04,0.01,2,darkgreen,m4_1_DeForest et al. 2004,-0.777225859
42,59,150,0.21,0.03,1.619906233,darkgreen,m4_1_Frey et al. 2004,0.287260262
43,62,80,0.2,0.01,2,darkgreen,m4_1_Schnurer et al. 1985,-0.333689975
44,63,150,-0.05,0.04,1.520375067,darkgreen,m4_1_Soderstrom et al. 1983,0.287260262
45,64,5,-0.15,0.08,1.2805626,darkgreen,m4_1_Stapleton et al. 2005,-0.998993801
46,65,5,-0.35,0.08,1.2805626,darkgreen,m4_1_Stapleton et al. 2005,-0.998993801
47,66,100,0.31,0.02,1.760187533,darkgreen,m4_1_Vishnevetsky & Steinberger,-0.156275622
