Unit_ID,X.1,X,LRR,var.LRR,scale,col,Land.use,soil,Study,pr.st
1,1,5.298317367,0.255679341,0.009420054,1.622521498,darkgreen,upland,Andosol,Akiyama et al. 2000,0.361652754
2,2,5.298317367,0.448390153,0.018974552,1.539641447,darkgreen,upland,Andosol,Akiyama et al. 2000,0.361652754
3,5,5.384495063,1.052119314,0.027696139,1.494879705,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
4,6,5.384495063,0.399386062,0.094475662,1.349650491,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
5,7,5.384495063,0.392756203,0.032258026,1.476833437,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
6,8,5.384495063,1.067784271,0.029554431,1.487193558,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
7,9,5.384495063,1.154385863,0.071534446,1.3825729,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
8,10,5.384495063,1.166255438,0.029607688,1.486980471,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
9,11,5.384495063,0.521583872,0.126565723,1.315040756,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
10,12,5.384495063,1.22911979,0.052586224,1.418994134,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
11,13,5.384495063,1.33609191,0.083957227,1.363620672,darkgreen,upland,mesic Aridic Argiustoll,Bronson et al. 1992,0.512305274
12,15,4.158883083,0.387115969,0.03479008,1.467889782,darkgreen,grassland,Halstow series,Dittert et al. 2001,-1.63026225
13,16,4.605170186,1.237678955,0.706071735,1.111591299,darkgreen,grassland,Gleysol,Dobbie & Smith 2003,-0.850080375
14,17,4.605170186,0.620641785,0.316219322,1.206664779,darkgreen,grassland,Gleysol,Dobbie & Smith 2003,-0.850080375
15,18,4.787491743,0.741003202,0.007007502,1.657538387,darkgreen,paddy,Typic Ustochrept,Ghosh et al. 2003,-0.531352871
16,19,4.787491743,0.613104473,0.002876611,1.762919249,darkgreen,paddy,Typic Ustochrept,Ghosh et al. 2003,-0.531352871
17,20,4.787491743,0.106294659,0.005404678,1.688277505,darkgreen,paddy,Typic Ustochrept,Ghosh et al. 2003,-0.531352871
18,21,4.49980967,3.489879295,0.069029638,1.386791497,darkgreen,upland,Ultisol,Hadi et al. 2008,-1.034267559
19,23,6.907755279,0.574120474,0.004215754,1.717681562,darkgreen,grassland,yellow-red Sudsol,Kelly et al. 2008,3.175209949
20,24,6.907755279,0.293712241,0.005257335,1.691548952,darkgreen,grassland,yellow-red Sudsol,Kelly et al. 2008,3.175209949
21,25,4.941642423,0.119346758,0.042619599,1.443865558,darkgreen,paddy,Typic Ustochrept,Kumar et al. 2000,-0.261872607
22,26,4.941642423,0.084741228,0.034095531,1.470276555,darkgreen,paddy,Typic Ustochrept,Kumar et al. 2000,-0.261872607
23,27,4.941642423,0.300530215,0.006788062,1.661303994,darkgreen,paddy,Typic Ustochrept,Kumar et al. 2000,-0.261872607
24,31,4.382026635,0.55219572,0.010000892,1.61543982,darkgreen,grassland,,Macadam et al. 2003,-1.240171312
25,32,4.442651256,0.920380717,0.012796258,1.586267496,darkgreen,grassland,,Macadam et al. 2003,-1.13418969
26,33,4.828313737,0.864648383,0.003093836,1.754303031,darkgreen,grassland,,Macadam et al. 2003,-0.459989437
27,34,4.828313737,0.944072693,0.001039614,1.883378128,darkgreen,grassland,,Macadam et al. 2003,-0.459989437
28,37,4.382026635,0.736319352,0.001346342,1.852778034,darkgreen,fallow,,Magalhaes et al. 1984,-1.240171312
29,38,4.941642423,0.202524264,0.014335028,1.572827732,darkgreen,paddy,Typic Ustochrept,Majumdar et al. 2000,-0.261872607
30,39,4.941642423,0.051293294,0.005506502,1.686068417,darkgreen,paddy,Typic Ustochrept,Majumdar et al. 2000,-0.261872607
31,40,4.941642423,0.124052649,0.003961102,1.725055902,darkgreen,paddy,Typic Ustochrept,Majumdar et al. 2000,-0.261872607
32,41,4.787491743,0.271496748,0.012409259,1.589902211,darkgreen,upland,Typic Ustochrept,Majumdar et al. 2002,-0.531352871
33,42,4.787491743,0.357674444,0.005629737,1.683448815,darkgreen,upland,Typic Ustochrept,Majumdar et al. 2002,-0.531352871
34,43,4.787491743,0.050189745,0.008009171,1.641725257,darkgreen,upland,Typic Ustochrept,Majumdar et al. 2002,-0.531352871
35,44,4.787491743,0.183721137,0.005671931,1.68256506,darkgreen,upland,Typic Ustochrept,Majumdar et al. 2002,-0.531352871
36,64,5.164785974,0.210526983,0.01176352,1.596227142,darkgreen,upland,Typic Xerofluvent,Meijide et al. 2007,0.128218331
37,65,5.164785974,1.268511325,0.071929053,1.381921802,darkgreen,upland,Typic Xerofluvent,Meijide et al. 2007,0.128218331
38,68,4.382026635,0.55219572,0.010000892,1.61543982,darkgreen,grassland,Gleysol,Merino et al. 2002,-1.240171312
39,69,5.159055299,0.920380717,0.012796258,1.586267496,darkgreen,grassland,Gleysol,Merino et al. 2002,0.118200187
40,72,4.787491743,0.419853846,0.005255017,1.691601148,darkgreen,paddy,Typic Ustochrept,Pathak et al. 2002,-0.531352871
41,73,4.787491743,0.542539599,0.002835581,1.76461956,darkgreen,paddy,Typic Ustochrept,Pathak et al. 2002,-0.531352871
42,74,4.787491743,0.213076897,0.001050306,1.882167097,darkgreen,upland,Typic Ustochrept,Pathak et al. 2002,-0.531352871
43,75,4.787491743,0.256754152,0.000883091,1.902691124,darkgreen,upland,Typic Ustochrept,Pathak et al. 2002,-0.531352871
44,79,5.298317367,0.628608659,0.042517007,1.444150804,darkgreen,grassland,Typic Xerofluvent,Vallejo et al. 2005,0.361652754
45,80,5.164785974,0.337540423,0.004214986,1.717703125,darkgreen,upland,Clcic Haploxerepts,Vallejo et al. 2006,0.128218331
46,81,5.298317367,0.454736157,0.138235615,1.304601968,darkgreen,grassland,Typic Xerofluvent,Vallejo et al. 2005,0.361652754
47,82,5.164785974,1.338892122,0.133676435,1.308571333,darkgreen,upland,Clcic Haploxerepts,Vallejo et al. 2006,0.128218331
48,83,4.49980967,0.350202429,0.000821182,1.911293685,darkgreen,upland,Fluvisol,Weiske et al. 2001,-1.034267559
49,84,5.075173815,0.241696959,0.000388099,2,darkgreen,upland,Fluvisol,Weiske et al. 2001,-0.028438184
50,85,5.192956851,0.337038969,0.000594304,1.949564698,darkgreen,upland,Fluvisol,Weiske et al. 2001,0.17746557
51,86,4.49980967,0.51335407,0.000999624,1.888020727,darkgreen,upland,Fluvisol,Weiske et al. 2001,-1.034267559
52,87,5.075173815,0.630448586,0.000590183,1.950388259,darkgreen,upland,Fluvisol,Weiske et al. 2001,-0.028438184
53,88,5.192956851,0.748474245,0.000523335,1.964615993,darkgreen,upland,Fluvisol,Weiske et al. 2001,0.17746557
54,90,5.010635294,0.121185557,0.007738811,1.645789523,darkgreen,upland,Andosol,Akiyama & Tsuruta 2002,-0.141261934
55,91,5.010635294,0.298044859,0.031247509,1.480600395,darkgreen,upland,Andosol,Akiyama & Tsuruta 2002,-0.141261934
56,92,5.298317367,-0.147157644,0.00943051,1.622390199,darkgreen,upland,Andosol,Akiyama et al. 2000,0.361652754
57,93,5.010635294,0.362001976,0.05327129,1.417462204,darkgreen,upland,Andosol,Akiyama & Tsuruta 2002,-0.141261934
58,94,5.010635294,2.251291799,0.125391336,1.316144097,darkgreen,upland,Andosol,Akiyama & Tsuruta 2002,-0.141261934
59,95,5.298317367,0.029852963,0.013388361,1.580913882,darkgreen,upland,Andosol,Akiyama et al. 2000,0.361652754
60,96,6.396929655,1.657447132,0.048450521,1.428688842,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
61,97,6.396929655,1.42222637,0.013126051,1.583255786,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
62,98,6.396929655,2.68880974,0.030698332,1.482699013,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
63,99,6.396929655,1.704492458,0.040144548,1.450946539,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
64,100,6.396929655,0.484245986,0.022661371,1.518625713,darkgreen,grassland,Gleysol,Ball et al. 2004,2.282204324
65,105,4.49980967,-0.026202372,0.010263452,1.612372619,darkgreen,upland,Andosol,Chu et al. 2007,-1.034267559
66,106,4.49980967,1.252762968,0.042477986,1.444259478,darkgreen,upland,Andosol,Chu et al. 2007,-1.034267559
67,108,4.605170186,1.92022533,0.704958771,1.111778009,darkgreen,grassland,Gleysol,Dobbie and Smith 2003,-0.850080375
68,109,4.605170186,0.08918035,0.341083437,1.197706248,darkgreen,grassland,Gleysol,Dobbie et al. 2003,-0.850080375
69,110,4.49980967,2.490851712,0.298971692,1.213303054,darkgreen,upland,Ultisol,Hadi et al. 2008,-1.034267559
70,111,5.521460918,-0.255020776,0.049731896,1.425599335,darkgreen,upland,Andosol,Hou & Tsuruta 2003,0.751743692
71,112,5.521460918,-0.293547192,0.224882764,1.247007387,darkgreen,upland,Andosol,Hou & Tsuruta 2003,0.751743692
72,113,5.010635294,-0.012951152,0.028472987,1.491605634,darkgreen,upland,Andosol,Yan et al. 2001,-0.141261934
73,114,5.010635294,2.54489856,1.812672535,1,darkgreen,upland,Andosol,Yan et al. 2001,-0.141261934
74,118,4.605170186,-0.782656294,0.811713279,1.095088817,darkgreen,grassland,Gleysol,Dobbie & Smith 2003,-0.850080375
75,119,4.605170186,0.167350926,0.361535662,1.190813929,darkgreen,grassland,Gleysol,Dobbie & Smith 2003,-0.850080375
