Unit_ID,X.1,X,LRR,var.LRR,scale,col,row.ID,Study,dist.inv,pr.st
1,3,-2.708050201,0.210128183,0.006232417,1.841321623,darkgreen,32,m6_2_4,NA,-0.97383968
2,4,-2.48490665,0.05349991,0.002326239,1.989432937,darkgreen,91,m6_2_4,NA,-0.753100881
3,195,-2.708050201,0.600386301,0.016983451,1.690660852,darkgreen,532,m6_2_19,0,-0.97383968
4,196,-2.708050201,-0.072759354,0.013925596,1.7204948,darkgreen,533,m6_2_19,0,-0.97383968
5,197,-2.708050201,-0.074107972,0.005549148,1.858773127,darkgreen,534,m6_2_19,0,-0.97383968
6,198,-2.708050201,0.598836501,0.018604831,1.676957238,darkgreen,535,m6_2_19,0,-0.97383968
7,235,-1.098612289,-1.5070759,0.032993751,1.590857256,darkgreen,634,m6_2_24,NA,0.618253796
8,236,-1.098612289,-1.738649644,0.440940854,1.201219671,darkgreen,635,m6_2_24,NA,0.618253796
9,237,-1.098612289,-1.834684514,0.211463696,1.311660499,darkgreen,636,m6_2_24,NA,0.618253796
10,238,-1.098612289,-1.517322624,0.161801922,1.351889869,darkgreen,637,m6_2_24,NA,0.618253796
11,239,-1.098612289,-1.302211244,0.175550302,1.339633406,darkgreen,638,m6_2_24,NA,0.618253796
12,240,-1.098612289,-2.602689685,0.396640925,1.21713215,darkgreen,639,m6_2_24,NA,0.618253796
13,241,-1.098612289,-0.860201265,0.154796425,1.358541953,darkgreen,640,m6_2_24,NA,0.618253796
14,242,-1.098612289,-2.319114395,0.445151974,1.199791178,darkgreen,641,m6_2_24,NA,0.618253796
15,243,-1.098612289,-2.926739402,0.844013763,1.103643468,darkgreen,642,m6_2_24,NA,0.618253796
16,244,-1.098612289,-1.77070606,0.614006463,1.15145985,darkgreen,643,m6_2_24,NA,0.618253796
17,245,-1.098612289,-1.504077397,0.655864198,1.141548561,darkgreen,644,m6_2_24,NA,0.618253796
18,246,-1.098612289,-1.098612289,0.361289664,1.231161814,darkgreen,645,m6_2_24,NA,0.618253796
19,247,-1.098612289,-1.427116356,0.630167901,1.147555222,darkgreen,646,m6_2_24,NA,0.618253796
20,248,-1.098612289,-0.693147181,1.682098765,1,darkgreen,647,m6_2_24,NA,0.618253796
21,250,-1.098612289,-1.511896985,0.032603167,1.592647011,darkgreen,649,m6_2_24,NA,0.618253796
22,280,-2.995732274,0.236977764,0.134849483,1.379274539,darkgreen,768,m6_2_32,NA,-1.258421488
23,281,-2.995732274,0.124769409,0.01451583,1.71425613,darkgreen,769,m6_2_32,NA,-1.258421488
24,305,-3.555348061,-1.274222827,0.065495719,1.487809258,darkgreen,839,m6_2_36,0.693147181,-1.812006462
25,306,-3.555348061,-3.743468004,0.073574102,1.470329423,darkgreen,840,m6_2_36,0.693147181,-1.812006462
26,320,-1.609437912,-0.747805593,0.421505684,1.207994312,darkgreen,871,m6_2_39,-1.609437912,0.112933189
27,323,-1.609437912,0.507578868,0.01619911,1.697766971,darkgreen,878,m6_2_42,NA,0.112933189
28,324,-2.397895273,0.354786513,0.046187688,1.540300848,darkgreen,879,m6_2_42,NA,-0.6670272
29,325,-1.609437912,0.246497974,0.075350916,1.466743084,darkgreen,880,m6_2_42,NA,0.112933189
30,326,-2.397895273,0.647470712,0.105927339,1.41555513,darkgreen,881,m6_2_42,NA,-0.6670272
31,389,-2.302585093,-0.041101676,0.130313161,1.38441723,darkgreen,1119,m6_2_61,NA,-0.57274415
32,390,-1.386294361,0.205539847,0.135948015,1.378055193,darkgreen,1120,m6_2_61,NA,0.333671988
33,485,0,-0.169899037,0.110496908,1.409207808,darkgreen,1476,m6_2_82,NA,1.705026665
34,486,-1.609437912,0.851752211,0.267862066,1.2761294,darkgreen,1477,m6_2_82,NA,0.112933189
35,487,-1.609437912,1.034073768,0.221086757,1.304972369,darkgreen,1478,m6_2_82,NA,0.112933189
36,488,-1.609437912,0.089612159,0.131996306,1.382488506,darkgreen,1479,m6_2_82,NA,0.112933189
37,489,-3.401197382,-0.43704363,0.002168295,2,darkgreen,1489,m6_2_83,-1.098612289,-1.659517019
38,645,-1.098612289,-0.532344008,0.030942308,1.600504857,darkgreen,1705,m6_2_100,-0.693147181,0.618253796
39,646,-1.098612289,-0.258640115,0.00807028,1.802483409,darkgreen,1706,m6_2_100,-2.48490665,0.618253796
40,649,-4.007333185,-0.305700578,0.047886874,1.534871189,darkgreen,1722,m6_2_104,1.386294361,-2.259120676
41,694,0,-0.196710294,0.008807145,1.789351903,darkgreen,1877,m6_2_120,-1.30833282,1.705026665
42,695,0,0.451985124,1.039129702,1.072387907,darkgreen,1878,m6_2_120,-1.30833282,1.705026665
43,696,0,0.249215792,0.014306539,1.71643879,darkgreen,1879,m6_2_120,-1.30833282,1.705026665
44,743,-2.48490665,-2.897326856,0.147594622,1.365701921,darkgreen,1963,m6_2_123,-1.16315081,-0.753100881
