Unit_ID,X.1,X,LRR,var.LRR,Study,dist.inv,scale,col,row.ID,pr.st
1,118,-0.510825624,0.950192284,0.33262497,m6_5_14,-0.405465108,1.433340229,darkgreen,432,1.126755289
2,119,-0.510825624,0.011976191,0.041950936,m6_5_14,-0.405465108,1.715416216,darkgreen,433,1.126755289
3,120,-0.510825624,0.581800002,0.066864382,m6_5_14,-0.405465108,1.651908273,darkgreen,434,1.126755289
4,121,-0.510825624,0.409154749,0.137795627,m6_5_14,-0.405465108,1.553396248,darkgreen,435,1.126755289
5,122,-0.510825624,0.15415068,0.012629478,m6_5_14,-0.405465108,1.878961501,darkgreen,436,1.126755289
6,123,-0.510825624,-0.762539174,1.091210193,m6_5_14,-0.405465108,1.27148972,darkgreen,437,1.126755289
7,124,-0.510825624,-0.605408266,0.410767597,m6_5_14,-0.405465108,1.404593076,darkgreen,438,1.126755289
8,125,-0.510825624,0.985283603,0.033204938,m6_5_14,-0.405465108,1.747268183,darkgreen,439,1.126755289
9,126,-0.510825624,0.362905494,0.325344093,m6_5_14,-0.405465108,1.436355412,darkgreen,440,1.126755289
10,127,-0.510825624,-0.164755233,0.070661753,m6_5_14,-0.405465108,1.644382937,darkgreen,441,1.126755289
11,128,-0.510825624,-0.96855916,0.377289466,m6_5_14,-0.405465108,1.416175055,darkgreen,442,1.126755289
12,129,-0.510825624,-0.463734016,0.33809911,m6_5_14,-0.405465108,1.43111641,darkgreen,443,1.126755289
13,130,-0.510825624,-1.349022966,0.374366189,m6_5_14,-0.405465108,1.417234726,darkgreen,444,1.126755289
14,131,-0.510825624,0.447312218,0.226821179,m6_5_14,-0.405465108,1.485498189,darkgreen,445,1.126755289
15,132,-0.510825624,-0.214147988,0.106330531,m6_5_14,-0.405465108,1.588710895,darkgreen,446,1.126755289
16,136,-0.693147181,0.215361411,3.606405676,m6_5_16,-2.302585093,1.108631446,darkgreen,459,0.973173804
17,213,0,0.248461359,0.046615648,m6_5_23,NA,1.70105224,darkgreen,611,1.55705744
18,214,0,0.387765531,0.131610747,m6_5_23,NA,1.559652547,darkgreen,612,1.55705744
19,215,0,1.252762968,0.812499999,m6_5_23,NA,1.311668975,darkgreen,613,1.55705744
20,216,0,0.405465108,0.5,m6_5_23,NA,1.37781199,darkgreen,614,1.55705744
21,222,0,0.413868519,0.018038125,m6_5_23,NA,1.830400108,darkgreen,620,1.55705744
22,223,0,0.36129389,0.023859752,m6_5_23,NA,1.792294515,darkgreen,621,1.55705744
23,330,-2.995732274,-0.486061066,0.159085294,m6_5_44,-0.693147181,1.533823561,darkgreen,906,-0.966445652
24,331,-2.995732274,-0.166496516,0.542939645,m6_5_44,-0.693147181,1.366587603,darkgreen,907,-0.966445652
25,332,-2.995732274,-0.522521664,0.181743904,m6_5_44,-0.693147181,1.51568281,darkgreen,908,-0.966445652
