Unit_ID,X.1,X,LRR,var.LRR,scale,col,Study,Nitrogen.addition,pr.st
1,1,1.342105263,-0.2236,0.0917,1.253689944,darkgreen,m7_1_Andresen et al 2010 (Biogeochemistry),No,-1.615262158
2,2,1.342105263,0.0914,0.0506,1.335336573,darkgreen,m7_1_Andresen et al 2010 (Biogeochemistry),No,-1.615262158
3,3,1.342105263,-0.2052,0.0781,1.275734287,darkgreen,m7_1_Andresen et al 2010 (Biogeochemistry),No,-1.615262158
4,4,1.342105263,-0.1267,0.0664,1.298020407,darkgreen,m7_1_Andresen et al 2010 (Biogeochemistry),No,-1.615262158
5,9,2,0.1999,0.0075,1.597487654,darkgreen,m7_1_Aranjuelo et al. 2011,No,1.321270872
6,10,1.857142857,0.4,0.1309,1.204816105,darkgreen,m7_1_Arnone & Gordon 1990,Yes,0.683623699
7,11,1.857142857,0.0883,0.0149,1.503223023,darkgreen,m7_1_Arnone & Gordon 1990,No,0.683623699
8,12,1.857142857,0.4522,0.0412,1.363557719,darkgreen,m7_1_Arnone & Gordon 1990,Yes,0.683623699
9,13,2.029850746,-0.0687,0.0081,1.586919342,darkgreen,m7_1_Arnone 1997,No,1.454510578
10,14,1.915492958,-0.6511,0.5817,1,darkgreen,m7_1_Arnone 1999,No,0.944071137
11,17,1.447368421,-0.2931,0.0023,1.759799387,darkgreen,m7_1_Bader et al. 2009,No,-1.145416873
12,24,1.697368421,-0.112,0.0275,1.419069751,darkgreen,m7_1_Bloor et al. 2009,No,-0.029534322
13,25,1.697368421,0.0281,0.0044,1.670720351,darkgreen,m7_1_Bloor et al. 2009,No,-0.029534322
14,26,1.697368421,0.2049,0.0182,1.475750676,darkgreen,m7_1_Bloor et al. 2009,Yes,-0.029534322
15,27,1.697368421,-0.0271,0.0042,1.677108492,darkgreen,m7_1_Bloor et al. 2009,Yes,-0.029534322
16,28,1.466666667,-0.1749,0.0517,1.332383334,darkgreen,m7_1_Bradford et al. 2012,No,-1.059278569
17,29,1.466666667,0.0854,0.0153,1.499585187,darkgreen,m7_1_Bradford et al. 2012,Yes,-1.059278569
18,30,1.466666667,0.2194,0.0057,1.635173399,darkgreen,m7_1_Bradford et al. 2012,Yes,-1.059278569
19,31,1.866666667,0.1625,0.0668,1.297195658,darkgreen,m7_1_Bradford et al. 2012,No,0.726133513
20,32,1.866666667,0.2052,0.0061,1.625859981,darkgreen,m7_1_Bradford et al. 2012,Yes,0.726133513
