Unit_ID,X.1,X,LRR,var.LRR,scale,col,Study,Ecosystem,pr.st
1,3,1.714285714,0.6551,0.0179,1.859653188,darkgreen,m7_2_Arnone & Bohlen 1998,Grassland,0.069113787
2,4,1.666666667,0.2347,0.2844,1.555315884,darkgreen,m7_2_Baggs & Blum 2004,Grassland,-0.160136856
3,5,1.666666667,0.3751,0.0321,1.795381043,darkgreen,m7_2_Baggs & Blum 2004,Grassland,-0.160136856
4,7,1.666666667,-0.2399,0.6229,1.469040431,darkgreen,m7_2_Baggs et al. 2003,Grassland,-0.160136856
5,10,1.666666667,0.3347,0.1607,1.618134021,darkgreen,m7_2_Baggs et al. 2003,Grassland,-0.160136856
6,12,1.571428571,0.1072,0.2227,1.582227969,darkgreen,m7_2_Billings et al. 2002,Desert,-0.618638151
7,13,1.5,-0.0309,0.0647,1.718250201,darkgreen,m7_2_Cantarel et al. 2011,Grassland,-0.962514118
8,14,2.142857143,0.331,0.0203,1.845807355,darkgreen,m7_2_Carnol et al. 2002,Forest,2.132369601
9,16,1.447368421,0.0233,0.1153,1.654669037,darkgreen,m7_2_Decock et al. 2012,Cropland,-1.215896411
10,17,1.447368421,-0.0994,0.1749,1.608815981,darkgreen,m7_2_Decock et al. 2012,Cropland,-1.215896411
11,18,1.447368421,-0.0423,0.0334,1.791012286,darkgreen,m7_2_Decock et al. 2012,Cropland,-1.215896411
12,19,1.447368421,-0.5179,0.0967,1.674028529,darkgreen,m7_2_Decock et al. 2012,Cropland,-1.215896411
13,20,1.447368421,-0.3098,0.1183,1.651842393,darkgreen,m7_2_Decock et al. 2012,Cropland,-1.215896411
14,21,1.447368421,-0.271,0.0286,1.808085619,darkgreen,m7_2_Decock et al. 2012,Cropland,-1.215896411
15,27,1.95,0.4585,0.0653,1.717234398,darkgreen,m7_2_Dijkstra et al. 2010 (PS),Grassland,1.203904485
16,33,1.95,-0.0647,0.042,1.765799555,darkgreen,m7_2_Dijkstra et al. 2010 (PS),Grassland,1.203904485
17,34,1.540540541,0.1178,0.005,2,darkgreen,m7_2_Hagedorn et al. 2000,Forest,-0.767341268
18,35,1.540540541,0.069,0.005,2,darkgreen,m7_2_Hagedorn et al. 2000,Forest,-0.767341268
19,36,1.540540541,0.1054,0.005,2,darkgreen,m7_2_Hagedorn et al. 2000,Forest,-0.767341268
20,37,1.540540541,-0.2136,0.005,2,darkgreen,m7_2_Hagedorn et al. 2000,Forest,-0.767341268
21,41,1.714285714,0.2955,0.1166,1.653435234,darkgreen,m7_2_Ineson et al. 1998,Grassland,0.069113787
22,43,2,0.1221,1.9606,1.342861089,darkgreen,m7_2_Kettunen et al. 2005,Grassland,1.444617663
23,44,2,-0.0854,0.9528,1.422269375,darkgreen,m7_2_Kettunen et al. 2005,Grassland,1.444617663
24,45,2,-0.1292,0.5828,1.476363011,darkgreen,m7_2_Kettunen et al. 2005,Grassland,1.444617663
25,46,2,-0.042,20.5648,1.084219885,darkgreen,m7_2_Kettunen et al. 2007,Grassland,1.444617663
26,47,2,-0.8479,44.208,1,darkgreen,m7_2_Kettunen et al. 2007,Grassland,1.444617663
27,51,1.457142857,-0.2559,0.2469,1.570876006,darkgreen,m7_2_Larsen et al. 2011,Heathland,-1.1688397
28,52,1.457142857,0.069,0.1217,1.648724254,darkgreen,m7_2_Larsen et al. 2011,Heathland,-1.1688397
29,53,1.457142857,1.1592,0.1156,1.654383083,darkgreen,m7_2_Larsen et al. 2011,Heathland,-1.1688397
30,54,1.457142857,0,0.0661,1.715894416,darkgreen,m7_2_Larsen et al. 2011,Heathland,-1.1688397
31,57,1.945945946,0,0.0067,1.967793284,darkgreen,m7_2_Mosier et al. 2002,Grassland,1.184387201
32,58,1.789473684,-0.1556,0.1807,1.605225905,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
33,59,1.789473684,0.194,0.4768,1.498454133,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
34,60,1.789473684,0.8907,0.39,1.520567641,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
35,61,1.789473684,0.1633,0.4983,1.493600595,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
36,62,1.789473684,-0.3561,0.2498,1.569590993,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
37,63,1.789473684,0.3834,0.2226,1.582277394,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
38,64,1.789473684,0.0613,0.265,1.563090742,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
39,65,1.789473684,0.5035,0.2043,1.591717785,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
40,66,1.789473684,0.6097,0.216,1.585589521,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
41,67,1.789473684,0.5423,0.2626,1.564091913,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
42,68,1.789473684,-0.3112,0.47,1.50003486,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
43,69,1.789473684,-0.168,0.0632,1.720831507,darkgreen,m7_2_Niboyet et al. 2011,Grassland,0.431088491
44,72,1.25,0.0727,0.018,1.859040124,darkgreen,m7_2_Rutting et al. 2010,Grassland,-2.166080008
45,75,1.821333333,0.2852,0.0944,1.67667756,darkgreen,m7_2_Smith et al. 2010,Cropland,0.584469239
46,76,1.821333333,1.8922,0.6636,1.462075315,darkgreen,m7_2_Smith et al. 2010,Cropland,0.584469239
