Unit_ID,X.1,X,LRR,var.LRR,scale,col,Study,Biome.type,pr.st
1,1,56,0.09,0.0025557,1.596858528,darkgreen,Chou et al 2008,Mediterranean,0.092783505
2,2,73,0.458,0.0016188,1.653255829,darkgreen,Cotrufo et al 2011,Mediterranean,0.136597938
3,3,100,0.143,0.0043737,1.530501544,darkgreen,Deng et al 2012,Tropical Forest,0.206185567
4,4,100,0.067,0.0031932,1.569354359,darkgreen,Deng et al 2012,Tropical Forest,0.206185567
5,5,100,0.007,0.0030794,1.573836193,darkgreen,Deng et al 2012,Tropical Forest,0.206185567
6,6,24,-0.119,0.0130048,1.395917366,darkgreen,Fay et al 2008,Temperate Grassland,0.010309278
7,7,24,-0.103,0.0192172,1.347690373,darkgreen,Fay et al 2008,Temperate Grassland,0.010309278
8,8,24,0.343,0.0216824,1.332783956,darkgreen,Fay et al 2008,Temperate Grassland,0.010309278
9,9,24,0.189,0.0213674,1.334591383,darkgreen,Fay et al 2008,Temperate Grassland,0.010309278
10,10,35,0.142,0.0057036,1.497712508,darkgreen,Flanagan et al 2013,Temperate Grassland,0.038659794
11,11,35,-0.172,0.0044762,1.527640541,darkgreen,Flanagan et al 2013,Temperate Grassland,0.038659794
12,12,58,0.612,0.0879175,1.15989001,darkgreen,Ford et al 2012,Tropical Savanna,0.097938144
13,13,58,0.119,0.0112288,1.414052374,darkgreen,Ford et al 2012,Tropical Savanna,0.097938144
14,14,15,0.239,0.128105,1.113396506,darkgreen,Inglima et al 2009,Mediterranean,-0.012886598
15,15,15,0.555,0.2668775,1.022751546,darkgreen,Inglima et al 2009,Mediterranean,-0.012886598
16,16,15,0.731,0.2450019,1.033314134,darkgreen,Inglima et al 2009,Mediterranean,-0.012886598
17,18,13,0.172,0.0005629,1.783718561,darkgreen,Jia et al 2013,Temperate Grassland,-0.018041237
18,19,13,0.019,0.0001762,1.927167051,darkgreen,Jia et al 2013,Temperate Grassland,-0.018041237
19,20,13,0.236,9.77E-05,2,darkgreen,Jia et al 2013,Temperate Grassland,-0.018041237
20,21,13,0.137,0.0001242,1.970359914,darkgreen,Jia et al 2013,Temperate Grassland,-0.018041237
21,22,100,0.021,0.0081101,1.454237301,darkgreen,Jiang et al 2013,Tropical Forest,0.206185567
22,23,100,0.038,0.0081665,1.453381386,darkgreen,Jiang et al 2013,Tropical Forest,0.206185567
23,24,100,0.164,0.0070412,1.471692413,darkgreen,Jiang et al 2013,Tropical Forest,0.206185567
24,25,26,0.131,0.001142,1.696347106,darkgreen,Lai et al 2013,Desert,0.015463918
25,26,52,0.413,0.0020381,1.624808643,darkgreen,Lai et al 2013,Desert,0.082474227
26,27,26,0.379,0.0031122,1.572527648,darkgreen,Lai et al 2013,Desert,0.015463918
27,28,52,0.539,0.0031603,1.570633446,darkgreen,Lai et al 2013,Desert,0.082474227
28,29,26,0.318,0.0050401,1.512986533,darkgreen,Lai et al 2013,Desert,0.015463918
