Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study
1,9.210340372,-0.949252496,1,darkgreen,1,0.732856849,Andresen 2003
2,8.006367568,-1.15363599,1,darkgreen,1,0.599472416,Arnold and Asquith 2002
3,8.006367568,-1.108440378,1,darkgreen,1,0.599472416,Arnold and Asquith 2002
4,8.006367568,-0.443686321,1,darkgreen,1,0.599472416,Arnold and Asquith 2002
5,8.006367568,-0.635703175,1,darkgreen,1,0.599472416,Arnold and Asquith 2002
7,1.791759469,0.101096117,1,darkgreen,1,-0.089024843,Bach and Kelly 2004
8,1.771956842,-1.271414085,1,darkgreen,1,-0.091218715,Banuelos and Kollmann 2011
9,2.302585093,0.192797076,1,darkgreen,1,-0.032432048,Benitez-Malvido and Lemus-Albor 2005
10,2.302585093,0.286905373,1,darkgreen,1,-0.032432048,Benitez-Malvido and Lemus-Albor 2005
11,2.302585093,0.338837236,1,darkgreen,1,-0.032432048,Benitez-Malvido and Lemus-Albor 2005
15,2.057738254,-0.762880519,1,darkgreen,1,-0.059557874,Bigger 1999
16,0.269663567,-0.731368393,1,darkgreen,1,-0.257653152,Boccaccio and Petacchi 2009
17,3.652676405,0.715961858,1,darkgreen,1,0.117140404,Braschler and Baur 2005
18,3.652676405,0.451985124,1,darkgreen,1,0.117140404,Braschler and Baur 2005
19,3.02911929,0.037992463,1,darkgreen,1,0.048058435,Bruckmann et al. 2011
20,1.733650743,-0.128019805,1,darkgreen,1,-0.095462529,Bruckmann et al. 2011
21,2.813410717,0.416893804,1,darkgreen,1,0.024160747,Burkey 1993
22,5.332218918,0.231678454,1,darkgreen,1,0.303211737,Bustamante-Sanchez et al. 2004
23,2.995732274,0.559615788,1,darkgreen,1,0.04435959,Bustamante-Sanchez et al. 2004
29,4.094344562,0,1,darkgreen,1,0.166071456,Christianini and Galetti 2007
31,4.382026635,0.380463806,1,darkgreen,1,0.197942866,Christie and Hochuli 2005
32,0.244345759,0.281251182,1,darkgreen,1,-0.260458034,Costamagna et al. 2004
33,1.386294361,-1.13914227,1,darkgreen,1,-0.133945071,de Almeida et al. 2008
34,3.401197382,-0.117783036,1,darkgreen,1,0.089279819,de Queiroz and Garcia 2009
38,9.210340372,-0.777230298,1,darkgreen,1,0.732856849,Didham 1998
39,5.777209943,-1.362107136,1,darkgreen,1,0.35251092,Dunley et al. 2009
40,7.082472236,-0.500243514,1,darkgreen,1,0.497116903,Elzinga et al. 2005
41,3.091042453,-0.224224048,1,darkgreen,1,0.054918711,Elzinga et al. 2005
42,2.772588722,0.118861203,1,darkgreen,1,0.019638204,Elzinga et al. 2005
43,2.564949357,0.367542048,1,darkgreen,1,-0.00336552,Elzinga et al. 2005
44,1.791759469,0.405465108,1,darkgreen,1,-0.089024843,Estrada-Villegas et al. 2010
45,1.791759469,-1.275068726,1,darkgreen,1,-0.089024843,Estrada-Villegas et al. 2010
46,1.989178129,0.641853886,1,darkgreen,1,-0.067153438,Estrada-Villegas et al. 2010
47,1.791759469,0.287682072,1,darkgreen,1,-0.089024843,Estrada-Villegas et al. 2010
48,1.989178129,0.510825624,1,darkgreen,1,-0.067153438,Estrada-Villegas et al. 2010
54,6.907755279,-0.544301553,1,darkgreen,1,0.47776055,Faveri et al. 2008
55,6.907755279,-0.84729786,1,darkgreen,1,0.47776055,Faveri et al. 2008
56,6.907755279,-1.0286537,1,darkgreen,1,0.47776055,Faveri et al. 2008
57,6.907755279,-0.935159216,1,darkgreen,1,0.47776055,Faveri et al. 2008
58,2.302585093,0.020408872,1,darkgreen,1,-0.032432048,Forget et al. 1999
59,5.385328744,-0.174353387,1,darkgreen,1,0.309095611,Gonzalez-Gomez et al. 2006
60,5.385328744,0.805264479,1,darkgreen,1,0.309095611,Gonzalez-Gomez et al. 2006
64,7.377758908,-1.605727333,1,darkgreen,1,0.529830802,Hamback et al. 2007
65,1.386294361,-0.663243201,1,darkgreen,1,-0.133945071,Haynes and Crist 2009
66,1.386294361,0.108391477,1,darkgreen,1,-0.133945071,Haynes and Crist 2009
70,1.386294361,2.618438042,1,darkgreen,1,-0.133945071,Holland et al. 2008
72,2.772588722,-0.597402124,1,darkgreen,1,0.019638204,Jennersten and Nilsson 1993
75,2.898670561,-1.134979933,1,darkgreen,1,0.033606422,Klein et al. 2006
76,3.912023005,0.674455048,1,darkgreen,1,0.145872613,Knight and Holt 2005
77,3.912023005,1.268030441,1,darkgreen,1,0.145872613,Knight and Holt 2005
78,3.912023005,1.253983225,1,darkgreen,1,0.145872613,Knight and Holt 2005
79,3.912023005,1.185623666,1,darkgreen,1,0.145872613,Knight and Holt 2005
80,3.912023005,0.921586419,1,darkgreen,1,0.145872613,Knight and Holt 2005
81,3.912023005,1.008228227,1,darkgreen,1,0.145872613,Knight and Holt 2005
82,3.912023005,1.484630262,1,darkgreen,1,0.145872613,Knight and Holt 2005
83,3.912023005,1.220627239,1,darkgreen,1,0.145872613,Knight and Holt 2005
87,0.550046337,0.638027881,1,darkgreen,1,-0.22659041,Koh and Menge 2006
92,2.995732274,-0.888891758,1,darkgreen,1,0.04435959,Kruess and Tscharntke 1994
93,2.995732274,-0.35741541,1,darkgreen,1,0.04435959,Kruess and Tscharntke 1994
94,1.558144618,-0.675028218,1,darkgreen,1,-0.114906311,Kruess and Tscharntke 2000
95,1.558144618,-1.697349785,1,darkgreen,1,-0.114906311,Kruess and Tscharntke 2000
