Unit_ID,X,Study,LRR,var.LRR,col,scale,pr.st
167,-5.317525773,136,-0.86440678,1,darkcyan,1,-0.361979167
165,-5.301030928,137,-1.18079096,1,darkcyan,1,-0.359375
164,-5.202061856,1,-1.384180791,1,darkcyan,1,-0.34375
168,-5.202061856,1,-0.728813559,1,darkcyan,1,-0.34375
169,-5.202061856,1,-0.593220339,1,darkcyan,1,-0.34375
166,-5.18556701,2,-0.86440678,1,darkcyan,1,-0.341145833
174,-4.93814433,3,-0.118644068,1,darkcyan,1,-0.302083333
179,-4.93814433,3,0.468926554,1,darkcyan,1,-0.302083333
173,-4.921649485,4,-0.412429379,1,darkcyan,1,-0.299479167
180,-4.921649485,4,0.514124294,1,darkcyan,1,-0.299479167
170,-4.905154639,5,-1,1,darkcyan,1,-0.296875
175,-4.905154639,5,-0.096045198,1,darkcyan,1,-0.296875
176,-4.905154639,5,-0.028248588,1,darkcyan,1,-0.296875
177,-4.905154639,5,0.062146893,1,darkcyan,1,-0.296875
178,-4.905154639,5,0.401129944,1,darkcyan,1,-0.296875
181,-4.888659794,6,0.649717514,1,darkcyan,1,-0.294270833
171,-4.872164948,7,-0.683615819,1,darkcyan,1,-0.291666667
172,-4.872164948,7,-0.457627119,1,darkcyan,1,-0.291666667
182,-4.872164948,7,1.033898305,1,darkcyan,1,-0.291666667
158,-4.591752577,8,-1.338983051,1,darkcyan,1,-0.247395833
162,-4.575257732,9,-0.796610169,1,darkcyan,1,-0.244791667
163,-4.542268041,10,-0.683615819,1,darkcyan,1,-0.239583333
156,-4.525773196,10,-2.265536723,1,darkcyan,1,-0.236979167
159,-4.525773196,10,-1.18079096,1,darkcyan,1,-0.236979167
144,-4.509278351,11,2.389830508,1,darkcyan,1,-0.234375
160,-4.509278351,11,-0.88700565,1,darkcyan,1,-0.234375
146,-4.47628866,12,0.898305085,1,darkcyan,1,-0.229166667
147,-4.47628866,12,0.581920904,1,darkcyan,1,-0.229166667
151,-4.47628866,12,-0.050847458,1,darkcyan,1,-0.229166667
152,-4.47628866,12,0.175141243,1,darkcyan,1,-0.229166667
145,-4.459793814,13,1.418079096,1,darkcyan,1,-0.2265625
161,-4.459793814,13,-0.81920904,1,darkcyan,1,-0.2265625
148,-4.344329897,14,0.559322034,1,darkcyan,1,-0.208333333
149,-4.327835052,15,0.514124294,1,darkcyan,1,-0.205729167
150,-4.327835052,15,-0.050847458,1,darkcyan,1,-0.205729167
153,-4.327835052,15,-0.525423729,1,darkcyan,1,-0.205729167
154,-4.327835052,15,-1.13559322,1,darkcyan,1,-0.205729167
155,-4.327835052,15,-1.632768362,1,darkcyan,1,-0.205729167
87,-4.174550532,16,0.229437646,1,darkcyan,1,-0.181528974
83,-4.164468734,17,-0.221312018,1,darkcyan,1,-0.179937284
88,-4.163475602,18,0.522345478,1,darkcyan,1,-0.179780491
82,-4.13256812,19,-0.334131852,1,darkcyan,1,-0.174900891
81,-3.962531825,20,-1.010954551,1,darkcyan,1,-0.148055969
84,-3.9401713,21,-0.267393359,1,darkcyan,1,-0.144525742
90,-3.9383957,22,1.062176103,1,darkcyan,1,-0.144245415
85,-3.929126465,23,0.002979397,1,darkcyan,1,-0.14278201
89,-3.928343997,24,0.588891363,1,darkcyan,1,-0.142658476
80,-3.844740311,25,-0.808668541,1,darkcyan,1,-0.129459326
136,-3.816494845,26,-0.95480226,1,darkcyan,1,-0.125
138,-3.816494845,26,-0.683615819,1,darkcyan,1,-0.125
139,-3.816494845,26,-0.525423729,1,darkcyan,1,-0.125
142,-3.816494845,26,0.717514124,1,darkcyan,1,-0.125
86,-3.800771634,27,0.115076953,1,darkcyan,1,-0.122517657
132,-3.8,28,-1.655367232,1,darkcyan,1,-0.122395833
134,-3.8,28,-1.13559322,1,darkcyan,1,-0.122395833
