"stressor_RR","es","power","effect","es_cat","number"
"BD loss 1",0.302748888777064,0.481917432637664,"cMAOM","a.Intercept_es",1
"BD loss 2",0.11410505218043,0.0640790994988623,"cMAOM","a.Intercept_es",2
"Fert 1",0.540111986275829,0.859487927028804,"cMAOM","a.Intercept_es",3
"Fert 2",0.287297012331121,0.41089851170748,"cMAOM","a.Intercept_es",4
"Warm 1",0.071449836770106,0.060488519979977,"cMAOM","a.Intercept_es",5
"Fert 3",0.17475736771057,0.172295930154899,"cMAOM","a.Intercept_es",6
"Fert 4",0.635100665062346,0.999587877266907,"cMAOM","a.Intercept_es",7
"LUC 1",0.315150694852809,0.344174557466739,"cMAOM","a.Intercept_es",8
"LUC 2",0.489331660003547,0.293173388110741,"cMAOM","a.Intercept_es",9
"LUC 3",0.460321060631471,0.304941725849642,"cMAOM","a.Intercept_es",10
"LUC 4",0.0311665803510137,0.0513654452567019,"cMAOM","a.Intercept_es",11
"LUC 5",0.0536621023667231,0.051816984068517,"cMAOM","a.Intercept_es",12
"Fert 5",0.0888157499063749,0.16991134798357,"cMAOM","a.Intercept_es",13
"Fert 6",0.108801240847821,0.0598481969794348,"cMAOM","a.Intercept_es",14
"Precip ",0.0120178709391637,0.0539611304149274,"cMAOM","a.Intercept_es",15
"LUC 6",0.0436883719343155,0.0531203553418176,"cMAOM","a.Intercept_es",16
"Warm 2",0.797139908249877,0.211278347382721,"cMAOM","a.Intercept_es",17
"Inv 1",1.33585960425313,1,"cMAOM","a.Intercept_es",18
"Fire 1",3.72716432189855,0.753285969653261,"cMAOM","a.Intercept_es",19
"Fire 2",0.00294333021406599,0.0500014885574631,"cMAOM","a.Intercept_es",20
"Fire 3",0.0754773587952458,0.0509794449077066,"cMAOM","a.Intercept_es",21
"Warm 3",0.0799947431073161,0.129637738848235,"cMAOM","a.Intercept_es",22
"Warm 4",0.0390968339616512,0.0666026354315403,"cMAOM","a.Intercept_es",23
"Warm 5",0.0462511049617312,0.0586500447256149,"cMAOM","a.Intercept_es",24
"BD loss 3",0.387441363103359,0.209101543425865,"cMAOM","a.Intercept_es",25
"BD loss 4",0.22545438811447,0.134184103186392,"cMAOM","a.Intercept_es",26
"BD loss 5",0.385937174610948,0.14030784594524,"cMAOM","a.Intercept_es",27
"Acid",0.109396336507312,0.133863797959932,"cMAOM","a.Intercept_es",28
"Inv 2",0.795174063113597,0.621229266804275,"cMAOM","a.Intercept_es",29
"Inv 3",0.318911998191515,0.425463181470953,"cMAOM","a.Intercept_es",30
"BD loss 1",0.303339522756604,0.482443728190807,"MAOM","a.Intercept_es",31
"BD loss 2",0.280758088674229,0.13997517188642,"MAOM","a.Intercept_es",32
"Fert 1",0.624493879205995,0.939746111340362,"MAOM","a.Intercept_es",33
"Fert 2",0.563202040845238,0.925065608344264,"MAOM","a.Intercept_es",34
"Warm 1",0.071449836770106,0.060488519979977,"MAOM","a.Intercept_es",35
"Fert 3",0.17475736771057,0.172295930154899,"MAOM","a.Intercept_es",36
"Fert 4",0.614235134422731,0.999238457787828,"MAOM","a.Intercept_es",37
"LUC 1",0.31515069467717,0.344174554922237,"MAOM","a.Intercept_es",38
"LUC 2",0.489331659916264,0.293173388665261,"MAOM","a.Intercept_es",39
"LUC 3",0.485811278606089,0.333491380264416,"MAOM","a.Intercept_es",40
"LUC 4",0.212459319874228,0.115420103481902,"MAOM","a.Intercept_es",41
"LUC 5",0.053662102402195,0.0518169840704333,"MAOM","a.Intercept_es",42
"Fert 5",0.088828361886831,0.169946329028632,"MAOM","a.Intercept_es",43
"Fert 6",0.1503532506576,0.0689016410300352,"MAOM","a.Intercept_es",44
"Precip ",0.0206043273809476,0.0616954114443271,"MAOM","a.Intercept_es",45
"LUC 6",0.287216649680991,0.19169807520529,"MAOM","a.Intercept_es",46
"Warm 2",0.797139908249877,0.211278347382721,"MAOM","a.Intercept_es",47
"Inv 1",0.205148067493953,0.648752651878578,"MAOM","a.Intercept_es",48
"Fire 1",0.185795072294041,0.0519935482162616,"MAOM","a.Intercept_es",49
"Fire 2",0.0916286821796462,0.0514438823645752,"MAOM","a.Intercept_es",50
"Fire 3",0.0945372096177121,0.0515370888838864,"MAOM","a.Intercept_es",51
"Warm 3",0.111125168174041,0.206382524071228,"MAOM","a.Intercept_es",52
"Warm 4",0.0845578388473058,0.129762914495882,"MAOM","a.Intercept_es",53
"Warm 5",0.0462511049617312,0.0586500447256149,"MAOM","a.Intercept_es",54
"BD loss 3",0.500550348531446,0.316634586566859,"MAOM","a.Intercept_es",55
"BD loss 4",0.496212049525797,0.456924482877159,"MAOM","a.Intercept_es",56
"BD loss 5",0.419148216029129,0.157003504566659,"MAOM","a.Intercept_es",57
"Acid",0.213573620444919,0.373625163233955,"MAOM","a.Intercept_es",58
"Inv 2",0.90427395944192,0.732348604406319,"MAOM","a.Intercept_es",59
"Inv 3",0.318911998191515,0.425463181470953,"MAOM","a.Intercept_es",60
"BD loss 1",0.302748888777064,0.395943789493031,"cESSP","b.BLUP_es",61
"BD loss 2",0.11410505218043,0.0553674300884955,"cESSP","b.BLUP_es",62
"Fert 1",0.540111986275829,0.71040210084354,"cESSP","b.BLUP_es",63
"Fert 2",0.287297012331121,0.48123885191656,"cESSP","b.BLUP_es",64
"Warm 1",0.071449836770106,0.0954472698636953,"cESSP","b.BLUP_es",65
"Fert 3",0.17475736771057,0.173794035420411,"cESSP","b.BLUP_es",66
"Fert 4",0.635100665062346,0.945469313811789,"cESSP","b.BLUP_es",67
"LUC 1",0.315150694852809,0.297124453774909,"cESSP","b.BLUP_es",68
"LUC 2",0.489331660003547,0.495960349419973,"cESSP","b.BLUP_es",69
"LUC 3",0.460321060631471,0.3680252358101,"cESSP","b.BLUP_es",70
"LUC 4",0.0311665803510137,0.330790038996305,"cESSP","b.BLUP_es",71
"LUC 5",0.0536621023667231,0.151285716729329,"cESSP","b.BLUP_es",72
"Fert 5",0.0888157499063749,0.128232754711146,"cESSP","b.BLUP_es",73
"Fert 6",0.108801240847821,0.0576773049373264,"cESSP","b.BLUP_es",74
"Precip ",0.0120178709391637,0.547601774317738,"cESSP","b.BLUP_es",75
"LUC 6",0.0436883719343155,0.789495680307188,"cESSP","b.BLUP_es",76
"Warm 2",0.797139908249877,0.15150228216387,"cESSP","b.BLUP_es",77
"Inv 1",1.33585960425313,1,"cESSP","b.BLUP_es",78
"Fire 1",3.72716432189855,0.753285969653913,"cESSP","b.BLUP_es",79
"Fire 2",0.00294333021406599,0.050001488557512,"cESSP","b.BLUP_es",80
"Fire 3",0.0754773587952458,0.0509794449098487,"cESSP","b.BLUP_es",81
"Warm 3",0.0799947431073161,0.145240654774897,"cESSP","b.BLUP_es",82
"Warm 4",0.0390968339616512,0.155816344264097,"cESSP","b.BLUP_es",83
"Warm 5",0.0462511049617312,0.18933157620447,"cESSP","b.BLUP_es",84
"BD loss 3",0.387441363103359,0.131795589840524,"cESSP","b.BLUP_es",85
"BD loss 4",0.22545438811447,0.25870017762806,"cESSP","b.BLUP_es",86
"BD loss 5",0.385937174610948,0.255312766935074,"cESSP","b.BLUP_es",87
"Acid",0.109396336507312,0.381907190320542,"cESSP","b.BLUP_es",88
"Inv 2",0.795174063113597,0.631749770917992,"cESSP","b.BLUP_es",89
"Inv 3",0.318911998191515,0.349993032002266,"cESSP","b.BLUP_es",90
"BD loss 1",0.303339522756604,0.3717909089887,"ESSP","b.BLUP_es",91
"BD loss 2",0.280758088674229,0.0627124548892695,"ESSP","b.BLUP_es",92
"Fert 1",0.624493879205995,0.850157521188846,"ESSP","b.BLUP_es",93
"Fert 2",0.563202040845238,0.799074607522024,"ESSP","b.BLUP_es",94
"Warm 1",0.071449836770106,0.0954472698636953,"ESSP","b.BLUP_es",95
"Fert 3",0.17475736771057,0.173794035420411,"ESSP","b.BLUP_es",96
"Fert 4",0.614235134422731,0.980573365175682,"ESSP","b.BLUP_es",97
"LUC 1",0.31515069467717,0.219664089006143,"ESSP","b.BLUP_es",98
"LUC 2",0.489331659916264,0.496908745673724,"ESSP","b.BLUP_es",99
"LUC 3",0.485811278606089,0.398701484402303,"ESSP","b.BLUP_es",100
"LUC 4",0.212459319874228,0.428467414436404,"ESSP","b.BLUP_es",101
"LUC 5",0.053662102402195,0.207863174697088,"ESSP","b.BLUP_es",102
"Fert 5",0.088828361886831,0.128047100601956,"ESSP","b.BLUP_es",103
"Fert 6",0.1503532506576,0.0628937828960759,"ESSP","b.BLUP_es",104
"Precip ",0.0206043273809476,0.493624180640455,"ESSP","b.BLUP_es",105
"LUC 6",0.287216649680991,0.545738706090106,"ESSP","b.BLUP_es",106
"Warm 2",0.797139908249877,0.15150228216387,"ESSP","b.BLUP_es",107
"Inv 1",0.205148067493953,0.615010398900331,"ESSP","b.BLUP_es",108
"Fire 1",0.185795072294041,0.0519935482151898,"ESSP","b.BLUP_es",109
"Fire 2",0.0916286821796462,0.0514438823664569,"ESSP","b.BLUP_es",110
"Fire 3",0.0945372096177121,0.0515370888883474,"ESSP","b.BLUP_es",111
"Warm 3",0.111125168174041,0.186432169623656,"ESSP","b.BLUP_es",112
"Warm 4",0.0845578388473058,0.204961061090095,"ESSP","b.BLUP_es",113
"Warm 5",0.0462511049617312,0.18933157620447,"ESSP","b.BLUP_es",114
"BD loss 3",0.500550348531446,0.218170947994791,"ESSP","b.BLUP_es",115
"BD loss 4",0.496212049525797,0.476269865582535,"ESSP","b.BLUP_es",116
"BD loss 5",0.419148216029129,0.277212975968287,"ESSP","b.BLUP_es",117
"Acid",0.213573620444919,0.366274902388295,"ESSP","b.BLUP_es",118
"Inv 2",0.90427395944192,0.754169129838737,"ESSP","b.BLUP_es",119
"Inv 3",0.318911998191515,0.349993032002266,"ESSP","b.BLUP_es",120
"BD loss 1",0.302748888777064,1,"cMAOM.MA","c.MA.power",121
"BD loss 2",0.11410505218043,0.381387546949222,"cMAOM.MA","c.MA.power",122
"Fert 1",0.540111986275829,0.99999999999357,"cMAOM.MA","c.MA.power",123
"Fert 2",0.287297012331121,0.999974944723293,"cMAOM.MA","c.MA.power",124
"Warm 1",0.071449836770106,0.574688256663194,"cMAOM.MA","c.MA.power",125
"Fert 3",0.17475736771057,0.62460555395999,"cMAOM.MA","c.MA.power",126
"Fert 4",0.635100665062346,0.999999999942139,"cMAOM.MA","c.MA.power",127
"LUC 1",0.315150694852809,0.679764554231158,"cMAOM.MA","c.MA.power",128
"LUC 2",0.489331660003547,0.422912455344668,"cMAOM.MA","c.MA.power",129
"LUC 3",0.460321060631471,0.84815291435364,"cMAOM.MA","c.MA.power",130
"LUC 4",0.0311665803510137,0.0546611459968537,"cMAOM.MA","c.MA.power",131
"LUC 5",0.0536621023667231,0.0641923053777663,"cMAOM.MA","c.MA.power",132
"Fert 5",0.0888157499063749,0.384302284670176,"cMAOM.MA","c.MA.power",133
"Fert 6",0.108801240847821,0.193747788659536,"cMAOM.MA","c.MA.power",134
"Precip ",0.0120178709391637,0.0584513617331494,"cMAOM.MA","c.MA.power",135
"LUC 6",0.0436883719343155,0.0553082425325812,"cMAOM.MA","c.MA.power",136
"Warm 2",0.797139908249877,0.999791492219285,"cMAOM.MA","c.MA.power",137
"Inv 1",1.33585960425313,0.856847080286489,"cMAOM.MA","c.MA.power",138
"Fire 1",3.72716432189855,0.722854884066405,"cMAOM.MA","c.MA.power",139
"Fire 2",0.00294333021406599,0.0500162079674401,"cMAOM.MA","c.MA.power",140
"Fire 3",0.0754773587952458,0.0607254337780605,"cMAOM.MA","c.MA.power",141
"Warm 3",0.0799947431073161,0.309688501166562,"cMAOM.MA","c.MA.power",142
"Warm 4",0.0390968339616512,0.0999635469407468,"cMAOM.MA","c.MA.power",143
"Warm 5",0.0462511049617312,0.123159831422042,"cMAOM.MA","c.MA.power",144
"BD loss 3",0.387441363103359,0.89934385594841,"cMAOM.MA","c.MA.power",145
"BD loss 4",0.22545438811447,0.609420599414357,"cMAOM.MA","c.MA.power",146
"BD loss 5",0.385937174610948,0.267772764298083,"cMAOM.MA","c.MA.power",147
"Acid",0.109396336507312,0.128897061774874,"cMAOM.MA","c.MA.power",148
"Inv 2",0.795174063113597,0.999999999369858,"cMAOM.MA","c.MA.power",149
"Inv 3",0.318911998191515,0.567536984235406,"cMAOM.MA","c.MA.power",150
"BD loss 1",0.303339522756604,1,"MAOM.MA","c.MA.power",151
"BD loss 2",0.280758088674229,0.980282463890223,"MAOM.MA","c.MA.power",152
"Fert 1",0.624493879205995,1,"MAOM.MA","c.MA.power",153
"Fert 2",0.563202040845238,1,"MAOM.MA","c.MA.power",154
"Warm 1",0.071449836770106,0.574688256663194,"MAOM.MA","c.MA.power",155
