"stressor_SMD","es","power","effect","es_cat","number"
"BD loss 1",0.572091453029763,0.292963394910949,"cMAOM","a.Intercept_es",1
"BD loss 2",0.468289775628364,0.227036928341322,"cMAOM","a.Intercept_es",2
"Fert 1",1.12605690788065,0.203180082332411,"cMAOM","a.Intercept_es",3
"Fert 2",1.1289414443435,0.232549667311305,"cMAOM","a.Intercept_es",4
"Fert 3",2.71990811144503,0.768028701199958,"cMAOM","a.Intercept_es",5
"LUC 1",1.07772837753926,0.25564818400887,"cMAOM","a.Intercept_es",6
"LUC 2",0.438638425895531,0.101966782813468,"cMAOM","a.Intercept_es",7
"LUC 3",0.760751265804442,0.144719522105688,"cMAOM","a.Intercept_es",8
"LUC 4",0.703537611264105,0.164392299540097,"cMAOM","a.Intercept_es",9
"LUC 5",0.0540181813728793,0.0504506338774742,"cMAOM","a.Intercept_es",10
"LUC 6",0.0355147141794896,0.0512942110235147,"cMAOM","a.Intercept_es",11
"Inv 1",6.09178582311888,1,"cMAOM","a.Intercept_es",12
"BD loss 1",0.791735440697375,0.498890924662788,"MAOM","a.Intercept_es",13
"BD loss 2",0.468289775628364,0.227036928341322,"MAOM","a.Intercept_es",14
"Fert 1",2.09970219178714,0.555588863958936,"MAOM","a.Intercept_es",15
"Fert 2",1.90343482869281,0.543427169616935,"MAOM","a.Intercept_es",16
"Fert 3",2.71990811144503,0.768028701199958,"MAOM","a.Intercept_es",17
"LUC 1",1.07772837753926,0.25564818400887,"MAOM","a.Intercept_es",18
"LUC 2",0.438638425895531,0.101966782813468,"MAOM","a.Intercept_es",19
"LUC 3",0.760751265804442,0.144719522105688,"MAOM","a.Intercept_es",20
"LUC 4",0.703537611264105,0.164392299540097,"MAOM","a.Intercept_es",21
"LUC 5",0.0540181813728793,0.0504506338774742,"MAOM","a.Intercept_es",22
"LUC 6",0.10291073181896,0.060928290083371,"MAOM","a.Intercept_es",23
"Inv 1",7.00908169415833,1,"MAOM","a.Intercept_es",24
"BD loss 1",0.572091453029763,0.173726299690958,"cESSP","b.BLUP_es",25
"BD loss 2",0.468289775628364,0.0689296593235865,"cESSP","b.BLUP_es",26
"Fert 1",1.12605690788065,0.199841907226143,"cESSP","b.BLUP_es",27
"Fert 2",1.1289414443435,0.169943854560262,"cESSP","b.BLUP_es",28
"Fert 3",2.71990811144503,0.408227229855704,"cESSP","b.BLUP_es",29
"LUC 1",1.07772837753926,0.12340849301938,"cESSP","b.BLUP_es",30
"LUC 2",0.438638425895531,0.30727004358344,"cESSP","b.BLUP_es",31
"LUC 3",0.760751265804442,0.213020136725241,"cESSP","b.BLUP_es",32
