"stressor_SMDH","es","power","effect","es_cat","number"
"BD loss 1",0.756007368649395,1.4305,"cMAOM","a.Intercept_es",1
"BD loss 2",0.423749822777383,2.31,"cMAOM","a.Intercept_es",2
"Fert 1",1.0264693229314,2.317,"cMAOM","a.Intercept_es",3
"Fert 2",1.12229591265631,2.0165,"cMAOM","a.Intercept_es",4
"Fert 3",2.43512165920387,1.257,"cMAOM","a.Intercept_es",5
"LUC 1",0.972891591104667,2.128,"cMAOM","a.Intercept_es",6
"LUC 2",0.522712434002991,3.5,"cMAOM","a.Intercept_es",7
"LUC 3",0.671937043422219,3.075,"cMAOM","a.Intercept_es",8
"LUC 4",0.714836397128482,2.6385,"cMAOM","a.Intercept_es",9
"LUC 5",0.0520250566358407,36.573,"cMAOM","a.Intercept_es",10
"LUC 6",0.0877137969082465,9.064,"cMAOM","a.Intercept_es",11
"Inv 1",5.0538918928308,1.001,"cMAOM","a.Intercept_es",12
"BD loss 1",0.771846076034586,1.4085,"MAOM","a.Intercept_es",13
"BD loss 2",0.423749822777383,2.3115,"MAOM","a.Intercept_es",14
"Fert 1",1.86405547965554,1.4,"MAOM","a.Intercept_es",15
"Fert 2",1.66839141633865,1.4515,"MAOM","a.Intercept_es",16
"Fert 3",2.43512165920387,1.251,"MAOM","a.Intercept_es",17
"LUC 1",0.972891591104667,2.138,"MAOM","a.Intercept_es",18
"LUC 2",0.522712434002991,3.515,"MAOM","a.Intercept_es",19
"LUC 3",0.671937043422219,3.0675,"MAOM","a.Intercept_es",20
"LUC 4",0.714836397128482,2.6165,"MAOM","a.Intercept_es",21
"LUC 5",0.0520250566358407,36.5,"MAOM","a.Intercept_es",22
"LUC 6",0.102851456318519,7.774,"MAOM","a.Intercept_es",23
"Inv 1",5.87455416937041,1.001,"MAOM","a.Intercept_es",24
"BD loss 1",0.756007368649395,1.8435,"cESSP","b.BLUP_es",25
"BD loss 2",0.423749822777383,4.6195,"cESSP","b.BLUP_es",26
"Fert 1",1.0264693229314,2.544,"cESSP","b.BLUP_es",27
"Fert 2",1.12229591265631,2.705,"cESSP","b.BLUP_es",28
"Fert 3",2.43512165920387,1.634,"cESSP","b.BLUP_es",29
"LUC 1",0.972891591104667,3.168,"cESSP","b.BLUP_es",30
"LUC 2",0.522712434002991,1.89,"cESSP","b.BLUP_es",31
"LUC 3",0.671937043422219,2.668,"cESSP","b.BLUP_es",32
"LUC 4",0.714836397128482,2.1515,"cESSP","b.BLUP_es",33
"LUC 5",0.0520250566358407,8.572,"cESSP","b.BLUP_es",34
"LUC 6",0.0877137969082465,2.07,"cESSP","b.BLUP_es",35
"Inv 1",5.0538918928308,1.002,"cESSP","b.BLUP_es",36
"BD loss 1",0.771846076034586,1.819,"ESSP","b.BLUP_es",37
"BD loss 2",0.423749822777383,4.628,"ESSP","b.BLUP_es",38
"Fert 1",1.86405547965554,2.034,"ESSP","b.BLUP_es",39
"Fert 2",1.66839141633865,1.963,"ESSP","b.BLUP_es",40
"Fert 3",2.43512165920387,1.628,"ESSP","b.BLUP_es",41
"LUC 1",0.972891591104667,3.17,"ESSP","b.BLUP_es",42
"LUC 2",0.522712434002991,1.893,"ESSP","b.BLUP_es",43
"LUC 3",0.671937043422219,2.665,"ESSP","b.BLUP_es",44
"LUC 4",0.714836397128482,2.147,"ESSP","b.BLUP_es",45
"LUC 5",0.0520250566358407,8.593,"ESSP","b.BLUP_es",46
"LUC 6",0.102851456318519,1.885,"ESSP","b.BLUP_es",47
"Inv 1",5.87455416937041,1.001,"ESSP","b.BLUP_es",48
"BD loss 1",0.756007368649395,1,"cMAOM.MA","c.MA.power",49
"BD loss 2",0.423749822777383,1.079,"cMAOM.MA","c.MA.power",50
"Fert 1",1.0264693229314,0.999,"cMAOM.MA","c.MA.power",51
"Fert 2",1.12229591265631,1,"cMAOM.MA","c.MA.power",52
"Fert 3",2.43512165920387,0.999,"cMAOM.MA","c.MA.power",53
"LUC 1",0.972891591104667,1.021,"cMAOM.MA","c.MA.power",54
"LUC 2",0.522712434002991,1.806,"cMAOM.MA","c.MA.power",55
"LUC 3",0.671937043422219,1.108,"cMAOM.MA","c.MA.power",56
"LUC 4",0.714836397128482,1.272,"cMAOM.MA","c.MA.power",57
"LUC 5",0.0520250566358407,6.525,"cMAOM.MA","c.MA.power",58
"LUC 6",0.0877137969082465,4.853,"cMAOM.MA","c.MA.power",59
"Inv 1",5.0538918928308,1.334,"cMAOM.MA","c.MA.power",60
"BD loss 1",0.771846076034586,1.001,"MAOM.MA","c.MA.power",61
"BD loss 2",0.423749822777383,1.076,"MAOM.MA","c.MA.power",62
"Fert 1",1.86405547965554,1,"MAOM.MA","c.MA.power",63
"Fert 2",1.66839141633865,1.001,"MAOM.MA","c.MA.power",64
"Fert 3",2.43512165920387,1,"MAOM.MA","c.MA.power",65
"LUC 1",0.972891591104667,1.023,"MAOM.MA","c.MA.power",66
"LUC 2",0.522712434002991,1.808,"MAOM.MA","c.MA.power",67
"LUC 3",0.671937043422219,1.102,"MAOM.MA","c.MA.power",68
"LUC 4",0.714836397128482,1.278,"MAOM.MA","c.MA.power",69
"LUC 5",0.0520250566358407,6.576,"MAOM.MA","c.MA.power",70
"LUC 6",0.102851456318519,4.185,"MAOM.MA","c.MA.power",71
"Inv 1",5.87455416937041,1.202,"MAOM.MA","c.MA.power",72
