"stressor_CVR","es","power","effect","es_cat","number"
"BD loss 1",0.457089038940116,1.9535,"MAOM","a.Intercept_es",1
"BD loss 2",0.233205195571718,4.768,"MAOM","a.Intercept_es",2
"Fert 1",0.147739006780821,11.311,"MAOM","a.Intercept_es",3
"Fert 2",0.159293047836157,10.2855,"MAOM","a.Intercept_es",4
"Fert 3",0.0333613096364628,49.641,"MAOM","a.Intercept_es",5
"LUC 1",0.19286117893048,7.7995,"MAOM","a.Intercept_es",6
"LUC 2",0.405891748038828,4.235,"MAOM","a.Intercept_es",7
"LUC 3",0.223454973871175,7.9845,"MAOM","a.Intercept_es",8
"LUC 4",0.221423238165885,7.0925,"MAOM","a.Intercept_es",9
"LUC 5",0.14616006293775,14.669,"MAOM","a.Intercept_es",10
"LUC 6",0.0921939399721127,10.809,"MAOM","a.Intercept_es",11
"Inv 1",0.016757919382181,49.108,"MAOM","a.Intercept_es",12
"BD loss 1",0.457089038940116,2.192,"ESSP","b.BLUP_es",13
"BD loss 2",0.233205195571718,4.18,"ESSP","b.BLUP_es",14
"Fert 1",0.147739006780821,4.6255,"ESSP","b.BLUP_es",15
"Fert 2",0.159293047836157,4.5145,"ESSP","b.BLUP_es",16
"Fert 3",0.0333613096364628,49.681,"ESSP","b.BLUP_es",17
"LUC 1",0.19286117893048,9.6805,"ESSP","b.BLUP_es",18
"LUC 2",0.405891748038828,3.993,"ESSP","b.BLUP_es",19
"LUC 3",0.223454973871175,8.137,"ESSP","b.BLUP_es",20
"LUC 4",0.221423238165885,6.161,"ESSP","b.BLUP_es",21
"LUC 5",0.14616006293775,19.333,"ESSP","b.BLUP_es",22
"LUC 6",0.0921939399721127,3.961,"ESSP","b.BLUP_es",23
"Inv 1",0.016757919382181,1.166,"ESSP","b.BLUP_es",24
"BD loss 1",0.457089038940116,1.003,"MAOM.MA","c.MA.power",25
"BD loss 2",0.233205195571718,1.186,"MAOM.MA","c.MA.power",26
"Fert 1",0.147739006780821,1.343,"MAOM.MA","c.MA.power",27
"Fert 2",0.159293047836157,1.221,"MAOM.MA","c.MA.power",28
"Fert 3",0.0333613096364628,5.82,"MAOM.MA","c.MA.power",29
"LUC 1",0.19286117893048,1.126,"MAOM.MA","c.MA.power",30
"LUC 2",0.405891748038828,1.031,"MAOM.MA","c.MA.power",31
"LUC 3",0.223454973871175,1.352,"MAOM.MA","c.MA.power",32
"LUC 4",0.221423238165885,1.252,"MAOM.MA","c.MA.power",33
"LUC 5",0.14616006293775,2.062,"MAOM.MA","c.MA.power",34
"LUC 6",0.0921939399721127,2.388,"MAOM.MA","c.MA.power",35
"Inv 1",0.016757919382181,38.516,"MAOM.MA","c.MA.power",36
