"stressor_VR","es","power","effect","es_cat","number"
"BD loss 1",0.125790528187742,0.113322273864632,"MAOM","a.Intercept_es",1
"BD loss 2",0.123048461021953,0.117012442543236,"MAOM","a.Intercept_es",2
"Fert 1",0.496645995654565,0.0358777567744287,"MAOM","a.Intercept_es",3
"Fert 2",0.397061280811982,0.0383372407145161,"MAOM","a.Intercept_es",4
"Fert 3",0.617744950269263,0.0163262327990178,"MAOM","a.Intercept_es",5
"LUC 1",0.0862967678316169,0.336511930952586,"MAOM","a.Intercept_es",6
"LUC 2",0.22633964539448,0.0838989231518165,"MAOM","a.Intercept_es",7
"LUC 3",0.176036556552669,0.193693123185861,"MAOM","a.Intercept_es",8
"LUC 4",0.0638629585278023,0.354975765641802,"MAOM","a.Intercept_es",9
"LUC 5",0.153542156716232,0.223770619000931,"MAOM","a.Intercept_es",10
"LUC 6",0.418609799715283,0.000279511569528884,"MAOM","a.Intercept_es",11
"Inv 1",0.938684065281598,2.59862564090743e-06,"MAOM","a.Intercept_es",12
"BD loss 1",0.125790528187742,0.0216389060542357,"ESSP","b.BLUP_es",13
"BD loss 2",0.123048461021953,0.104380899663852,"ESSP","b.BLUP_es",14
"Fert 1",0.496645995654565,0.00840600734464434,"ESSP","b.BLUP_es",15
"Fert 2",0.397061280811982,0.0125005006607159,"ESSP","b.BLUP_es",16
"Fert 3",0.617744950269263,0.0134295909311358,"ESSP","b.BLUP_es",17
"LUC 1",0.0862967678316169,0.0728705491692244,"ESSP","b.BLUP_es",18
"LUC 2",0.22633964539448,0.000833105873664504,"ESSP","b.BLUP_es",19
"LUC 3",0.176036556552669,0.0816390730232735,"ESSP","b.BLUP_es",20
"LUC 4",0.0638629585278023,0.0264430739882351,"ESSP","b.BLUP_es",21
"LUC 5",0.153542156716232,0.134585662492661,"ESSP","b.BLUP_es",22
"LUC 6",0.418609799715283,1.35556115837104e-09,"ESSP","b.BLUP_es",23
"Inv 1",0.938684065281598,1.9172783141214e-08,"ESSP","b.BLUP_es",24
"BD loss 1",0.125790528187742,0.000154814278476242,"MAOM.MA","c.MA.power",25
"BD loss 2",0.123048461021953,0.00222381197741001,"MAOM.MA","c.MA.power",26
"Fert 1",0.496645995654565,5.58738564433745e-15,"MAOM.MA","c.MA.power",27
"Fert 2",0.397061280811982,2.37562571850785e-12,"MAOM.MA","c.MA.power",28
"Fert 3",0.617744950269263,1.30082334307589e-15,"MAOM.MA","c.MA.power",29
"LUC 1",0.0862967678316169,0.0686028325180663,"MAOM.MA","c.MA.power",30
"LUC 2",0.22633964539448,0.0289975288657145,"MAOM.MA","c.MA.power",31
"LUC 3",0.176036556552669,0.000320955555434956,"MAOM.MA","c.MA.power",32
"LUC 4",0.0638629585278023,0.171353748377613,"MAOM.MA","c.MA.power",33
"LUC 5",0.153542156716232,0.00172311416120507,"MAOM.MA","c.MA.power",34
"LUC 6",0.418609799715283,0.000108887343914229,"MAOM.MA","c.MA.power",35
"Inv 1",0.938684065281598,4.22555817162888e-09,"MAOM.MA","c.MA.power",36
