"effect_size","true_effect","Median","CI.lb","CI.ub","Mean"
"lnRR*","cMAOM",2.502,2.237,2.789,4.833
"lnRR*","cESSP",2.738,2.483,3.009,6.52
"lnRR*","MAOM",2.239,2.03,2.461,4.324
"lnRR*","ESSP",2.518,2.302,2.746,5.996
"lnRR","cMAOM",1.699,1.547,1.863,3.283
"lnRR","cESSP",2.111,1.928,2.309,5.027
"lnRR","MAOM",1.658,1.511,1.815,3.202
"lnRR","ESSP",2.064,1.88,2.262,4.914
"SMD","cMAOM",2.843,2.576,3.137,5.492
"SMD","cESSP",3.298,2.986,3.641,7.853
"SMD","MAOM",2.033,1.843,2.241,3.927
"SMD","ESSP",2.639,2.402,2.895,6.283
"SMDH","cMAOM",3.157,2.84,3.505,6.098
"SMDH","cESSP",3.514,3.182,3.876,8.368
"SMDH","MAOM",2.232,2.023,2.462,4.312
"SMDH","ESSP",2.888,2.615,3.187,6.878
"lnVR","MAOM",4.269,3.962,4.596,8.246
"lnVR","ESSP",3.523,3.228,3.841,8.387
"lnCVR","MAOM",8.662,7.978,9.408,16.73
"lnCVR","ESSP",5.928,5.264,6.675,14.114
