"effect_size","true_effect","Median","CI.lb","CI.ub","Mean"
"lnRR*","cMAOM",0.028,0.025,0.031,0.067
"lnRR*","cESSP",0.026,0.023,0.029,0.07
"lnRR*","MAOM",0.021,0.019,0.024,0.05
"lnRR*","ESSP",0.024,0.021,0.026,0.06
"lnRR","cMAOM",0.007,0.006,0.009,0.017
"lnRR","cESSP",0.016,0.013,0.019,0.041
"lnRR","MAOM",0.007,0.005,0.009,0.016
"lnRR","ESSP",0.015,0.012,0.018,0.038
"SMD","cMAOM",0.036,0.03,0.041,0.082
"SMD","cESSP",0.032,0.028,0.037,0.073
"SMD","MAOM",0.013,0.01,0.015,0.025
"SMD","ESSP",0.02,0.016,0.023,0.045
"SMDH","cMAOM",0.035,0.03,0.04,0.071
"SMDH","cESSP",0.035,0.031,0.04,0.077
"SMDH","MAOM",0.016,0.013,0.019,0.031
"SMDH","ESSP",0.023,0.019,0.026,0.051
"lnVR","MAOM",0.057,0.05,0.065,0.09
"lnVR","ESSP",0.04,0.035,0.045,0.087
"lnCVR","MAOM",0.199,0.187,0.213,0.26
"lnCVR","ESSP",0.087,0.078,0.097,0.171
