"X.1","Unit_ID","Entry","Study","Expt","Ygen","Yspec","Smax","Y.treatment","T_mean","T_sd","T_N","C_mean","C_sd","C_N","X","col","scale","Sys1","pr.st","RR","VRR","CVR","VCVR","VR","VVR","individual_power.Stanley_RR","individual_power.Stanley_CVR","individual_power.Stanley_VR","true_power.Stanley_RR","true_power.Stanley_CVR","true_power.Stanley_VR","individual_power.two.tail.Shinichi_RR","individual_power.two.tail.Shinichi_CVR","individual_power.two.tail.Shinichi_VR","individual_power.one.tail.Shinichi_RR","individual_power.one.tail.Shinichi_CVR","individual_power.one.tail.Shinichi_VR"
3,3,26,5,"12","SST","g aboveground plant biomass m-2",24,"Y22",408,110.227,6,725,107.778,6,0.083333333,"darkgreen",1.017277958,"T",-2.865359792,-0.574904480450513,0.0158480489982633,0.597372800219162,0.215848048998263,0.022468319768649,0.2,0.999999999966387,0.250101611502842,0.0280844250410036,0.999995316945433,0.164502786143972,0.0466064512032737,0.995430254797265,0.250687303465449,0.0502891904614321,0.998260496120692,0.359775225836624,0.0553994089514581
6,6,29,5,"13","SST","g aboveground plant biomass m-2",24,"Y20",551,142.07,6,961,218.005,6,0.166666667,"darkgreen",1.013847133,"T",-2.476757497,-0.556239599817378,0.0196572588150753,0.128041495395479,0.219657258815075,-0.428198104421899,0.2,0.999999998460343,0.0458242060210345,0.998235435236841,0.999985359041933,0.162388948667998,0.0466064512032737,0.977645669628305,0.0585933289774386,0.159819530389055,0.989896866235574,0.0850853773452875,0.245923678112303
2,2,26,5,"12","SST","g aboveground plant biomass m-2",24,"Y20",418,80.833,6,725,107.778,6,0.166666667,"darkgreen",1.027869601,"T",-2.476757497,-0.550690222329919,0.00991592716574193,0.26300196430475,0.209915927165742,-0.287688258025168,0.2,0.999999999999966,0.0828838755498852,0.995382830979445,0.999999815490745,0.167945897980277,0.0466064512032737,0.999821668952243,0.0885223726401249,0.0985912168387589,0.999948907587483,0.14212487773155,0.158277318889371
7,7,29,5,"13","SST","g aboveground plant biomass m-2",24,"Y22",573,225.353,6,961,218.005,6,0.083333333,"darkgreen",1.007740288,"T",-2.865359792,-0.517088692255553,0.0343559971358744,0.550238755622519,0.234355997135874,0.0331500633669664,0.2,0.999998981427942,0.205154602038494,0.0296583814701357,0.999862864137248,0.154870260963073,0.0466064512032737,0.79666836024046,0.206133442635434,0.0506296535929588,0.873871928141928,0.305642779833726,0.058122940764388
5,5,29,5,"13","SST","g aboveground plant biomass m-2",24,"Y19",595,102.879,6,961,218.005,6,0.208333333,"darkgreen",1.020265762,"T",-2.282456354,-0.479413003424663,0.0135597302831463,-0.271551454501361,0.213559730283146,-0.750964457926024,0.2,0.999999999387727,0.994576326405382,0.999863241729963,0.999998186778414,0.165808531073791,0.0466064512032737,0.984499833240758,0.0904009964281557,0.389585378625305,0.993285382776168,0.145201217304682,0.513702547687018
1,1,26,5,"12","SST","g aboveground plant biomass m-2",24,"Y19",583,129.823,6,725,107.778,6,0.208333333,"darkgreen",1.023057599,"T",-2.282456354,-0.217984468504182,0.0119477334571956,0.404082896747788,0.211947733457196,0.186098428243605,0.2,0.999961609017499,0.139572103081208,0.0613141248889224,0.999999231078604,0.166745115180129,0.0466064512032737,0.513719688859311,0.141844209285251,0.0700626576216404,0.636609615774036,0.221501086981463,0.109587485268121
8,8,29,5,"13","SST","g aboveground plant biomass m-2",24,"Y23",782,199.637,12,961,218.005,6,0.041666667,"darkgreen",1.019603464,"T",-3.059660935,-0.206119668424981,0.014008083569564,0.0635569330134559,0.15946262902411,-0.142562735411525,0.145454545454545,0.999892831628177,0.0358668770706102,0.990196027495348,0.99999776899572,0.207445273106687,0.0515361208243231,0.413651277368715,0.0529068792961381,0.066155330200674,0.538506885943277,0.0686800663214844,0.10185525619675
4,4,26,5,"12","SST","g aboveground plant biomass m-2",24,"Y23",621,152.046,12,725,107.778,6,0.041666667,"darkgreen",1.031902963,"T",-3.059660935,-0.154840572921196,0.00867884088143328,0.444404669002512,0.154133386335979,0.289564096081316,0.145454545454545,0.999853862084364,0.203833510994378,0.11492981589619,0.999999941952011,0.213103980081696,0.0515361208243231,0.3830448899756,0.204827837049971,0.118201743535348,0.506875015737566,0.304012111507706,0.187913816926196
17,17,48,8,"21","SST","g wet algal biomass L-1",4,"Y1",1174.4,458.741,40,1578.222,303.579,10,0.75,"blue",1.036911834,"A",0.243458546,-0.295541518061091,0.00751459480497993,0.665650382805124,0.0758906631810483,0.370108864744033,0.0683760683760684,0.999999960471543,0.675928132013701,0.293024734995588,0.999999985628721,0.381808736385644,0.0695824904031017,0.926378700469741,0.67593416837456,0.293393333314982,0.961171900109424,0.779780710490603,0.409255942544973
10,10,45,8,"18","SST","g wet algal biomass L-1",9,"Y1",2.523,0.598,90,3.127,0.614,10,0.888888889,"blue",1.062207746,"A",0.891129034,-0.214625408816783,0.00447970470752133,0.138283656592807,0.0656532377911668,-0.0763417522239764,0.0611735330836454,0.999999880836545,0.0777636783669183,0.988354398886953,0.999999999980562,0.430125430845712,0.0733376047521528,0.893750405653569,0.0839794460544159,0.0609838599333556,0.940836263683916,0.134543919100924,0.0907429956370231
11,11,45,8,"18","SST","g wet algal biomass L-1",9,"Y3",2.682,0.304,10,3.127,0.614,10,0.666666667,"blue",1.054158574,"A",-0.145143744,-0.153511293616217,0.00514028494055646,-0.549455933124704,0.116251396051668,-0.702967226740921,0.111111111111111,0.999979441545307,0.999822513040074,0.999976378713027,0.999999999850553,0.267840845666256,0.0567571984302245,0.571909078957969,0.363928198241079,0.559222223250501,0.690156713829362,0.486701427088067,0.678693341004007
9,9,44,8,"17","SST","g wet algal biomass L-1",7,"Y1",1.37,0.237,70,1.56,0.402,10,0.857142857,"blue",1.078877184,"A",0.743090064,-0.129875081421412,0.00706805360874776,-0.446826044806439,0.0698699859758975,-0.576701126227851,0.0628019323671498,0.999771505040326,0.999869072800519,0.999989834147212,0.999999992456144,0.408764938316147,0.072418500098985,0.339244183909687,0.393884274398777,0.633567014912886,0.460156035693898,0.518169782500285,0.744216281172319
13,13,46,8,"19","SST","g wet algal biomass L-1",6,"Y1",1.787,0.603,90,1.976,0.342,10,0.833333333,"blue",1.065426996,"A",0.632060837,-0.100536363148385,0.00426071501416931,0.617705244785499,0.0654342480978148,0.517168881637114,0.0611735330836454,0.999767528859234,0.675381517535684,0.552120060472309,0.999999999991296,0.431297332839827,0.0733376047521528,0.337567639356127,0.675387596109735,0.552145565801754,0.458332096081096,0.779330129528959,0.672248277976791
16,16,47,8,"20","SST","g wet algal biomass L-1",6,"Y3",1274,401.398,10,1371.067,357.127,10,0.5,"blue",1.016363183,"A",-0.92234833,-0.0734277116744999,0.0167115109755528,0.190289704648019,0.127822622086664,0.116861992973519,0.111111111111111,0.994263775172143,0.0766863516761688,0.0537668558008048,0.999993690813325,0.247785448645821,0.0567571984302245,0.0877036293304697,0.0830339209855527,0.0641957186792733,0.140773941540596,0.132938234900747,0.0977864936167374
15,15,47,8,"20","SST","g wet algal biomass L-1",6,"Y1",1339.333,433.774,60,1371.067,357.127,10,0.833333333,"blue",1.03245595,"A",0.632060837,-0.0234175399799091,0.00853288915753761,0.170768761022717,0.0725630209842796,0.147351221042808,0.064030131826742,0.986567469827129,0.0924165036806642,0.084156582656215,0.999999950343954,0.396230875785838,0.0717541767617628,0.0573942216416802,0.0971611005877062,0.089663118786199,0.0820604591251238,0.156029792010219,0.143996700007689
12,12,45,8,"18","SST","g wet algal biomass L-1",9,"Y6",3.13,0.614,10,3.127,0.614,10,0.333333333,"blue",1.035995662,"A",-1.699552916,0.000958926076357747,0.00770361763781222,-0.000958926076357586,0.118814728748923,0,0.111111111111111,0.0256454091608868,0.975162148840184,0.975,0.999999981502159,0.263074225142944,0.0567571984302245,0.0500136733567834,0.0500008865356101,0.0499999999999999,0.051136962111061,0.0502875757237894,0.0500000000000002
14,14,46,8,"19","SST","g wet algal biomass L-1",6,"Y3",1.979,0.615,10,1.976,0.342,10,0.5,"blue",1.021748735,"A",-0.92234833,0.00151706729475271,0.012652927069417,0.58529446344916,0.123764038180528,0.586811530743913,0.111111111111111,0.0257987237795452,0.383517408952865,0.420924326914422,0.999998853945118,0.254408283274004,0.0567571984302245,0.0500208362806528,0.383662633748424,0.4210237812202,0.051406471504209,0.507521476262009,0.546007675353533
18,18,51,10,"23","SST","g aboveground plant biomass m-2",6,"Y1",298.06,146.859,40,498.236,249.319,15,0.833333333,"darkgreen",1.011899749,"T",0.632060837,-0.513779051833287,0.0227628045246658,-0.0383749792891828,0.0712976030594644,-0.55215403112247,0.0485347985347985,0.999999959598816,0.982296894635098,0.999996020192795,0.999971154431274,0.402019501627784,0.0824188957942804,0.925827225557936,0.0523694168083285,0.707587633062229,0.960839323550327,0.0666602224819169,0.805504794927419
19,19,51,10,"23","SST","g aboveground plant biomass m-2",6,"Y4",442.681,310.795,15,498.236,249.319,15,0.5,"darkgreen",1.005235504,"T",-0.92234833,-0.118224439991797,0.0495541371466267,0.338624769816865,0.120982708575198,0.220400329825068,0.0714285714285714,0.993631743769522,0.161964348484781,0.128124514850769,0.999606833192608,0.259194247064404,0.0682043352717532,0.0828883404962866,0.163640105663008,0.13080398544122,0.132690087906569,0.251012712818558,0.206053586033652
23,23,83,18,"33","SST","number nematodes 100g-1 soil",16,"Y8",1103.75,591.94,6,1988.58,601.03,6,0.5,"darkgreen",1.004015695,"T",-0.92234833,-0.588707343250466,0.0631610158126961,0.573467771551995,0.263161015812696,-0.0152395716984706,0.2,0.999991553576764,0.199872671512553,0.976926196724516,0.999307833179169,0.14254864690868,0.0466064512032737,0.648967137264842,0.200915164246991,0.050133029159682,0.757292885158735,0.299108679777908,0.0536141778857742
20,20,83,18,"33","SST","number nematodes 100g-1 soil",16,"Y1",1168.57,634.42,48,1988.58,601.03,6,0.9375,"darkgreen",1.012705955,"T",1.117813703,-0.531640037121791,0.0213654063529796,0.496344680574308,0.13200370422532,-0.0352953565474823,0.11063829787234,0.999999989102997,0.276309773011219,0.980589351083927,0.999978284714789,0.241375297544545,0.0568491121315496,0.953247682108513,0.27675014267164,0.0512908241300347,0.976831133433669,0.390226393348308,0.061933702637172
21,21,83,18,"33","SST","number nematodes 100g-1 soil",16,"Y2",1200.63,582.8,24,1988.58,601.03,6,0.875,"darkgreen",1.010777589,"T",0.826361984,-0.504574397156828,0.0250426096998517,0.395512751817931,0.146781740134634,-0.109061645338897,0.121739130434783,0.999999868680743,0.176802386093416,0.988473070708426,0.999956807362554,0.221571348685147,0.0548613136168404,0.890375839982128,0.178186769611525,0.0612661884841317,0.938662094693227,0.270100343764085,0.0913846439409949
22,22,83,18,"33","SST","number nematodes 100g-1 soil",16,"Y4",1243.33,601.33,24,1988.58,601.03,6,0.75,"darkgreen",1.010809604,"T",0.243458546,-0.469627552167625,0.0249712589868788,0.391865701209523,0.146710389421661,-0.0777618509581022,0.121739130434783,0.99999959274484,0.17440743637686,0.985475978714666,0.999957308315713,0.221657600205085,0.0548613136168404,0.844214703913042,0.175834451761194,0.0557093072868788,0.907752374120789,0.267043213995256,0.0775154930340861
28,28,86,19,"36","SST","g aboveground plant biomass m-2",6,"Y1",535.385,20.769,10,800.385,20.769,5,0.833333333,"darkgreen",1.983542279,"T",0.632060837,-0.40210674764681,0.000285154578592144,0.332662303202366,0.180840710134148,-0.0694444444444444,0.180555555555556,1,0.119458886538524,0.98313957928141,1,0.188050811738366,0.0480632736677267,1,0.122510049169703,0.0530652460789288,1,0.194182629734812,0.0692468762791508
26,26,85,19,"35","SST","g aboveground plant biomass m-2",6,"Y1",459.45,33.8,10,628.5,27,5,0.833333333,"darkgreen",1.307805081,"T",0.632060837,-0.313305906083408,0.000910301356787712,0.468485398123607,0.181465856912343,0.1551794920402,0.180555555555556,1,0.194838777193429,0.0553823358657187,1,0.187551555309216,0.0480632736677267,1,0.195946476149596,0.0654139745858944,1,0.292845152887922,0.100333213498761
27,27,85,19,"35","SST","g aboveground plant biomass m-2",6,"Y3",527,40.5,5,628.5,27,5,0.5,"darkgreen",1.180561195,"T",-0.92234833,-0.17613547948894,0.001550289893712,0.581600587597104,0.251550289893712,0.405465108108164,0.25,0.999999999937606,0.21175323305569,0.125271028344392,1,0.147179453391446,0.0437826564261704,0.994022390259792,0.212658793025228,0.128066157723134,0.997662203419405,0.313752217790846,0.202162072039306
24,24,84,19,"34","SST","g aboveground plant biomass m-2",6,"Y1",256.75,27.05,10,304.05,27.05,5,0.833333333,"darkgreen",1.103765155,"T",0.632060837,-0.169089312757451,0.00269295280457987,0.0996448683130065,0.183248508360135,-0.0694444444444444,0.180555555555556,0.99999990973523,0.0420667862184581,0.98313957928141,0.999999999999999,0.186146372464544,0.0480632736677267,0.902927953725686,0.0562299126746267,0.0530652460789288,0.946684946876347,0.0789632776162719,0.0692468762791508
25,25,84,19,"34","SST","g aboveground plant biomass m-2",6,"Y3",283.8,33.75,5,304.05,27.05,5,0.5,"darkgreen",1.063176782,"T",-0.92234833,-0.0689223968401765,0.00441145444406354,0.290215808866225,0.254411454444064,0.221293412026048,0.25,0.998639687752827,0.0830894450168351,0.0645857434956805,0.999999999984748,0.145999515553461,0.0437826564261704,0.179554299465088,0.0887063358491154,0.0727263298207332,0.271872623661162,0.142427548671936,0.114630087225825
29,29,86,19,"36","SST","g aboveground plant biomass m-2",6,"Y3",769.231,20.769,5,800.385,20.769,5,0.5,"darkgreen",2,"T",-0.92234833,-0.0397015473896844,0.000280464324048668,0.0397015473896842,0.250280464324049,0,0.25,0.999992565510202,0.0300128088753701,0.975,1,0.147711673274161,0.0437826564261704,0.659358407536703,0.0507217307704428,0.0499999999999999,0.766020171355699,0.0587334404182607,0.0500000000000002
30,30,107,24,"42","SST","g aboveground plant biomass m-2",16,"Y1",293.568,130.89,80,401.2,78.108,10,0.9375,"darkgreen",1.044286856,"T",1.117813703,-0.312350757113074,0.00627514217783507,0.779389106906946,0.0681598116574413,0.467038349793872,0.0618846694796062,0.999999998215252,0.847401167534629,0.467106324217596,0.999999998038521,0.417160236380344,0.0729306686058985,0.976320326884467,0.847401547709393,0.467168500668406,0.989224303456445,0.909952277903088,0.591950199269021
33,33,108,24,"42","SST","g aboveground plant biomass m-2",16,"Y1",321.41,156.79,40,372.5,54.56,5,0.9375,"darkgreen",1.02697443,"T",1.117813703,-0.14751947112344,0.0102398720280273,1.0909463007811,0.14806038484854,0.943426829657665,0.137820512820513,0.99968432694406,0.809277670281531,0.719483837514023,0.999999760407839,0.220039470965525,0.0524952191469771,0.308096643364336,0.809278482984316,0.719487215473256,0.425814736309315,0.883045163098038,0.814985540565389
34,34,108,24,"42","SST","g aboveground plant biomass m-2",16,"Y4",326.75,34.907,10,372.5,54.56,5,0.75,"darkgreen",1.051227513,"T",0.243458546,-0.131041685315283,0.00543196472720823,-0.385016390502173,0.185987520282764,-0.516058075817455,0.180555555555556,0.999907240599613,0.997832723695064,0.999249400812593,0.999999999681995,0.184039212745525,0.0480632736677267,0.427897037850899,0.145108346207969,0.228742545899717,0.552959963366432,0.225998980535171,0.333464769019353
